openTime,open,high,low,close,volume
1690146300000,22.361,22.361,22.361,22.361,8000
1690146600000,22.361,22.361,22.239,22.343,12804
1690147200000,22.343,22.343,22.151,22.16,109893
1690147500000,22.16,22.16,22.151,22.151,3800
1690147800000,22.27,22.272,22.143,22.143,10859
1690148700000,22.11,22.11,22.11,22.11,5000
1690149300000,22.164,22.164,22.164,22.164,556
1690149900000,22.239,22.239,22.239,22.239,204
1690150200000,22.239,22.26,22.239,22.26,314
1690150500000,22.237,22.28,22.137,22.28,4839
1690151400000,22.332,22.332,22.332,22.332,364
1690151700000,22.349,22.353,22.349,22.349,4306
1690152300000,22.348,22.349,22.348,22.349,3651
1690153500000,22.15,22.261,22.15,22.261,8314
1690154400000,22.249,22.256,22.249,22.256,8923
1690154700000,22.256,22.256,22.256,22.256,20
1690155300000,22.22,22.22,22.15,22.15,3970
1690155600000,22.195,22.195,22.15,22.168,837
1690155900000,22.184,22.184,22.184,22.184,2
1690156200000,22.183,22.183,22.15,22.15,6433
1690156800000,22.15,22.15,22.13,22.13,6342
1690157100000,22.11,22.11,22,22,33240
1690157400000,22.05,22.068,22.05,22.068,503
1690158300000,22.07,22.098,22.01,22.01,3322
1690158600000,22.011,22.011,22.011,22.011,166
1690158900000,22,22,22,22,1186
1690159200000,22.072,22.072,22.072,22.072,1298
1690159500000,22.07,22.07,22.07,22.07,1286
1690159800000,22.07,22.113,22.001,22.113,9773
1690160400000,22.001,22.001,22,22,17646
1690160700000,22,22,21.95,21.95,26342
1690161000000,21.9,21.9,21.9,21.9,2000
1690161300000,21.945,21.953,21.945,21.953,1048
1690161600000,21.953,21.967,21.953,21.966,3136
1690162800000,21.983,21.984,21.983,21.983,1066
1690163100000,21.9,21.926,21.9,21.926,682
1690163700000,21.9,21.9,21.9,21.9,1586
1690164000000,21.934,21.934,21.854,21.855,22250
1690164300000,21.854,21.854,21.701,21.701,6622
1690165200000,21.753,21.753,21.753,21.753,4000
1690165800000,21.836,21.843,21.836,21.843,11652
1690166100000,21.843,21.843,21.843,21.843,5
1690166400000,21.844,21.844,21.8,21.8,3950
1690167000000,21.81,21.813,21.81,21.813,1690
1690167300000,21.813,21.813,21.813,21.813,896
1690167900000,21.8,21.8,21.8,21.8,2000
1690168800000,21.8,21.801,21.8,21.801,5825
1690169400000,21.7,21.7,21.691,21.691,120
1690169700000,21.706,21.706,21.706,21.706,1023
1690170000000,21.683,21.683,21.683,21.683,108
1690170300000,21.683,21.683,21.683,21.683,2334
1690170900000,21.683,21.705,21.574,21.705,26750
1690171200000,21.58,21.681,21.541,21.681,29434
1690171800000,21.741,21.756,21.741,21.756,3495
1690172400000,21.791,21.827,21.791,21.827,249
1690172700000,21.827,21.827,21.827,21.827,1
1690173000000,21.826,21.829,21.826,21.829,3982
1690173600000,21.845,21.845,21.845,21.845,175
1690174500000,21.86,21.86,21.86,21.86,200
1690174800000,21.913,21.92,21.913,21.92,1455
1690175100000,21.82,21.82,21.82,21.82,270
1690175400000,21.82,21.867,21.82,21.867,1062
1690175700000,21.889,21.89,21.889,21.89,1609
1690176300000,21.891,21.891,21.891,21.891,135
1690176600000,21.906,21.906,21.906,21.906,2024
1690177200000,21.906,21.906,21.906,21.906,800
1690177800000,21.906,21.907,21.906,21.907,5740
1690178100000,21.741,21.741,21.741,21.741,704
1690178400000,21.804,21.804,21.804,21.804,2000
1690179000000,21.691,21.794,21.691,21.794,3018
1690179300000,21.794,21.795,21.794,21.794,5649
1690179600000,21.794,21.794,21.794,21.794,348
1690179900000,21.794,21.794,21.794,21.794,2243
1690180200000,21.661,21.661,21.661,21.661,1998
1690180500000,21.738,21.738,21.651,21.651,4921
1690181100000,21.696,21.703,21.696,21.703,2272
1690181400000,21.75,21.75,21.75,21.75,827
1690182300000,21.739,21.739,21.719,21.719,906
1690182600000,21.7,21.7,21.7,21.7,100
1690182900000,21.629,21.629,21.629,21.629,4
1690183200000,21.638,21.656,21.638,21.656,2
1690183500000,21.6,21.676,21.508,21.676,14433
1690184100000,21.676,21.678,21.676,21.678,6207
1690184400000,21.677,21.677,21.5,21.501,6714
1690185000000,21.627,21.627,21.627,21.627,1000
1690185600000,21.5,21.5,21.262,21.285,37947
1690185900000,21.26,21.26,21.201,21.21,4800
1690186200000,21.2,21.2,21.126,21.126,28188
1690186500000,21.283,21.285,21.283,21.284,74
1690186800000,21.284,21.284,21.21,21.24,4603
1690187100000,21.16,21.37,21.16,21.37,3086
1690187700000,21.37,21.37,21.37,21.37,1000
1690188300000,21.211,21.211,21.211,21.211,1000
1690188600000,21.336,21.336,21.336,21.336,6
1690189800000,21.259,21.259,21.259,21.259,200
1690190100000,21.259,21.259,21.259,21.259,1362
1690190400000,21.259,21.259,21.18,21.18,637
1690190700000,21.13,21.13,21.118,21.118,3797
1690191000000,21.196,21.196,21.196,21.196,2
1690191600000,21.189,21.189,21.189,21.189,4
1690191900000,21.179,21.179,21.01,21.12,24545
1690192200000,21.01,21.01,20.595,20.943,54340
1690192500000,20.943,20.943,20.943,20.943,1000
1690192800000,20.944,21,20.837,20.998,10633
1690193100000,20.998,21,20.998,21,5272
1690193400000,20.999,21,20.999,21,400
1690193700000,21,21.001,20.881,20.99,5831
1690194000000,21.014,21.017,21.014,21.017,2186
1690194300000,20.991,20.992,20.991,20.992,4000
1690194600000,20.992,20.993,20.992,20.993,500
1690194900000,20.881,21.028,20.881,21.028,9477
1690195200000,21.028,21.028,20.912,20.912,9994
1690195500000,20.997,20.998,20.997,20.998,11606
1690195800000,20.851,20.959,20.803,20.959,10381
1690196100000,20.961,20.961,20.822,20.961,30357
1690196400000,20.862,20.862,20.84,20.841,2841
1690196700000,20.837,20.949,20.82,20.835,27459
1690197000000,20.949,20.949,20.949,20.949,600
1690197600000,20.8,20.8,20.682,20.682,139114
1690197900000,20.826,20.826,20.826,20.826,958
1690198200000,20.71,20.71,20.629,20.629,2549
1690198500000,20.72,20.72,20.72,20.72,2000
1690198800000,20.72,20.72,20.526,20.686,14071
1690199100000,20.741,20.741,20.699,20.699,3490
1690199700000,20.694,20.694,20.55,20.628,2414
1690200000000,20.53,20.53,20.53,20.53,430
1690200300000,20.545,20.545,20.421,20.421,61364
1690200600000,20.421,20.421,20.421,20.421,7146
1690200900000,20.4,20.568,20.358,20.568,28329
1690201200000,20.568,20.644,20.554,20.644,8195
1690201500000,20.549,20.572,20.44,20.528,8305
1690201800000,20.43,20.582,20.425,20.582,10584
1690202100000,20.616,20.616,20.616,20.616,378
1690202400000,20.663,20.672,20.506,20.506,1584
1690202700000,20.541,20.541,20.541,20.541,4
1690203000000,20.541,20.632,20.511,20.632,3428
1690203300000,20.632,20.632,20.632,20.632,946
1690203600000,20.656,20.694,20.581,20.581,5169
1690203900000,20.656,20.661,20.656,20.661,732
1690204200000,20.675,20.675,20.581,20.581,3345
1690204500000,20.713,20.717,20.712,20.717,6553
1690204800000,20.72,20.72,20.72,20.72,524
1690205100000,20.603,20.704,20.603,20.704,5317
1690206000000,20.685,20.685,20.551,20.551,640
1690206600000,20.56,20.56,20.56,20.56,2162
1690207200000,20.56,20.56,20.56,20.56,1449
1690207800000,20.692,20.692,20.692,20.692,1
1690208100000,20.72,20.721,20.72,20.721,996
1690208400000,20.591,20.611,20.591,20.611,522
1690208700000,20.701,20.717,20.701,20.717,230
1690209000000,20.717,20.717,20.537,20.662,3725
1690209900000,20.662,20.671,20.662,20.671,65020
1690210800000,20.512,20.567,20.512,20.567,23382
1690211100000,20.503,20.503,20.503,20.503,2396
1690211400000,20.504,20.504,20.503,20.503,11340
1690211700000,20.64,20.643,20.64,20.643,1213
1690212000000,20.7,20.7,20.7,20.7,241
1690212600000,20.726,20.726,20.601,20.601,7499
1690212900000,20.645,20.645,20.56,20.56,18614
1690213200000,20.564,20.564,20.564,20.564,6369
1690213500000,20.692,20.762,20.692,20.762,3713
1690213800000,20.764,20.764,20.763,20.763,2500
1690214100000,20.65,20.69,20.64,20.69,4220
1690214400000,20.677,20.677,20.677,20.677,7332
1690214700000,20.677,20.677,20.677,20.677,8620
1690215000000,20.677,20.677,20.677,20.677,2240
1690215600000,20.677,20.677,20.677,20.677,23602
1690216500000,20.8,20.871,20.8,20.871,18
1690216800000,20.871,20.871,20.76,20.76,2224
1690217400000,20.844,20.844,20.844,20.844,107
1690218300000,20.902,20.902,20.902,20.902,3
1690219500000,20.65,20.65,20.65,20.65,200
1690219800000,20.688,20.688,20.64,20.64,4230
1690220100000,20.64,20.64,20.64,20.64,200
1690220400000,20.665,20.665,20.665,20.665,221
1690220700000,20.673,20.673,20.563,20.565,9942
1690221000000,20.57,20.57,20.558,20.558,4000
1690221600000,20.657,20.666,20.657,20.666,862
1690222500000,20.679,20.679,20.679,20.679,355
1690224600000,20.781,20.787,20.781,20.787,12274
1690225500000,20.722,20.8,20.722,20.8,208
