openTime,open,high,low,close,volume
1685830800000,376.845,377.179,376.845,377.179,0.4
1685831400000,371.595,371.595,371.595,371.595,5
1685835000000,375,375,375,375,0.2
1685837100000,371.448,371.448,371.2,371.2,8
1685837400000,375,375,375,375,0.2
1685838600000,371.2,371.2,370.042,370.042,25.2
1685838900000,370,370,369.899,369.9,233.9
1685839800000,374.659,374.659,374.659,374.659,0.2
1685843400000,375,375,375,375,0.2
1685848200000,371.469,371.469,371.428,371.428,51.1
1685852100000,375,377.87,375,377.87,299.9
1685853000000,372.582,372.582,372.54,372.54,1
1685858400000,374.5,374.5,374.5,374.5,146.4
1685859000000,374.5,374.5,374.5,374.5,40
1685859300000,374.5,374.5,374.5,374.5,20
1685860200000,374.5,374.5,374.5,374.5,259.6
1685861100000,374.5,374.5,374.5,374.5,20
1685864400000,374.5,378,374.5,378,10
1685870100000,373.779,373.779,373.779,373.779,0.1
1685877600000,378,379.7,378,379.7,9.6
1685879400000,379.741,379.741,379.741,379.741,5.2
1685894100000,373.78,373.78,373.78,373.78,58
