openTime,open,high,low,close,volume
1685568900000,362.6,362.6,362.6,362.6,260
1685569800000,366.408,366.492,366.408,366.492,10
1685570700000,366.513,366.513,366.513,366.513,14
1685571900000,366.639,366.723,366.639,366.723,10
1685574900000,362.651,362.651,362.651,362.651,32
1685575800000,367.5,367.71,367.5,367.71,1
1685576400000,362.602,362.602,362.6,362.6,799.8
1685578200000,367.773,367.773,367.773,367.773,0.1
1685580000000,362,362,360.948,360.948,402.4
1685587500000,363.153,363.153,363.153,363.153,10
1685587800000,360,360,360,360,228
1685588100000,360,360,360,360,111.6
1685591400000,360,360,360,360,2
1685606400000,360,360,358.5,358.5,500
1685609700000,362.103,362.103,362.103,362.103,0.1
1685611200000,362.407,362.407,362.407,362.407,2
1685614500000,362.407,362.407,358,358,305.2
1685618700000,358.001,358.001,358,358,104
1685628600000,361.347,361.347,361.347,361.347,3
1685628900000,361.41,361.599,361.41,361.599,54
1685630100000,361.618,361.618,361.618,361.618,10
1685638800000,363.489,363.657,363.489,363.657,7
1685646300000,363.699,363.803,363.699,363.803,59.6
1685647800000,361.598,361.598,358,358,188
1685652600000,361.152,361.152,361.152,361.152,30
1685652900000,358,358,358,358,14
