openTime,open,high,low,close,volume
1686085200000,73.112,73.31,73.112,73.2,10322
1686085500000,73.263,73.382,73.263,73.382,2214
1686085800000,73.357,73.497,73.357,73.41,1920
1686086100000,73.466,73.523,73.423,73.499,28554
1686086400000,73.5,73.5,73.5,73.5,40
1686086700000,73.5,73.593,73.5,73.538,4200
1686087000000,73.534,73.534,73.486,73.486,730
1686087300000,73.437,73.437,73.22,73.41,8064
1686087600000,73.411,73.572,73.411,73.566,3230
1686087900000,73.593,73.735,73.593,73.72,3365
1686088200000,73.725,73.968,73.72,73.935,18433
1686088500000,74,74,73.86,73.977,8210
1686088800000,73.918,73.918,73.802,73.866,27636
1686089100000,73.866,73.866,73.792,73.792,9163
1686089400000,73.744,73.744,73.712,73.712,5409
1686089700000,73.703,73.721,73.626,73.712,14169
1686090000000,73.773,73.859,73.746,73.85,19234
1686090300000,73.858,73.879,73.756,73.831,9219
1686090600000,73.802,73.876,73.776,73.876,5342
1686090900000,73.9,73.91,73.9,73.91,7534
1686091200000,73.917,73.981,73.896,73.911,13126
1686091500000,73.911,74,73.911,73.975,57396
1686091800000,73.952,74.4,73.9,74.272,400141
1686092100000,74.272,74.33,74.114,74.114,12987
1686092400000,74.143,74.143,74.063,74.063,11034
1686092700000,74.025,74.045,73.948,73.948,70662
1686093000000,73.99,74.029,73.99,74.029,14792
1686093300000,74.042,74.111,74,74,18263
1686093600000,74.002,74.031,74,74.02,8948
1686093900000,74.033,74.26,74.033,74.26,27874
1686094200000,74.267,74.27,74.103,74.103,10164
1686094500000,74.117,74.117,73.98,73.99,42188
1686094800000,73.959,73.959,73.871,73.929,108458
1686095100000,73.929,73.929,73.853,73.853,37035
1686095400000,73.886,74,73.886,73.969,31674
1686095700000,73.962,73.999,73.962,73.999,2998
1686096000000,73.974,73.974,73.692,73.692,46504
1686096300000,73.783,73.884,73.75,73.829,25934
1686096600000,73.801,73.801,73.594,73.706,6667
1686096900000,73.695,73.706,73.5,73.576,35188
1686097200000,73.576,73.847,73.576,73.847,38170
1686097500000,73.85,74,73.693,73.693,191994
1686097800000,73.73,73.861,73.73,73.861,2614
1686098100000,73.901,74.012,73.9,74.012,46528
1686098400000,74.039,74.176,74.039,74.1,24671
1686098700000,74.141,74.156,73.95,74.033,94380
1686099000000,73.986,73.986,73.9,73.9,3950
1686099300000,73.9,73.9,73.88,73.88,6994
1686099600000,73.882,73.895,73.696,73.696,27944
1686099900000,73.696,73.696,73.6,73.6,13028
1686100200000,73.6,73.639,73.43,73.43,48170
1686100500000,73.473,73.473,73.43,73.43,5400
1686100800000,73.464,73.464,73.3,73.32,72090
1686101100000,73.318,73.35,73.318,73.35,46806
1686101400000,73.35,73.37,73.35,73.35,73594
1686101700000,73.35,73.37,73.35,73.36,4440
1686102000000,73.37,73.391,73.37,73.391,6138
1686102300000,73.434,73.434,73.25,73.316,10360
1686102600000,73.316,73.364,73.316,73.364,9176
1686102900000,73.371,73.491,73.371,73.491,10002
1686103200000,73.461,73.5,73.416,73.5,9374
1686103500000,73.5,73.538,73.494,73.538,8670
1686103800000,73.538,73.538,73.538,73.538,26
1686104100000,73.539,73.539,73.494,73.494,800
1686104400000,73.51,73.51,73.433,73.453,784
1686104700000,73.467,73.68,73.467,73.61,17923
1686105000000,73.594,73.594,73.49,73.507,2362
1686105300000,73.528,73.542,73.503,73.503,644
1686105600000,73.537,73.788,73.537,73.788,5174
1686105900000,73.788,73.788,73.582,73.582,18624
1686106200000,73.61,73.678,73.61,73.648,1408
1686106500000,73.648,73.66,73.648,73.66,60
1686106800000,73.682,73.7,73.62,73.62,24186
1686107100000,73.647,73.68,73.554,73.554,7670
1686107400000,73.6,73.6,73.5,73.5,13220
1686107700000,73.5,73.507,73.48,73.507,502
1686108000000,73.432,73.451,73.363,73.363,3062
1686108300000,73.35,73.35,73.23,73.337,57710
1686108600000,73.342,73.342,73.051,73.051,13458
1686108900000,73.093,73.093,73.088,73.093,69483
1686109200000,73.095,73.298,73.095,73.235,4736
1686109500000,73.154,73.354,73.111,73.325,27132
1686109800000,73.368,73.569,73.33,73.569,7492
1686110100000,73.514,73.514,73.432,73.432,5554
1686110400000,73.43,73.595,73.43,73.595,2176
1686110700000,73.6,73.6,73.6,73.6,5772
1686111300000,73.621,73.621,73.44,73.44,4258
1686111600000,73.467,73.539,73.467,73.539,3162
1686111900000,73.545,73.545,73.517,73.517,4454
1686112200000,73.524,73.611,73.524,73.572,17724
1686112500000,73.6,73.6,73.6,73.6,800
1686112800000,73.6,73.6,73.574,73.6,22042
1686113100000,73.6,73.7,73.6,73.695,7132
1686113700000,73.7,73.7,73.683,73.683,7732
1686114300000,73.7,73.848,73.7,73.848,49582
1686114600000,73.882,73.901,73.882,73.901,55876
1686114900000,73.9,73.901,73.795,73.795,2525
1686115200000,73.844,73.844,73.844,73.844,54
1686115500000,73.857,73.891,73.837,73.837,2018
1686115800000,73.843,73.843,73.843,73.843,200
1686116100000,73.863,73.945,73.8,73.8,10955
1686116400000,73.854,73.861,73.832,73.861,1044
1686116700000,73.831,73.831,73.8,73.8,10465
1686117000000,73.8,74.1,73.8,73.95,240608
1686117300000,73.95,74.273,73.95,74.184,142702
1686117600000,74.198,74.7,74.198,74.7,395418
1686117900000,74.664,74.664,74.602,74.602,15066
1686118200000,74.547,74.765,74.547,74.765,65954
