openTime,open,high,low,close,volume
1688763600000,66.75,66.75,66.75,66.75,300
1688763900000,66.75,66.781,66.75,66.781,1100
1688764200000,66.787,66.787,66.775,66.775,2008
1688764500000,66.8,66.8,66.8,66.8,100
1688764800000,66.8,66.838,66.8,66.838,5060
1688765100000,66.799,66.838,66.799,66.838,3900
1688765400000,66.766,66.766,66.75,66.75,946
1688765700000,66.835,66.835,66.771,66.771,13000
1688766000000,66.87,66.87,66.87,66.87,30
1688766300000,66.835,66.875,66.823,66.875,25002
1688766600000,66.865,66.865,66.801,66.804,9742
1688766900000,66.76,66.775,66.76,66.775,2008
1688767200000,66.765,66.773,66.765,66.773,4564
1688768100000,66.783,66.843,66.783,66.843,45146
1688768400000,66.758,66.758,66.758,66.758,1498
1688769300000,66.755,66.755,66.75,66.75,87312
1688769600000,66.75,66.75,66.75,66.75,112680
1688769900000,66.767,66.767,66.767,66.767,492
1688770200000,66.794,66.805,66.794,66.805,6148
1688770500000,66.821,66.822,66.821,66.821,588
1688770800000,66.822,66.865,66.822,66.865,676
1688771100000,66.858,66.865,66.822,66.85,25190
1688771400000,66.859,66.865,66.859,66.865,2282
1688771700000,66.864,66.864,66.854,66.854,6710
1688772000000,66.85,66.85,66.838,66.838,360
1688772300000,66.838,66.865,66.714,66.852,17258
1688772600000,66.785,66.852,66.785,66.8,702
1688772900000,66.845,66.845,66.8,66.8,31266
1688773200000,66.8,66.8,66.701,66.701,23648
1688773500000,66.801,66.801,66.801,66.801,60
1688773800000,66.857,66.857,66.846,66.848,2544
1688774100000,66.863,66.863,66.799,66.799,1040
1688782200000,66.799,66.799,66.797,66.798,5890
1688782500000,66.798,66.798,66.798,66.798,18334
1688782800000,66.799,66.852,66.799,66.852,1548
1688783400000,66.8,66.83,66.8,66.83,880
1688783700000,66.85,66.85,66.75,66.751,2070
1688784000000,66.806,66.806,66.75,66.75,1600
1688784600000,66.864,66.865,66.836,66.842,9246
1688784900000,66.831,66.831,66.817,66.817,42
1688785200000,66.834,66.865,66.751,66.835,17214
1688785500000,66.835,66.866,66.835,66.866,938
1688785800000,66.866,66.866,66.866,66.866,9870
1688786400000,66.8,66.824,66.75,66.811,4836
1688786700000,66.824,66.824,66.76,66.76,398
1688787300000,66.76,66.76,66.748,66.748,1682
1688787600000,66.721,66.721,66.7,66.716,3967
1688787900000,66.736,66.797,66.736,66.797,492
1688788200000,66.747,66.797,66.705,66.705,2280
1688788500000,66.728,66.728,66.61,66.61,7324
1688788800000,66.865,66.865,66.693,66.693,6596
1688789100000,66.7,66.7,66.558,66.679,6564
1688789400000,66.672,66.72,66.638,66.72,882
1688789700000,66.665,66.665,66.612,66.612,9282
