openTime,open,high,low,close,volume
1685566800000,71.679,71.73,71.6,71.6,79840
1685567100000,71.6,71.6,71.5,71.6,43480
1685567400000,71.6,71.698,71.6,71.698,2880
1685567700000,71.598,71.8,71.565,71.719,21520
1685568000000,71.698,71.81,71.627,71.735,100400
1685568300000,71.679,71.763,71.679,71.763,40
1685568600000,71.766,71.8,71.76,71.8,26180
1685568900000,71.843,71.889,71.793,71.809,9980
1685569200000,71.822,71.917,71.759,71.804,31200
1685569500000,71.81,71.894,71.81,71.894,65820
1685569800000,71.771,71.775,71.5,71.576,82400
1685570100000,71.489,71.592,71.3,71.534,199700
1685570400000,71.534,71.534,71.41,71.479,55800
1685570700000,71.495,71.516,71.418,71.516,77320
1685571000000,71.494,71.678,71.494,71.617,37260
1685571300000,71.677,71.723,71.591,71.723,49940
1685571600000,71.725,71.741,71.631,71.691,14820
1685571900000,71.691,71.9,71.69,71.759,70960
1685572200000,71.82,71.996,71.725,71.92,101420
1685572500000,71.934,72.055,71.877,72.055,221080
1685572800000,71.93,71.93,71.69,71.69,42680
1685573100000,71.679,71.929,71.618,71.9,53200
1685573400000,71.93,71.989,71.873,71.989,59580
1685573700000,71.993,72.365,71.993,72.285,265820
1685574000000,72.155,72.16,71.924,72,190340
1685574300000,72.015,72.1,72,72,41100
1685574600000,72.058,72.223,72.05,72.1,206700
1685574900000,72.133,72.234,72.133,72.144,21760
1685575200000,72.152,72.263,72.04,72.04,26460
1685575500000,72.034,72.247,72.034,72.247,33580
1685575800000,72.215,72.247,72.208,72.208,121740
1685576100000,72.208,72.24,72.106,72.186,33780
1685576400000,72.213,72.261,72.13,72.226,48620
1685576700000,72.125,72.232,71.98,72.036,146200
1685577000000,72.047,72.1,71.968,72.042,66620
1685577300000,71.965,71.973,71.837,71.891,22920
1685577600000,71.934,71.934,71.702,71.817,27340
1685577900000,71.705,71.872,71.6,71.835,104960
1685578200000,71.82,71.84,71.702,71.824,54920
1685578500000,71.752,71.752,71.381,71.483,115900
1685578800000,71.492,71.571,71.381,71.381,34620
1685579100000,71.401,71.488,71.331,71.401,127820
1685579400000,71.5,71.5,71.18,71.18,171640
1685579700000,71.18,71.18,70.681,71.007,590820
1685580000000,71.008,71.028,70.83,70.832,79400
1685580300000,70.832,70.853,70.6,70.6,85660
1685580600000,70.732,70.979,70.64,70.8,126220
1685580900000,70.65,70.732,70.601,70.732,43740
1685581200000,70.705,70.974,70.705,70.82,78160
1685581500000,70.751,70.84,70.746,70.84,34080
1685581800000,70.909,71.05,70.909,70.927,83760
1685582100000,70.878,70.9,70.8,70.89,24880
1685582400000,70.89,70.927,70.85,70.927,21860
1685582700000,70.993,70.993,70.883,70.883,40
1685583000000,70.888,70.888,70.701,70.763,110140
1685583300000,70.76,70.918,70.76,70.82,24960
1685583600000,70.821,70.846,70.737,70.737,29640
1685583900000,70.823,71.027,70.823,70.93,43780
1685584200000,70.912,70.942,70.831,70.831,10420
1685584500000,70.92,70.94,70.89,70.94,13660
1685584800000,70.947,71.166,70.947,71.022,73040
1685585100000,71.128,71.144,70.9,70.937,146000
1685585400000,70.95,70.974,70.746,70.871,137180
1685585700000,70.912,70.977,70.9,70.9,50300
1685586000000,70.9,70.9,70.81,70.81,26660
1685586300000,70.8,70.9,70.766,70.86,25040
1685586600000,70.87,70.898,70.82,70.896,17180
1685586900000,70.83,70.83,70.687,70.733,71840
1685587200000,70.685,70.685,70.529,70.648,61640
1685587500000,70.658,70.769,70.3,70.384,246340
1685587800000,70.326,70.439,70.168,70.4,325220
1685588100000,70.4,70.441,70.148,70.441,105840
1685588400000,70.5,70.568,70.283,70.299,103760
1685588700000,70.4,70.597,70.4,70.597,19060
1685589000000,70.582,70.711,70.549,70.673,67920
1685589300000,70.663,70.777,70.643,70.692,82840
1685589600000,70.717,70.75,70.67,70.67,50240
1685589900000,70.685,70.766,70.665,70.713,17500
1685590200000,70.72,70.854,70.707,70.854,31240
1685590500000,70.866,70.93,70.782,70.92,43700
1685590800000,70.92,70.988,70.92,70.959,23980
1685591100000,70.97,70.99,70.91,70.99,12580
1685591400000,70.984,71.036,70.912,70.989,99460
1685591700000,70.999,71.012,70.911,70.996,25840
1685592000000,70.902,71.009,70.867,70.996,25420
1685592300000,71.02,71.04,70.93,71.03,74580
1685592600000,70.993,71.026,70.927,71,42100
1685592900000,71,71.025,70.998,70.998,25200
1685593200000,70.931,70.931,70.77,70.79,51130
1685593500000,70.822,70.872,70.785,70.797,24180
1685593800000,70.883,71,70.883,70.981,30500
1685594100000,70.978,70.978,70.766,70.846,12260
1685594400000,70.8,70.844,70.724,70.844,17760
