openTime,open,high,low,close,volume
1688504400000,70.678,70.678,70.536,70.569,74640
1688504700000,70.567,70.608,70.512,70.512,6620
1688505000000,70.505,70.56,70.472,70.472,17900
1688505300000,70.471,70.55,70.465,70.55,64720
1688505600000,70.532,70.602,70.51,70.581,34220
1688505900000,70.573,70.653,70.573,70.653,4240
1688506200000,70.681,70.688,70.58,70.621,7540
1688506500000,70.619,70.66,70.583,70.583,28280
1688506800000,70.553,70.576,70.506,70.576,6060
1688507100000,70.583,70.583,70.519,70.519,280
1688507400000,70.581,70.598,70.581,70.598,4200
1688507700000,70.598,70.6,70.598,70.6,220
1688508000000,70.6,70.6,70.508,70.59,17940
1688508300000,70.6,70.6,70.58,70.58,117800
1688508600000,70.618,70.656,70.518,70.622,40760
1688508900000,70.556,70.63,70.499,70.499,22660
1688509200000,70.516,70.539,70.473,70.539,9280
1688509500000,70.483,70.52,70.452,70.487,10780
1688509800000,70.482,70.516,70.4,70.431,71680
1688510100000,70.43,70.434,70.33,70.39,9860
1688510400000,70.426,70.426,70.331,70.4,12760
1688510700000,70.4,70.487,70.365,70.446,19500
1688511000000,70.461,70.501,70.461,70.498,640
1688511300000,70.498,70.573,70.498,70.554,37860
1688511600000,70.561,70.646,70.561,70.626,17240
1688511900000,70.653,70.687,70.653,70.687,6300
1688512200000,70.671,70.693,70.61,70.61,41680
1688512500000,70.65,70.65,70.464,70.505,29140
1688512800000,70.573,70.573,70.573,70.573,400
1688513100000,70.59,70.648,70.544,70.648,6100
1688513400000,70.653,70.695,70.589,70.589,36020
1688513700000,70.615,70.615,70.564,70.564,2460
1688514000000,70.638,70.638,70.5,70.548,32680
1688514300000,70.51,70.548,70.51,70.548,420
1688514600000,70.498,70.526,70.374,70.374,36220
1688514900000,70.353,70.384,70.251,70.307,34640
1688515200000,70.381,70.555,70.344,70.344,77900
1688515500000,70.356,70.43,70.281,70.381,10180
1688515800000,70.381,70.381,70.328,70.35,10360
1688516100000,70.402,70.459,70.4,70.45,49520
1688516400000,70.413,70.563,70.413,70.563,64300
1688516700000,70.573,70.611,70.561,70.561,5460
1688517000000,70.502,70.502,70.481,70.481,5340
1688517300000,70.532,70.636,70.532,70.636,1360
1688517600000,70.636,70.64,70.544,70.544,42660
1688517900000,70.524,70.587,70.446,70.54,36180
1688518200000,70.552,70.58,70.52,70.58,71280
1688518500000,70.495,70.495,70.394,70.394,21060
1688518800000,70.386,70.59,70.34,70.534,57420
1688519100000,70.592,70.6,70.51,70.51,21500
1688519400000,70.532,70.656,70.532,70.656,27140
1688519700000,70.66,70.8,70.66,70.762,71200
1688520000000,70.716,70.754,70.638,70.754,6220
1688520300000,70.8,70.825,70.652,70.688,131900
1688520600000,70.698,70.874,70.698,70.873,73720
1688520900000,70.873,70.904,70.824,70.904,20360
1688521200000,70.912,70.916,70.78,70.819,21740
1688521500000,70.838,70.96,70.791,70.791,225020
1688521800000,70.759,70.809,70.7,70.711,56020
1688522400000,70.71,70.71,70.547,70.547,14940
1688522700000,70.547,70.64,70.547,70.64,15000
1688523000000,70.65,70.764,70.613,70.707,37180
1688523300000,70.672,70.8,70.672,70.708,44440
1688523600000,70.725,70.731,70.725,70.73,5040
1688523900000,70.8,70.824,70.717,70.717,26460
1688524200000,70.713,70.722,70.706,70.706,3720
1688524500000,70.712,70.838,70.712,70.81,15240
1688525100000,70.759,70.759,70.693,70.693,44040
1688525400000,70.698,70.703,70.63,70.637,28100
1688526000000,70.715,70.802,70.715,70.8,70620
1688526300000,70.8,70.896,70.767,70.857,40140
1688526600000,70.854,70.854,70.798,70.812,44140
1688526900000,70.772,70.841,70.708,70.841,22200
