openTime,open,high,low,close,volume
1685656500000,124.88,124.88,124.88,124.88,5
1685658600000,124.8,124.8,124.33,124.424,163.7
1685658900000,124.432,124.432,124.432,124.432,0.8
1685660400000,124.456,124.456,124.456,124.456,4
1685663100000,124.33,124.33,124.33,124.33,60
1685664600000,124.33,124.33,124.223,124.223,162.2
1685665200000,124.248,124.248,124.248,124.248,410
1685666100000,124.223,124.223,124,124,201
1685668500000,124,124,123,123,193.2
1685670300000,124.176,124.176,124.176,124.176,1
1685670600000,124.184,124.184,124.184,124.184,80
1685674500000,124,124,124,124,3.8
1685675700000,124.512,124.624,124.512,124.624,10
1685677800000,124.624,124.624,124.624,124.624,11.2
1685678400000,125.024,125.672,124.344,125.672,710.3
1685678700000,124.224,124.992,124.224,124.992,197.5
1685683200000,125.736,125.736,125.736,125.736,200
1685684400000,124.96,125.688,124.96,125.688,7.2
1685688600000,125.696,125.696,124.384,124.384,4.2
1685692800000,124.352,124.384,123.864,123.864,408.2
1685694900000,125.152,125.152,125.152,125.152,5
1685698800000,125.184,125.216,125.184,125.216,4.1
1685701500000,125.24,125.25,125.24,125.25,9
1685703600000,124.5,124.5,124.5,124.5,20.2
1685703900000,125.232,125.24,125.232,125.24,12
1685707200000,124.512,126.016,124.5,124.5,670.1
1685707500000,125.2,125.2,125.2,125.2,5
1685712600000,124.5,124.5,124.5,124.5,10
1685717700000,125.952,125.96,125.952,125.96,144
1685721300000,125.712,125.712,125.712,125.712,10
1685728800000,126.36,126.36,126.36,126.36,10
1685736900000,126.344,126.344,126.344,126.344,7
1685738400000,127.04,127.04,127.04,127.04,0.5
