openTime,open,high,low,close,volume
1685482800000,131.648,131.648,131.648,131.648,5
1685487000000,131.5,131.5,131.12,131.12,459.6
1685487300000,131.12,131.12,131.12,131.12,305.6
1685487600000,131.128,131.128,131.12,131.12,309.8
1685488500000,131.12,131.12,131.12,131.12,384.2
1685489700000,131.12,131.12,130.024,130.024,9.3
1685496000000,130.016,130.016,130.016,130.016,100
1685498700000,130.016,130.016,130,130,308.8
1685499000000,130,130,130,130,154.2
1685501100000,130,130,130,130,154.2
1685503800000,130,130,129.88,129.88,204.2
1685507100000,130,130,129.88,129.88,1081.8
1685508300000,129.88,129.88,129.88,129.88,667.4
1685508600000,129.88,129.88,129.88,129.88,349.8
1685508900000,129.88,129.88,129.88,129.88,307.6
1685509500000,129.88,129.92,129.88,129.92,410
1685509800000,129.88,129.88,129.88,129.88,228.2
1685511300000,129.88,129.88,129.88,129.88,225
1685511600000,129.88,129.88,129.88,129.88,209.6
1685512500000,129.88,129.88,129.88,129.88,1269.1
1685512800000,129.6,129.6,128.55,128.55,260.2
1685513100000,128.616,128.616,128.55,128.55,802
1685513400000,128.592,128.656,128.592,128.656,40
1685516100000,128.656,128.656,128.656,128.656,2.6
1685518200000,128.728,128.728,128.728,128.728,50
1685521500000,128.55,128.55,128.55,128.55,168.6
1685523600000,128.55,128.55,128.55,128.55,224.6
1685525400000,128.55,128.55,128.55,128.55,100
1685526600000,128.552,128.552,128.552,128.552,4
1685526900000,128.552,128.552,128.552,128.552,73.2
1685527200000,128.584,128.584,128.584,128.584,85
1685527500000,128.55,128.55,128.55,128.55,356.8
1685528700000,128.552,128.552,128.552,128.552,1
1685529300000,128.55,128.55,128.55,128.55,2000
1685530500000,128.688,128.688,128.688,128.688,100
1685531400000,128.551,128.551,128.55,128.55,20
1685534100000,128.56,128.56,128.56,128.56,3.4
1685535300000,128.55,128.55,128.55,128.55,20
1685537100000,128.55,128.55,127.54,127.54,471.8
1685537400000,127.54,127.54,127.54,127.54,157.4
1685537700000,127.568,127.568,127.568,127.568,2
1685538600000,127.576,127.576,127.576,127.576,20
1685538900000,127.592,127.592,127.592,127.592,7.9
1685539800000,127.6,127.6,127.6,127.6,5
1685540100000,127.54,127.54,127.4,127.4,157.6
1685540700000,127.4,127.4,127,127,158
1685542800000,127,127,126.55,126.55,476
1685543100000,126.55,126.55,126.55,126.55,316.6
1685552400000,126.72,126.72,126.72,126.72,2
1685552700000,126.768,126.768,126.768,126.768,1.5
1685558100000,126.776,126.776,126.776,126.776,65
