openTime,open,high,low,close,volume
1686085200000,3.959,3.985,3.959,3.985,500
1686085500000,3.985,3.985,3.985,3.985,34300
1686087300000,3.985,3.985,3.985,3.985,4
1686087900000,3.985,3.985,3.985,3.985,4500
1686088500000,3.984,3.984,3.984,3.984,606
1686088800000,3.984,3.984,3.984,3.984,800
1686089100000,3.951,3.951,3.951,3.951,318
1686090000000,3.972,3.972,3.972,3.972,2
1686090900000,3.953,3.953,3.953,3.953,2
1686091200000,3.97,3.97,3.97,3.97,4000
1686091500000,3.971,3.971,3.971,3.971,6042
1686093300000,3.956,3.956,3.956,3.956,2
1686093900000,3.956,3.97,3.956,3.97,202
1686094200000,3.956,3.956,3.956,3.956,174
1686094500000,3.97,3.97,3.95,3.95,73936
1686094800000,3.95,3.954,3.931,3.931,10062
1686096000000,3.932,3.949,3.93,3.93,36074
1686096600000,3.931,3.931,3.93,3.93,7988
1686096900000,3.931,3.931,3.93,3.93,1994
1686099600000,3.939,3.939,3.93,3.938,6918
1686100200000,3.94,3.94,3.94,3.94,20
1686101100000,3.94,3.95,3.93,3.93,6906
1686101400000,3.931,3.931,3.93,3.93,600
1686102300000,3.93,3.93,3.93,3.93,1804
1686102900000,3.93,3.947,3.93,3.947,22
1686103200000,3.93,3.96,3.93,3.96,264
1686104100000,3.931,3.945,3.924,3.924,3972
1686104400000,3.924,3.924,3.92,3.92,34014
1686105000000,3.916,3.916,3.916,3.916,31000
1686105600000,3.907,3.907,3.9,3.9,3710
1686105900000,3.935,3.943,3.935,3.943,90000
1686106200000,3.945,4.04,3.945,4.04,140000
1686106500000,3.95,3.951,3.95,3.951,52
1686106800000,3.946,3.947,3.946,3.947,52
1686107700000,3.924,3.924,3.923,3.923,1994
1686108000000,3.95,3.95,3.95,3.95,8
1686109200000,3.938,4.014,3.938,4.014,4000
1686109500000,3.943,3.943,3.943,3.943,1000
1686110100000,3.949,3.949,3.949,3.949,8000
1686110400000,3.925,3.925,3.925,3.925,1994
1686110700000,3.926,3.926,3.925,3.925,1994
1686111000000,3.947,3.947,3.947,3.947,2
1686111900000,3.927,3.927,3.926,3.926,502
1686114000000,3.95,3.95,3.95,3.95,20
1686117300000,3.928,3.95,3.928,3.95,102
1686118200000,3.948,3.948,3.927,3.927,10400
