openTime,open,high,low,close,volume
1688677200000,4.105,4.105,4.105,4.105,520
1688677500000,4.107,4.107,4.107,4.107,280
1688678400000,4.067,4.067,4.06,4.06,2644
1688678700000,4.1,4.111,4.1,4.104,2616
1688679000000,4.106,4.106,4.101,4.101,1500
1688679300000,4.108,4.109,4.06,4.06,2600
1688679600000,4.101,4.101,4.101,4.101,2
1688680200000,4.108,4.295,4.053,4.103,182050
1688680500000,4.11,4.11,4.11,4.11,6
1688681400000,4.073,4.108,4.052,4.095,69844
1688681700000,4.059,4.059,4.052,4.052,2000
1688682900000,4.096,4.096,4.096,4.096,200
1688683200000,4.096,4.096,4.096,4.096,100
1688683500000,4.054,4.111,4.054,4.111,4
1688683800000,4.056,4.056,4.053,4.053,4032
1688684100000,4.089,4.089,4.088,4.088,14090
1688684400000,4.088,4.088,4.088,4.088,3696
1688684700000,4.088,4.089,4.088,4.089,560
1688685000000,4.088,4.093,4.05,4.05,8490
1688685300000,4.074,4.074,4.05,4.05,22
1688685600000,4.051,4.06,4.05,4.06,103724
1688685900000,4.051,4.051,4.05,4.05,2000
1688686200000,4.051,4.053,4.05,4.053,50330
1688687100000,4.051,4.051,4.011,4.011,143656
1688687400000,4.056,4.056,4.056,4.056,20
1688687700000,4.015,4.015,4.01,4.01,3000
1688688300000,4.01,4.01,4.01,4.01,6018
1688688900000,4.035,4.035,4.035,4.035,60
1688690100000,4.038,4.038,4.038,4.038,20
1688690400000,4.033,4.041,4.033,4.041,6040
1688690700000,4.039,4.039,4.039,4.039,20
1688692800000,4.031,4.051,4.01,4.045,1602
1688694000000,4.039,4.04,4.039,4.04,20000
1688695800000,4.033,4.033,4.033,4.033,200
1688696400000,4.027,4.027,4.027,4.027,20
1688698500000,4.046,4.046,4.046,4.046,20
1688698800000,4.03,4.03,4.03,4.03,800
1688699100000,4.03,4.03,4.03,4.03,14412
1688699400000,4.03,4.03,4.012,4.012,18966
1688699700000,4.013,4.013,4.012,4.012,670
1688700300000,4.026,4.044,4.026,4.044,36618
1688700600000,4.028,4.028,4.028,4.028,4002
1688700900000,4.028,4.028,4.028,4.028,3002
1688701200000,4.044,4.052,4.044,4.051,19818
1688701500000,4.052,4.065,4.016,4.016,122000
1688701800000,4.061,4.091,4.03,4.056,46372
1688702100000,4.045,4.045,4.044,4.044,6000
1688702400000,4.075,4.075,4.075,4.075,10
1688702700000,4.081,4.115,4.043,4.06,69942
1688703000000,4.06,4.06,4.058,4.058,48996
1688703600000,4.061,4.278,4.058,4.278,154030
1688703900000,4.093,4.093,4.093,4.093,200
1688704200000,4.053,4.194,4.052,4.101,49418
1688704500000,4.101,4.101,4.101,4.101,286
1688704800000,4.1,4.1,4.1,4.1,400
1688705400000,4.081,4.081,4.081,4.081,15760
1688705700000,4.081,4.081,4.06,4.06,91826
1688706000000,4.062,4.062,4.061,4.061,130
1688706300000,4.06,4.06,4.06,4.06,4000
1688707200000,4.054,4.054,4.054,4.054,2
1688707500000,4.086,4.086,4.086,4.086,6
1688710200000,4.094,4.094,4.094,4.094,20
1688710800000,4.055,4.057,4.054,4.057,15054
1688711100000,4.082,4.101,4.082,4.1,80926
1688711400000,4.101,4.131,4.081,4.131,53708
1688711700000,4.129,4.132,4.129,4.131,3482
1688713500000,4.11,4.111,4.11,4.11,19468
1688713800000,4.11,4.11,4.11,4.11,43248
1688714100000,4.092,4.092,4.091,4.091,3100
1688714400000,4.072,4.072,4.072,4.072,48
1688715000000,4.06,4.06,4.059,4.06,4026
1688715300000,4.059,4.059,4.04,4.04,79002
1688717400000,4.049,4.078,4.049,4.078,110462
1688719200000,4.045,4.045,4.04,4.04,4000
1688720400000,4.044,4.044,4.043,4.043,8000
1688721000000,4.044,4.044,4.044,4.044,132
