openTime,open,high,low,close,volume
1686085500000,49.439,49.439,49.439,49.439,418
1686087000000,49.268,49.268,49.196,49.196,400
1686087300000,49.379,49.379,49.379,49.379,40
1686087600000,49.379,49.379,49.379,49.379,10
1686088200000,49.397,49.397,49.397,49.397,100
1686088800000,49.41,49.41,49.41,49.41,120
1686089100000,49.158,49.158,49.158,49.158,6
1686090300000,49.259,49.259,49.259,49.259,2
1686093300000,49.555,49.555,49.555,49.555,20
1686094200000,49.409,49.527,49.409,49.527,21
1686094500000,49.526,49.526,49.526,49.526,44
1686096000000,49.327,49.327,49.327,49.327,400
1686096600000,49.327,49.327,49,49,400
1686097500000,49.104,49.104,49.104,49.104,16
1686099300000,49.09,49.09,49.09,49.09,4000
1686099600000,49,49,48.724,48.724,730
1686099900000,48.7,48.7,48.7,48.7,40000
1686100200000,48.6,48.6,48.6,48.6,10
1686102600000,48.5,48.503,48.5,48.503,300
1686102900000,48.5,48.5,48.5,48.5,2
1686103200000,48.5,48.5,48.094,48.094,49226
1686103800000,48.5,48.5,48.5,48.5,600
1686104100000,48.5,48.5,48.5,48.5,60
1686105600000,48.5,48.5,48.315,48.315,101
1686106200000,48.201,48.201,48.201,48.201,6000
1686106800000,48.378,48.378,48.378,48.378,100
1686107100000,48.378,48.378,48.201,48.201,3015
1686107400000,48.285,48.285,48.285,48.285,3000
1686108000000,48.094,48.246,48.013,48.246,1622
1686108600000,48.094,48.094,48.094,48.094,60
1686109200000,48.096,48.096,48.094,48.096,81
1686110100000,48.1,48.1,48.1,48.1,430
1686111300000,48.1,48.117,48.1,48.117,65
1686112800000,48.062,48.254,48.062,48.254,820
1686114000000,48.44,48.44,48.44,48.44,10
1686114300000,48.473,48.473,48.473,48.473,400
1686114600000,48.274,48.274,48.274,48.274,400
1686115200000,48.2,48.2,48.177,48.177,2674
1686118200000,48.228,48.228,48.227,48.227,87
