openTime,open,high,low,close,volume
1686690300000,38.726,38.726,38.726,38.726,40
1686692700000,38.448,38.448,38.448,38.448,200
1686694200000,38.565,38.588,38.565,38.588,7798
1686694500000,38.404,38.404,38.404,38.404,40
1686695100000,38.49,38.49,38.49,38.49,120
1686696000000,38.49,38.49,38.49,38.49,1
1686697500000,38.489,38.489,38.489,38.489,20
1686700200000,38.679,38.679,38.679,38.679,8
1686701100000,38.678,38.678,38.678,38.678,50
1686703800000,38.73,38.73,38.73,38.73,4
1686705900000,38.498,38.498,38.41,38.41,11251
1686707100000,38.73,38.73,38.73,38.73,10
1686707400000,38.73,38.73,38.73,38.73,2
1686709500000,38.73,38.753,38.73,38.753,200
1686710400000,38.753,38.863,38.753,38.863,800
1686710700000,38.856,38.859,38.856,38.859,26823
1686711000000,38.858,38.868,38.858,38.868,29525
1686711300000,38.868,38.868,38.868,38.868,2064
1686711600000,38.868,38.868,38.868,38.868,10000
1686712500000,38.868,38.868,38.701,38.701,200
1686712800000,38.736,38.736,38.736,38.736,10
1686713100000,38.739,38.739,38.739,38.739,1000
1686713400000,38.742,38.742,38.742,38.742,30
1686713700000,38.772,38.772,38.7,38.7,10266
1686714300000,38.799,38.799,38.799,38.799,1
1686717300000,38.7,38.7,38.628,38.628,8080
1686721800000,38.5,38.5,38.5,38.5,2
1686722100000,38.4,38.4,38.4,38.4,600
1686723600000,38.516,38.525,38.516,38.525,204
1686726900000,38.4,38.4,38.1,38.1,1126
1686728100000,38.103,38.103,38.1,38.1,110
1686728400000,38.135,38.15,38.135,38.15,10
1686729600000,38.1,38.1,37.8,37.8,4532
1686729900000,38.2,38.268,38.2,38.268,200
1686730200000,38.269,38.269,38.269,38.269,3272
1686730500000,38.3,38.4,38.3,38.4,920
1686730800000,38.3,38.3,38.3,38.3,13260
1686731700000,38.303,38.303,38.303,38.303,1560
1686732000000,38.371,38.371,38.371,38.371,16
1686734100000,38.27,38.387,38.12,38.387,410
1686735600000,38.4,38.516,38.4,38.516,104
1686735900000,38.529,38.529,38.529,38.529,50
1686737700000,38.588,38.592,38.587,38.592,1918
1686739800000,38.529,38.529,38.472,38.483,670
1686740700000,38.6,38.6,38.6,38.6,10
1686741300000,38.71,38.71,38.71,38.71,30
1686742200000,38.596,38.596,38.596,38.596,400
1686742500000,38.666,38.666,38.666,38.666,1
1686744000000,38.71,38.744,38.447,38.447,3202
1686744300000,38.692,38.692,38.692,38.692,1
1686745500000,38.631,38.631,38.631,38.631,12
1686745800000,38.8,38.834,38.8,38.834,10567
1686748200000,38.858,38.858,38.631,38.631,1002
1686748500000,38.662,38.662,38.662,38.662,500
1686748800000,38.4,38.4,38.279,38.279,892
1686749100000,38.472,38.472,38.472,38.472,500
1686750000000,38.472,38.472,38.472,38.472,180
1686750300000,38.33,38.33,38.33,38.33,1014
1686751800000,38.414,38.414,38.414,38.414,2
1686752400000,38.414,38.414,38.414,38.414,100
1686752700000,38.33,38.33,38.131,38.131,3036
1686753600000,38.401,38.401,38.401,38.401,2
1686755100000,38.253,38.253,38.253,38.253,200
1686756600000,38.399,38.399,38.399,38.399,480
1686758100000,38.399,38.399,38.399,38.399,200
1686759000000,38.42,38.42,38.42,38.42,25
1686760200000,38.419,38.419,38.419,38.419,60
1686761700000,38.319,38.319,38.319,38.319,10252
1686765900000,38.01,38.01,38.01,38.01,600
1686766500000,38.01,38.01,38.01,38.01,1
1686767400000,38.025,38.025,38.025,38.025,2
1686768000000,38.167,38.215,38.167,38.215,22
1686768300000,38.395,38.395,38.395,38.395,200
1686769500000,38.395,38.395,38.395,38.395,40
1686772800000,38,38,37.774,37.777,4661
1686773100000,37.739,37.739,36.838,36.983,15175
1686773700000,36.982,36.982,36.982,36.982,540
1686774600000,36.984,36.984,36.6,36.6,58862
1686774900000,36.6,36.902,36.5,36.902,4201
1686775200000,36.901,36.901,36.901,36.901,440
1686775500000,36.509,36.509,36.509,36.509,1078
1686775800000,36.501,36.504,36.5,36.504,29200
1686776100000,36.506,36.508,36.5,36.5,1474
