openTime,open,high,low,close,volume
1685740800000,7,7,7,7,2862
1685742900000,6.956,6.956,6.923,6.923,20000
1685743200000,7,7,7,7,200
1685744100000,7,7,7,7,260
1685744400000,7,7,7,7,3278
1685744700000,7.004,7.011,7.004,7.011,982
1685745300000,7.011,7.05,7.011,7.05,1898
1685745900000,7.05,7.05,7.05,7.05,1280
1685746800000,7.05,7.05,7.05,7.05,100
1685747100000,7.05,7.05,7.05,7.05,49724
1685747400000,7.05,7.05,7.05,7.05,2000
1685747700000,7.061,7.1,7.061,7.1,5000
1685748600000,7.05,7.05,6.968,6.968,51200
1685749500000,7.01,7.01,7.01,7.01,420
1685758200000,7.01,7.01,7.01,7.01,40
1685758500000,7.01,7.056,7.01,7.056,8558
1685758800000,7.061,7.091,7.061,7.091,2200
1685760000000,7.093,7.093,7.091,7.091,1400
1685765100000,7.07,7.07,7.07,7.07,566
1685765400000,7.011,7.011,7,7,6400
1685765700000,7.061,7.061,7.061,7.061,100
1685767200000,7.06,7.07,7.06,7.07,940
1685767500000,7.07,7.07,7.07,7.07,900
1685768100000,7.07,7.07,7.07,7.07,800
1685769600000,7.07,7.097,7.07,7.097,2830
1685772900000,7.099,7.099,7.099,7.099,200
1685775900000,7.099,7.099,7.099,7.099,3000
1685776500000,7.098,7.098,7.098,7.098,720
1685776800000,7.097,7.097,7.097,7.097,400
1685778000000,7.02,7.02,7.02,7.02,600
1685778600000,7.095,7.095,7.095,7.095,20
1685779200000,7.095,7.095,7.095,7.095,140
1685779500000,7.09,7.09,7.09,7.09,28300
1685780100000,7.09,7.09,7.09,7.09,8000
1685780400000,7.09,7.09,7.09,7.09,300
1685780700000,7.099,7.099,7.099,7.099,2000
1685781000000,7.03,7.03,7.03,7.03,1400
1685781300000,7.099,7.099,7.099,7.099,100
1685781600000,7.099,7.099,7.099,7.099,6200
1685782200000,7.099,7.099,7.099,7.099,20
1685782800000,7.03,7.03,7.03,7.03,700
1685783400000,7.099,7.099,7.099,7.099,2600
1685785500000,7.099,7.099,7.099,7.099,2400
1685787300000,7.099,7.1,7.099,7.1,20000
1685787900000,7.099,7.099,7.099,7.099,100
1685788200000,7.1,7.1,7.1,7.1,4200
1685788500000,7.1,7.1,7.1,7.1,2000
1685788800000,7.1,7.1,7.1,7.1,40000
1685790000000,7.1,7.1,7.031,7.031,2496
1685790900000,7.106,7.106,7.105,7.105,560
1685791200000,7.111,7.131,7.111,7.131,400
1685791800000,7.096,7.096,7.096,7.096,2000
1685792100000,7.063,7.063,7.063,7.063,6338
1685792400000,7.063,7.095,7.063,7.095,1520
1685793600000,7.12,7.12,7.12,7.12,22
1685794200000,7.107,7.107,7.085,7.101,4600
1685795400000,7.1,7.1,7.023,7.023,1076
1685796300000,7.024,7.024,7.023,7.023,1350
1685796900000,7.079,7.079,7.079,7.079,240
1685798100000,7.021,7.021,7.021,7.021,1490
1685798400000,7.021,7.08,7.02,7.02,45040
1685798700000,7.02,7.02,7.02,7.02,4190
1685799300000,7.02,7.02,7.02,7.02,2400
1685800500000,7.07,7.07,7.07,7.07,20
1685800800000,7.016,7.016,7.015,7.015,2600
1685801400000,7.011,7.011,7.01,7.01,4000
1685801700000,7.01,7.01,7.007,7.007,2680
1685802900000,7.007,7.007,7.007,7.007,812
1685804400000,7.061,7.061,7.061,7.061,220
1685804700000,7.06,7.06,7.06,7.06,706
1685805900000,7.06,7.06,7.06,7.06,28200
1685815200000,7.011,7.011,7,7,2868
1685815500000,7,7,7,7,2874
1685820600000,7.008,7.008,7.008,7.008,4000
1685822400000,7,7,7,7,768
1685822700000,7,7,7,7,1556
1685825400000,6.98,6.98,6.95,6.95,3500
