openTime,open,high,low,close,volume
1686171600000,6.026,6.026,6.026,6.026,10000
1686171900000,6,6,5.999,5.999,2352
1686172200000,6,6.006,6,6.006,18284
1686172500000,6,6,6,6,4270
1686172800000,6.007,6.013,6.007,6.013,4200
1686173100000,6.013,6.013,6.013,6.013,10
1686173400000,6.02,6.02,6.02,6.02,50
1686173700000,6,6,5.998,5.998,2412
1686174000000,5.94,5.99,5.94,5.99,3394
1686174300000,5.991,5.991,5.991,5.991,1000
1686174600000,5.94,5.94,5.938,5.938,28323
1686174900000,5.944,5.946,5.944,5.946,1690
1686175200000,5.96,5.96,5.96,5.96,10
1686175500000,5.953,5.957,5.903,5.903,5500
1686176400000,5.973,5.973,5.973,5.973,100
1686177000000,5.971,5.971,5.97,5.97,210
1686177300000,5.906,5.953,5.9,5.953,24828
1686177600000,5.95,5.95,5.95,5.95,10000
1686177900000,5.953,5.953,5.953,5.953,10000
1686178200000,5.95,5.963,5.95,5.963,10170
1686178500000,5.961,5.961,5.961,5.961,83
1686179100000,5.92,5.92,5.92,5.92,20
1686179700000,5.948,5.948,5.948,5.948,100
1686180000000,5.972,5.974,5.9,5.972,40488
1686180300000,5.9,5.972,5.9,5.972,38730
1686180600000,5.976,5.976,5.976,5.976,42
1686180900000,5.974,5.974,5.974,5.974,4000
1686181800000,5.97,5.97,5.97,5.97,2358
1686182700000,5.963,5.969,5.963,5.969,10200
1686183300000,5.959,5.97,5.959,5.97,8020
1686184500000,5.984,5.984,5.984,5.984,600
1686184800000,5.981,5.981,5.981,5.981,366
1686185100000,5.982,5.982,5.982,5.982,40
1686185700000,5.984,5.984,5.984,5.984,10000
1686186000000,5.981,5.981,5.981,5.981,6720
1686186600000,5.994,5.994,5.994,5.994,100
1686187200000,5.994,5.994,5.994,5.994,3368
1686187500000,5.994,5.994,5.994,5.994,24194
1686187800000,6.001,6.001,5.994,5.994,22020
1686188100000,5.994,5.994,5.994,5.994,36000
1686188700000,5.994,6.005,5.905,6.005,7160
1686189000000,5.905,5.993,5.905,5.993,486
1686189300000,5.905,5.988,5.905,5.988,20400
1686189900000,5.979,5.979,5.979,5.979,160
1686190500000,5.971,5.971,5.971,5.971,20
1686190800000,5.988,5.988,5.985,5.985,5000
1686191100000,5.905,5.905,5.905,5.905,100
1686191700000,5.962,5.962,5.962,5.962,20
