openTime,open,high,low,close,volume
1685739600000,1489,1489,1489,1489,20
1685743500000,1489,1489,1489,1489,0.68
1685744100000,1489,1489,1489,1489,4.04
1685747100000,1489,1489,1489,1489,1.62
1685748300000,1488,1488,1488,1488,8
1685759100000,1487,1487,1487,1487,2
1685760900000,1486,1486,1486,1486,11.5
1685761200000,1486,1486,1486,1486,2
1685765100000,1483,1483,1477,1477,8
1685766900000,1483,1483,1483,1483,10
1685769900000,1480,1480,1479,1479,5.4
1685770200000,1484,1484,1484,1484,0.35
1685781900000,1484,1484,1480,1480,20
1685782800000,1480,1480,1480,1480,22
1685783100000,1486,1486,1486,1486,2
1685784300000,1487,1487,1487,1487,0.68
1685785500000,1487,1487,1487,1487,2.8
1685790900000,1488,1488,1488,1488,6
1685792100000,1485,1485,1485,1485,0.3
1685793300000,1488,1489,1488,1489,19.42
1685793600000,1488,1489,1488,1489,6.6
1685794200000,1489,1490,1489,1490,6
1685795400000,1490,1490,1490,1490,12
1685796900000,1489,1489,1489,1489,2
1685801700000,1489,1489,1488,1488,19
1685802000000,1490,1490,1490,1490,4
1685806800000,1490,1493,1490,1493,10
1685807100000,1493,1496,1493,1496,24
1685807400000,1496,1496,1496,1496,4.3
1685808300000,1493,1493,1493,1493,30
1685809500000,1493,1493,1493,1493,106.98
1685810100000,1493,1499,1493,1499,0.04
1685810700000,1499,1499,1499,1499,6.68
1685811000000,1499,1500,1499,1500,119.7
1685811300000,1500,1500,1500,1500,26.6
