openTime,open,high,low,close,volume
1687209300000,1215,1215,1215,1215,0.02
1687211400000,1214,1214,1214,1214,4.68
1687215000000,1217,1217,1216,1216,3
1687215300000,1220,1220,1219,1219,2.82
1687215600000,1219,1219,1219,1219,2
1687216200000,1220,1220,1220,1220,1.98
1687218300000,1220,1220,1220,1220,1
1687218900000,1220,1220,1220,1220,14.64
1687222200000,1220,1220,1220,1220,10
1687223100000,1220,1220,1220,1220,16.32
1687223400000,1220,1223,1220,1223,195.84
1687223700000,1223,1223,1223,1223,154.88
1687224000000,1223,1223,1223,1223,48.92
1687225800000,1218,1218,1217,1217,12.18
1687226700000,1220,1220,1220,1220,2
1687228500000,1216,1216,1216,1216,2
1687229700000,1220,1220,1220,1220,4
1687230600000,1220,1220,1220,1220,180.02
1687231200000,1220,1220,1220,1220,110
1687232700000,1219,1219,1219,1219,2
1687235400000,1220,1220,1220,1220,0.02
1687236900000,1217,1217,1217,1217,10
1687237200000,1220,1220,1220,1220,16.36
1687237500000,1220,1220,1219,1219,120
1687237800000,1220,1220,1219,1219,17.36
1687238100000,1220,1220,1220,1220,278.12
1687239000000,1220,1220,1220,1220,16.36
1687242300000,1220,1220,1220,1220,49.08
1687243500000,1220,1220,1220,1220,0.36
1687243800000,1220,1220,1220,1220,400
1687244100000,1220,1220,1220,1220,16.36
1687244400000,1220,1220,1220,1220,32.72
1687246200000,1220,1220,1220,1220,63.68
1687250700000,1219,1219,1212,1212,59.87
1687253400000,1210,1210,1210,1210,76.23
1687253700000,1209,1209,1209,1209,4.52
1687254600000,1209,1209,1209,1209,20.08
1687254900000,1215,1215,1215,1215,2
1687256100000,1210,1210,1210,1210,3.1
1687257300000,1208,1208,1208,1208,0.5
1687257600000,1208,1208,1208,1208,2.02
1687258200000,1211,1211,1211,1211,59
1687258500000,1209,1209,1209,1209,16.18
1687259100000,1209,1209,1209,1209,8
1687259400000,1208,1208,1208,1208,99.92
1687259700000,1209,1209,1208,1208,98.08
1687261200000,1208,1208,1203,1203,151.33
1687261500000,1203,1203,1203,1203,15.32
1687262400000,1207,1207,1207,1207,92.12
1687263000000,1207,1207,1205,1205,10.02
1687263300000,1205,1205,1205,1205,40
1687263900000,1205,1205,1203,1203,21.64
1687264200000,1203,1203,1203,1203,16.72
1687264800000,1204,1204,1204,1204,9
1687265400000,1203,1203,1200,1200,50.64
1687266000000,1201,1201,1201,1201,10
1687266300000,1201,1201,1201,1201,2
1687266900000,1200,1200,1200,1200,300.72
1687268400000,1200,1200,1200,1200,151.9
1687268700000,1200,1200,1200,1200,134.06
1687269000000,1200,1200,1200,1200,39.62
1687269300000,1201,1201,1201,1201,0.02
1687269600000,1200,1200,1191,1191,265.15
1687269900000,1191,1191,1183,1183,84.82
1687270200000,1184,1184,1184,1184,0.1
1687270500000,1183,1184,1183,1184,100.26
1687270800000,1184,1184,1184,1184,192.17
1687271100000,1183,1183,1180,1180,40
1687271400000,1180,1180,1180,1180,17.98
1687272300000,1180,1180,1180,1180,2
1687273500000,1180,1180,1180,1180,11
1687274400000,1180,1180,1171,1171,426.26
1687274700000,1171,1171,1171,1171,2.36
1687275000000,1177,1177,1177,1177,52
1687275300000,1177,1177,1177,1177,18
1687276200000,1179,1179,1179,1179,0.32
1687276800000,1179,1185,1179,1185,60
1687277400000,1186,1186,1186,1186,2
1687277700000,1181,1181,1181,1181,20.9
1687278000000,1185,1188,1185,1188,10
1687282500000,1193,1193,1193,1193,2
1687284300000,1193,1205,1193,1205,20.25
1687285200000,1205,1210,1205,1210,21.68
1687285500000,1210,1220,1210,1220,212.72
1687285800000,1220,1220,1220,1220,16.36
1687289100000,1220,1220,1220,1220,20
1687290600000,1220,1220,1220,1220,2
1687291200000,1220,1233,1220,1233,101.78
1687292700000,1229,1233,1227,1233,3.81
1687293600000,1233,1233,1233,1233,2.12
1687293900000,1232,1232,1232,1232,68.46
1687294200000,1232,1232,1232,1232,28
