openTime,open,high,low,close,volume
1686776400000,23,23,23,23,800
1686776700000,23.002,23.002,23.002,23.002,800
1686777600000,23,23,23,23,400
1686778200000,23.003,23.008,23.003,23.008,481
1686778500000,23.01,23.018,23.01,23.018,10000
1686778800000,23.04,23.31,23.04,23.31,1000
1686779700000,23.31,23.31,23.31,23.31,4400
1686780000000,23.31,23.31,23.31,23.31,16000
1686780300000,23.31,23.31,23,23.018,4640
1686780600000,23.02,23.02,23.02,23.02,100
1686781800000,23.03,23.03,23.03,23.03,20
1686783000000,23.03,23.03,23.03,23.03,2600
1686784800000,23.02,23.02,23.02,23.02,800
1686785400000,23.02,23.02,23.02,23.02,800
1686786300000,23.02,23.02,23.02,23.02,800
1686786600000,23.02,23.02,23.02,23.02,126
1686786900000,23.03,23.03,23.03,23.03,734
1686787200000,23,23,22.9,22.901,3309
1686787500000,22.901,22.901,22.901,22.901,860
1686787800000,23.03,23.03,23.03,23.03,800
1686788400000,23.03,23.03,23.03,23.03,7932
1686792600000,23.204,23.323,23.204,23.323,368
1686795300000,23.323,23.338,23.323,23.338,1768
1686797100000,23.29,23.29,23.29,23.29,680
1686799200000,23.38,23.398,23.38,23.398,3
1686800100000,23.398,23.398,23.398,23.398,88
1686800700000,23.324,23.324,23.324,23.324,2912
1686803400000,23.39,23.39,23.39,23.39,2
1686804600000,23.482,23.482,23.482,23.482,2
1686804900000,23.502,23.502,23.502,23.502,1
1686806400000,23.52,23.52,23.52,23.52,1
1686808200000,23.52,23.55,23.52,23.55,9339
1686808500000,23.568,23.62,23.568,23.62,5835
1686808800000,23.67,23.67,23.67,23.67,2811
1686810000000,23.39,23.39,23.223,23.223,20
1686813900000,23.292,23.292,23.292,23.292,1
1686816900000,23.306,23.306,23.306,23.306,1
1686819900000,23.32,23.32,23.32,23.32,30
1686821100000,23.05,23.05,22.91,22.91,9661
1686823200000,23.146,23.146,23.146,23.146,2152
1686823500000,23.146,23.146,23.146,23.146,7848
1686824400000,23.254,23.254,23.254,23.254,500
1686825300000,23.064,23.064,23.064,23.064,98
1686827100000,23.148,23.148,23.148,23.148,500
1686829200000,23.148,23.148,23.148,23.148,638
1686830700000,23.348,23.348,23.348,23.348,1
1686836700000,23.41,23.422,23.24,23.24,137
1686844200000,23.39,23.39,23.39,23.39,1
1686845700000,23.225,23.225,23.225,23.225,2
1686847800000,23.226,23.226,23.226,23.226,6740
1686851100000,23.224,23.224,23.224,23.224,16
1686859200000,23.697,23.715,23.697,23.715,4708
