openTime,open,high,low,close,volume
1686087000000,15859,15860,15859,15860,19.6
1686087600000,15790,15790,15776,15776,1
1686088800000,15757,15757,15757,15757,4
1686090000000,15770,15770,15770,15770,0.02
1686090900000,15756,15756,15756,15756,0.54
1686092700000,15756,15756,15756,15756,0.5
1686093000000,15840,15840,15840,15840,12
1686093300000,15857,15905,15857,15905,10.08
1686094500000,15950,15999,15950,15999,4.05
1686094800000,15999,16000,15999,16000,2
1686095400000,16000,16000,16000,16000,16.736
1686098100000,16001,16001,16001,16001,10
1686098700000,16059,16100,16059,16100,1.04
1686099000000,16100,16111,16100,16111,8.202
1686099300000,16150,16175,16150,16175,0.62
1686099600000,16175,16175,16175,16175,0.38
1686099900000,16181,16181,16181,16181,0.62
1686100800000,16059,16059,15992,15992,1.62
1686101100000,15964,15964,15964,15964,0.04
1686102000000,15958,15958,15926,15926,10.92
1686103200000,15907,15907,15897,15900,10.12
1686104100000,15910,15910,15910,15910,0.398
1686105600000,15958,16027,15958,16027,16
1686106500000,15893,15893,15886,15886,15.73
1686107700000,15885,15914,15885,15914,0.834
1686110100000,15857,15857,15857,15857,0.04
1686111000000,15857,15857,15857,15857,0.5
1686118200000,15857,15857,15813,15813,11.4
