openTime,open,high,low,close,volume
1689800400000,34030,34030,33922,33956,90.785
1689800700000,33940,33940,33700,33700,24.897
1689801000000,33815,33849,33810,33839,0.3
1689801300000,33725,33725,33708,33708,0.49
1689801900000,33838,33838,33838,33838,0.6
1689802200000,33931,33931,33835,33840,10.57
1689802500000,33936,33999,33936,33999,10.54
1689802800000,33999,33999,33999,33999,0.566
1689803100000,33997,33997,33997,33997,2.5
1689803700000,33997,34000,33996,34000,37.94
1689804300000,34030,34218,34030,34218,5.97
1689806400000,33991,33991,33988,33988,22.393
1689806700000,34089,34093,34089,34093,19.6
1689807000000,34093,34125,34093,34125,0.62
1689807300000,34130,34130,34130,34130,0.02
1689808200000,34132,34132,34132,34132,0.3
1689811200000,34016,34143,34016,34143,0.03
1689811800000,34090,34090,34000,34075,1.47
1689812400000,34097,34098,34097,34098,5
1689813000000,34030,34030,34030,34030,0.6
1689813900000,34189,34239,34189,34239,1.14
1689814200000,34270,34270,34270,34270,0.2
1689815400000,34140,34140,34081,34081,12
1689816000000,34000,34000,33983,33983,6
1689818400000,34000,34000,34000,34000,2
1689818700000,34090,34100,34077,34077,4.4
1689820200000,34078,34078,34078,34078,1.42
1689820500000,34095,34095,34095,34095,0.2
1689821100000,34110,34110,34110,34110,0.06
1689821700000,34094,34094,34094,34094,1
1689822900000,34000,34000,33949,33949,5.684
1689823200000,34000,34009,34000,34009,4.02
1689823800000,33936,33936,33857,33857,5.27
1689824100000,34029,34029,34029,34029,5.6
1689825300000,34019,34039,34019,34039,4.26
1689825600000,33894,34009,33894,34009,0.04
1689826800000,33871,33871,33867,33867,17.83
1689827700000,33929,33929,33928,33928,2.02
1689828900000,33815,33815,33797,33797,41.37
1689829800000,33797,33797,33792,33792,14
1689831300000,34139,34139,34139,34139,2
1689831600000,34199,34230,34199,34230,2.164
1689832500000,34239,34239,34239,34239,0.5
1689832800000,34147,34147,34147,34147,2
1689833400000,34075,34075,34075,34075,0.02
1689834000000,34199,34199,34199,34199,1
1689834600000,34239,34339,34239,34339,2.318
1689835500000,34152,34152,34152,34152,2
1689837900000,34239,34239,34239,34239,0.54
1689838200000,34400,34400,34400,34400,2
1689838500000,34500,34500,34500,34500,2
1689839100000,34542,34542,34542,34542,0.02
1689839400000,34542,34542,34542,34542,0.02
1689840000000,34465,34465,34465,34465,0.02
1689840300000,34542,34572,34542,34572,1
1689840600000,34569,34569,34457,34457,2.2
1689840900000,34630,34630,34630,34630,0.72
1689841200000,34700,34766,34700,34766,4
1689841500000,34800,34800,34800,34800,0.2
1689841800000,34801,34801,34799,34799,18.94
1689842100000,34796,34796,34662,34662,1.25
1689842400000,34713,34831,34713,34831,28.57
1689842700000,34845,34887,34845,34887,5.27
1689843000000,34887,34887,34880,34882,4.733
1689843300000,34870,34940,34870,34940,104
1689843600000,34625,34625,34533,34561,4.6
1689843900000,34696,34696,34611,34611,18.02
1689844500000,34630,34630,34630,34630,0.02
1689845100000,34845,34980,34845,34980,0.83
1689845400000,34999,35176,34999,35176,44.979
1689845700000,35150,35480,35091,35460,44.02
1689846000000,35470,35533,35470,35501,37.06
1689846300000,35462,35503,35462,35503,16.1
1689847200000,35450,35450,35450,35450,1.2
1689847500000,35420,35524,35420,35496,19.47
1689847800000,35490,35490,35285,35285,1.8
1689848100000,35380,35380,35328,35336,2.4
1689848400000,35397,35397,35397,35397,1.2
1689848700000,35390,35401,35284,35300,10.84
1689849000000,35300,35300,35300,35300,18.58
1689849300000,35350,35350,35350,35350,0.4
1689849600000,35284,35284,35154,35154,1.5
1689849900000,35148,35148,35148,35148,0.2
1689850200000,35148,35148,35065,35065,2.1
1689850500000,35053,35053,35053,35053,0.5
1689850800000,35049,35049,35049,35049,0.02
1689851100000,34957,35049,34952,34952,9.7
1689851400000,35000,35000,34960,34960,12
1689851700000,35080,35080,35080,35080,0.06
1689852000000,34953,34953,34953,34953,0.34
1689852300000,34953,34953,34953,34953,2
1689852600000,34953,34953,34953,34953,6
1689852900000,34953,34974,34940,34974,11.158
1689853500000,34845,34845,34804,34804,2
1689853800000,34805,34805,34805,34805,1
1689855000000,34805,34805,34805,34805,0.028
1689855600000,34799,34799,34799,34799,0.986
1689855900000,34800,34801,34800,34801,2.556
1689856200000,34820,34820,34820,34820,2.16
1689857100000,34762,34762,34751,34751,1.526
1689857400000,34752,34752,34722,34722,103.989
1689860700000,35089,35089,35089,35089,1
1689861000000,35110,35110,35110,35110,0.4
1689861300000,35129,35130,35110,35130,12
1689861600000,35068,35068,35068,35068,0.6
1689862200000,34978,35068,34817,34817,77
1689862500000,34930,34930,34930,34930,0.02
1689863100000,34732,34732,34732,34732,0.6
1689863700000,34736,34737,34323,34323,7.48
1689864300000,34323,34323,34320,34320,2
1689864600000,34339,34339,34100,34100,3.22
1689865500000,34303,34303,34303,34303,1.14
1689866700000,34302,34302,34233,34233,12
1689867000000,34284,34284,34284,34284,0.02
1689870300000,34257,34286,34257,34286,20.52
1689870600000,34160,34160,34120,34120,20
1689870900000,34166,34166,34166,34166,0.16
1689871500000,34165,34165,34100,34100,2.818
1689873900000,34001,34001,34000,34000,20
1689874500000,34001,34010,34000,34000,20.232
1689876300000,34010,34010,34000,34000,4
1689877200000,34083,34084,34083,34084,19.07
1689877800000,34087,34088,34087,34088,1.53
1689881700000,34091,34091,34091,34091,0.01
1689882300000,34000,34000,33913,33913,16.4
1689883200000,33990,33990,33941,33973,5.134
1689885300000,33936,33936,33936,33936,0.74
1689886200000,33761,33887,33743,33887,47.936
