openTime,open,high,low,close,volume
1686085200000,15872,15880,15865,15880,25.1
1686085500000,15872,15872,15830,15830,4.6
1686086100000,15830,15830,15830,15830,0.6
1686086700000,15793,15844,15793,15844,0.4
1686088200000,15795,15795,15735,15735,16.7
1686089400000,15735,15735,15729,15729,8
1686089700000,15729,15729,15729,15729,1.2
1686090000000,15707,15817,15695,15695,79.3
1686092100000,15818,15834,15750,15781,18.2
1686092400000,15745,15794,15745,15792,9
1686092700000,15792,15845,15762,15830,16
1686093000000,15900,15945,15900,15945,1.2
1686093300000,15906,16000,15906,15982,10.8
1686093600000,16000,16000,16000,16000,2
1686093900000,15966,15999,15955,15998,58.7
1686094200000,16006,16020,16006,16016,10.9
1686094500000,16030,16050,16000,16007,5.6
1686095100000,15998,15998,15943,15943,22
1686095400000,16000,16000,16000,16000,2
1686096600000,16015,16015,15957,15957,0.4
1686098400000,16000,16008,15996,16008,6.1
1686098700000,16010,16100,16010,16100,14.2
1686099000000,16159,16159,16118,16118,9.2
1686099300000,16160,16183,16145,16169,17.8
1686099600000,16203,16252,16170,16248,15.6
1686099900000,16209,16252,16152,16152,15.8
1686100800000,16030,16030,16030,16030,1
1686101700000,15934,15934,15917,15918,15.9
1686102000000,15986,15986,15986,15986,2
1686105300000,15923,15923,15922,15922,3.9
1686105900000,15922,15922,15918,15918,11.5
1686106500000,15911,15912,15911,15912,5
1686107100000,15912,15912,15912,15912,4.6
1686107400000,15900,15900,15900,15900,1
1686108300000,15904,15904,15874,15874,10.6
1686108600000,15874,15874,15874,15874,2.4
1686111000000,15816,15816,15809,15809,12.6
