openTime,open,high,low,close,volume
1685999100000,15106,15106,15094,15094,10
1686000000000,15060,15060,15060,15060,1
1686001200000,15050,15050,15050,15050,3.8
1686002100000,15169,15170,15124,15170,15
1686002400000,15158,15220,15158,15213,16.8
1686002700000,15196,15199,15196,15199,0.4
1686003300000,15191,15192,15191,15192,2.2
1686003600000,15211,15225,15211,15225,1
1686004500000,15197,15197,15104,15184,32
1686006300000,15177,15177,15177,15177,1
1686007200000,15199,15262,15164,15164,33.5
1686007500000,15214,15214,15214,15214,0.4
1686008100000,15187,15192,15187,15192,1
1686008400000,15220,15286,15220,15267,16.6
1686008700000,15269,15269,15269,15269,4
1686010800000,15241,15241,15241,15241,0.2
1686011700000,15249,15249,15247,15247,2.2
1686012000000,15278,15278,15264,15264,0.4
1686013800000,15180,15180,15180,15180,1
1686014100000,15215,15215,15215,15215,1.6
1686017100000,15280,15282,15280,15282,0.4
1686017400000,15290,15290,15290,15290,0.2
1686018000000,15290,15297,15290,15297,1
1686018300000,15305,15331,15305,15331,0.6
1686018600000,15335,15359,15335,15359,1.2
1686018900000,15358,15370,15358,15370,13.2
1686020400000,15279,15279,15279,15279,4
1686020700000,15330,15330,15267,15267,1.6
1686023100000,15262,15262,15262,15262,0.2
1686023400000,15274,15289,15266,15289,3.6
1686023700000,15287,15287,15287,15287,0.2
1686024000000,15308,15308,15295,15295,0.4
1686024300000,15308,15345,15308,15345,1.4
1686024600000,15351,15358,15351,15358,4.8
1686027900000,15366,15366,15365,15365,0.4
1686028500000,15321,15321,15268,15268,15.8
1686028800000,15277,15277,15277,15277,1
1686031200000,15287,15289,15287,15289,1.8
1686031500000,15289,15289,15278,15278,0.8
1686032100000,15291,15291,15291,15291,0.6
1686032700000,15277,15287,15261,15287,5
1686033300000,15287,15287,15287,15287,2.8
1686035100000,15291,15291,15290,15290,1.2
1686036600000,15260,15260,15260,15260,0.6
1686036900000,15260,15260,15241,15241,5
1686038700000,15264,15264,15264,15264,0.5
1686039000000,15241,15241,15208,15218,7.5
1686039600000,15289,15289,15289,15289,1
1686040200000,15249,15289,15249,15259,0.8
1686040500000,15259,15290,15259,15290,13.4
1686044100000,15243,15243,15217,15219,5
1686046500000,15289,15290,15289,15290,9.8
1686046800000,15290,15290,15276,15290,2.8
1686048000000,15265,15265,15227,15227,35.1
1686048300000,15289,15289,15289,15289,3
1686048600000,15289,15290,15285,15290,9.2
1686048900000,15276,15290,15276,15290,3
1686049200000,15279,15290,15279,15290,1.6
1686050100000,15249,15250,15248,15248,12.4
1686050700000,15265,15290,15265,15290,39.1
1686053400000,15196,15220,15170,15170,29.8
1686053700000,15182,15249,15182,15249,8.6
1686054000000,15168,15168,15142,15142,21.3
1686054300000,15145,15220,15145,15154,2.6
1686054600000,15205,15207,15205,15207,2
1686055500000,15141,15141,15140,15140,2.5
1686056400000,15130,15140,15130,15140,1.2
1686056700000,15130,15130,15130,15130,0.4
1686057000000,15061,15068,15036,15068,11.2
1686057300000,15068,15068,15051,15051,0.4
1686057600000,15049,15051,15049,15051,0.6
1686057900000,15109,15135,15109,15131,4.7
1686058200000,15152,15158,15069,15069,1.4
1686058500000,15062,15062,15062,15062,0.2
1686058800000,15169,15170,15169,15170,1.2
1686059100000,15230,15230,15220,15220,6.8
1686059400000,15265,15278,15265,15278,6
1686060000000,15290,15403,15286,15344,4.2
1686060600000,15410,15410,15317,15392,3.9
1686060900000,15386,15386,15386,15386,4
1686062400000,15391,15391,15391,15391,1
1686062700000,15329,15329,15328,15328,0.4
1686063600000,15397,15397,15337,15337,0.6
1686063900000,15339,15412,15339,15412,6.4
1686064500000,15293,15293,15293,15293,0.2
1686065400000,15293,15299,15293,15299,0.8
1686066600000,15318,15395,15306,15395,32.2
1686069900000,15375,15397,15359,15359,1.4
1686070200000,15393,15400,15388,15400,16.8
1686070500000,15400,15480,15397,15400,135.4
1686070800000,15401,15458,15401,15428,22.5
1686071700000,15427,15487,15427,15487,0.3
1686072300000,15467,15501,15467,15485,17.8
1686072600000,15465,15483,15456,15483,4
1686072900000,15502,15502,15502,15502,4.6
1686074400000,15500,15500,15493,15493,14
1686075900000,15522,15522,15522,15522,1
1686077100000,15497,15497,15497,15497,1
1686078300000,15524,15524,15523,15523,7.9
1686078600000,15530,15530,15530,15530,1
1686079200000,15529,15529,15529,15529,0.1
1686079500000,15597,15597,15597,15597,0.2
1686080100000,15633,15633,15631,15631,5.3
1686080400000,15650,15650,15650,15650,1
1686080700000,15663,15673,15659,15663,13.4
1686081300000,15707,15831,15707,15765,13
1686081900000,15841,15841,15840,15840,3.3
1686082200000,15841,15900,15841,15900,3.8
1686083400000,15900,15948,15900,15948,0.3
1686083700000,15893,15893,15880,15880,2
1686084000000,15855,15906,15802,15834,124.2
1686084900000,15872,15872,15872,15872,5.6
