openTime,open,high,low,close,volume
1685826000000,3793101,3794464,3793101,3794328,0.2052
1685826300000,3794914,3794914,3793391,3793391,0.0122
1685826600000,3791893,3791893,3769380,3782896,8.4196
1685826900000,3784000,3787399,3782936,3787399,0.6996
1685827200000,3785798,3785798,3785798,3785798,0.0002
1685827500000,3785000,3786691,3783287,3786691,0.14
1685827800000,3786250,3786300,3786200,3786300,0.0826
1685828100000,3786251,3786251,3780123,3780123,2.8704
1685828400000,3780123,3781112,3777098,3780993,1.1448
1685828700000,3780993,3780993,3780993,3780993,0.0016
1685829000000,3780993,3783312,3780993,3783297,0.2278
1685829300000,3783297,3783297,3783297,3783297,0.001
1685829600000,3783297,3787835,3783297,3787835,0.0178
1685829900000,3787833,3789899,3787833,3789899,0.0194
1685830200000,3789899,3789899,3789899,3789899,0.0022
1685830500000,3789899,3792284,3789899,3792284,0.1444
1685830800000,3792157,3792284,3791454,3791454,0.0026
1685831100000,3790011,3791830,3790011,3791830,0.0202
1685831400000,3792381,3792987,3792381,3792949,0.0124
1685831700000,3792949,3794441,3786486,3794441,0.567
1685832000000,3794300,3794300,3793750,3793950,0.0068
1685832300000,3794446,3794446,3794446,3794446,0.0004
1685832600000,3794250,3794250,3793899,3794150,0.014
1685832900000,3794150,3794150,3791614,3794100,0.1532
1685833200000,3792600,3792600,3790004,3790012,1.4
1685833500000,3793100,3793100,3793100,3793100,0.0002
1685833800000,3793599,3794249,3793599,3794038,0.006
1685834100000,3791655,3792098,3791107,3792098,0.6012
1685834400000,3791898,3792500,3791800,3792500,0.2172
1685834700000,3793075,3793699,3793075,3793699,0.0222
1685835000000,3793916,3793916,3791500,3791500,0.0956
1685835300000,3791999,3791999,3791303,3791303,0.0004
1685835600000,3791999,3791999,3791999,3791999,0.0002
1685835900000,3791884,3792150,3791304,3792150,0.0262
1685836200000,3792100,3792150,3791310,3791310,0.0434
1685836800000,3791303,3791303,3791302,3791303,0.007
1685837100000,3791725,3791725,3791450,3791450,0.002
1685837400000,3791301,3791301,3791001,3791001,0.0038
1685837700000,3791003,3791003,3791000,3791000,0.2508
1685838000000,3790679,3790679,3789474,3789475,0.0948
1685838300000,3790346,3790365,3790346,3790365,0.0204
1685838600000,3790365,3790366,3790365,3790366,0.0518
1685838900000,3790683,3790683,3788796,3789900,0.0116
1685839200000,3789050,3789665,3788255,3789665,0.0298
1685839500000,3789639,3789639,3788850,3788850,0.0006
1685839800000,3788400,3788400,3788001,3788001,0.0282
1685840100000,3788001,3788001,3785639,3785639,0.0294
1685840400000,3784400,3784447,3778271,3778271,0.481
1685840700000,3779300,3780924,3779300,3780924,0.0676
1685841000000,3781195,3787818,3781195,3787818,0.286
1685841300000,3787524,3789999,3787524,3788850,0.0084
1685841600000,3789096,3789979,3789096,3789979,0.1802
1685841900000,3789293,3789293,3789293,3789293,0.02
1685842200000,3789824,3791798,3789824,3791128,0.0858
1685842500000,3790700,3790700,3790700,3790700,0.0002
1685842800000,3788804,3790050,3788804,3789186,0.0032
1685843100000,3789902,3789977,3789902,3789977,0.2002
1685843400000,3790000,3790904,3790000,3790904,0.0126
1685843700000,3790000,3791229,3787787,3790835,0.117
1685844000000,3790735,3790735,3790735,3790735,0.001
1685844300000,3790736,3790736,3790736,3790736,0.0006
1685844600000,3790735,3790735,3790029,3790029,0.103
1685844900000,3790241,3790241,3789459,3789459,0.0602
1685845200000,3791563,3791563,3790001,3790001,0.0006
1685845500000,3790001,3790001,3787522,3789994,0.1212
1685845800000,3790009,3790009,3789001,3789979,0.12
1685846100000,3789980,3789980,3789980,3789980,0.0014
1685846400000,3789980,3791740,3789980,3791740,0.001
1685846700000,3791761,3791800,3791761,3791800,1.3002
1685847000000,3792000,3793995,3792000,3793989,0.0026
1685847300000,3793947,3793947,3790313,3793451,0.7308
1685847600000,3793451,3793451,3793385,3793385,0.0018
1685847900000,3792999,3792999,3792999,3792999,0.0024
1685848200000,3792999,3792999,3792999,3792999,0.0002
1685848500000,3792999,3792999,3790197,3790499,0.1224
1685848800000,3790196,3790762,3789000,3790121,0.1926
1685849400000,3791070,3791070,3791070,3791070,0.0006
1685850000000,3790500,3791446,3790500,3791446,0.0116
1685850300000,3789351,3790000,3789351,3789850,0.0964
1685850600000,3790000,3792003,3790000,3792003,0.1184
1685850900000,3792003,3792003,3792003,3792003,0.0052
1685851500000,3792840,3792840,3792840,3792840,0.0002
1685852100000,3792443,3792450,3792443,3792450,0.0312
1685852400000,3793999,3794600,3793700,3793850,0.1022
1685852700000,3792854,3793418,3789589,3793418,1.071
1685853000000,3792800,3792800,3792498,3792498,0.0008
1685853300000,3793000,3793000,3789981,3789981,0.0194
1685853600000,3790547,3790547,3790502,3790502,0.0006
1685853900000,3790502,3790502,3790502,3790502,0.008
1685854500000,3790502,3791400,3790502,3791150,0.0014
1685854800000,3790501,3791612,3790501,3791350,0.018
1685855100000,3790501,3791350,3790501,3790550,0.0016
1685855400000,3790501,3790501,3790017,3790017,0.04
1685855700000,3790850,3790850,3789494,3789494,0.0062
1685856000000,3789494,3789494,3789494,3789494,0.0012
1685856300000,3790150,3790150,3790150,3790150,0.0002
1685856900000,3789550,3789550,3789550,3789550,0.0006
1685857500000,3789493,3789536,3788000,3789536,0.102
1685857800000,3789450,3789486,3789450,3789486,0.0402
1685858400000,3790149,3790946,3788000,3790946,0.2418
1685858700000,3790836,3791539,3790836,3791539,0.0004
1685859000000,3791999,3793939,3791999,3793939,0.0366
1685859300000,3793110,3794034,3793110,3794034,0.051
1685859600000,3793649,3793649,3792200,3793649,0.474
1685859900000,3793650,3793850,3793600,3793850,0.4046
1685860200000,3794000,3794565,3792702,3794565,0.1704
1685860500000,3794650,3794650,3794650,3794650,0.0002
1685860800000,3794669,3798201,3794669,3798201,0.2634
1685861100000,3798490,3802878,3798490,3801449,0.7402
1685861400000,3799879,3800000,3798750,3798750,0.03
1685861700000,3799450,3803072,3799450,3800600,0.0408
1685862000000,3804000,3804000,3802151,3804000,0.0008
1685862300000,3804000,3805000,3804000,3805000,0.0746
1685862600000,3801800,3803800,3801762,3803800,0.2626
1685863200000,3803799,3803799,3803799,3803799,0.0056
1685863500000,3803799,3803799,3803000,3803000,0.048
1685863800000,3802701,3802701,3801999,3802000,0.32
1685864100000,3803400,3805000,3803400,3805000,0.1972
1685864400000,3805000,3806958,3804000,3804950,0.265
1685864700000,3802400,3803403,3802021,3803403,0.2402
1685865000000,3804749,3806283,3803600,3803600,0.518
1685865300000,3804850,3805450,3803609,3804999,0.0532
1685865600000,3805700,3806600,3804350,3806600,0.116
1685865900000,3806545,3806545,3804846,3804846,0.0126
1685866200000,3804851,3806394,3804851,3806324,0.3234
1685866500000,3806324,3806324,3806263,3806264,0.42
1685866800000,3806501,3806501,3806500,3806501,0.2798
1685867100000,3804849,3804849,3804849,3804849,0.004
1685867400000,3803617,3803617,3803617,3803617,0.0282
1685867700000,3803651,3805849,3803606,3805849,0.0228
1685868000000,3805884,3805884,3804901,3805100,0.0106
1685868300000,3805684,3805684,3805684,3805684,0.0002
1685868600000,3805682,3805682,3805682,3805682,0.0002
1685868900000,3804300,3805683,3804300,3805683,0.0018
1685869200000,3805681,3811188,3805681,3811188,1.2312
1685869500000,3809000,3809000,3808600,3808600,0.001
1685869800000,3809300,3809300,3809300,3809300,0.0002
1685870100000,3810000,3811600,3810000,3810536,0.3556
1685870400000,3810477,3812000,3810477,3810602,0.1112
1685870700000,3811650,3811650,3810661,3811500,0.117
1685871000000,3811499,3811997,3811050,3811997,0.1634
1685871300000,3811996,3812000,3811996,3812000,0.2926
1685871600000,3813871,3816550,3813871,3815218,0.0856
1685871900000,3815000,3816600,3815000,3816050,0.0564
1685872200000,3816599,3816599,3816599,3816599,0.032
1685872800000,3815568,3816205,3815568,3816205,0.0008
1685873100000,3813750,3813750,3813750,3813750,0.0002
1685873700000,3813000,3813000,3813000,3813000,0.0004
1685874000000,3811647,3813097,3811186,3813097,0.3814
1685874300000,3813427,3813431,3813400,3813431,0.0478
