openTime,open,high,low,close,volume
1687035600000,3761107,3762482,3760850,3762482,0.007
1687035900000,3760150,3760150,3760150,3760150,0.018
1687036200000,3760385,3761462,3760385,3761462,0.0208
1687036500000,3761936,3761936,3760451,3760451,0.0418
1687036800000,3760000,3760000,3756391,3756391,0.013
1687037100000,3758023,3758023,3758023,3758023,0.061
1687037400000,3758366,3758366,3758366,3758366,0.0008
1687038000000,3757350,3757350,3757350,3757350,0.0082
1687038300000,3758692,3758911,3758001,3758001,0.0018
1687038600000,3758850,3758850,3758010,3758253,0.0466
1687038900000,3759100,3759100,3756300,3758023,0.2582
1687039200000,3759245,3760000,3759245,3760000,0.3038
1687039500000,3760301,3761999,3759910,3761658,0.4039
1687039800000,3761685,3767520,3761685,3767478,0.6998
1687040100000,3767477,3767477,3765367,3765367,0.001
1687040400000,3766334,3766335,3766334,3766335,0.02
1687040700000,3765446,3765446,3760670,3760670,1.5567
1687041000000,3763198,3763198,3762000,3762000,0.001
1687041300000,3762000,3762000,3762000,3762000,0.295
1687041600000,3763939,3764000,3763790,3764000,0.0014
1687041900000,3762750,3766886,3762750,3766886,0.6004
1687042200000,3766886,3767050,3766886,3767050,0.022
1687042500000,3766699,3767930,3765956,3767930,0.1362
1687042800000,3767547,3767850,3767547,3767850,0.0064
1687043100000,3767399,3767993,3766169,3767993,0.0134
1687043400000,3768000,3769908,3767900,3768550,1.0154
1687043700000,3766000,3766000,3764000,3764000,0.078
1687044000000,3764900,3764900,3764500,3764850,0.3646
1687044300000,3764000,3764000,3758873,3758873,0.0962
1687044600000,3760000,3760100,3759300,3759300,0.0504
1687044900000,3759050,3759050,3758800,3758800,0.013
1687045200000,3759206,3763482,3759205,3763482,0.4246
1687045500000,3762000,3762000,3760020,3760020,0.055
1687045800000,3761155,3762400,3761155,3762110,0.2426
1687046100000,3760007,3761650,3759661,3761400,0.2182
1687046400000,3761400,3761400,3759760,3761112,0.0528
1687046700000,3759900,3759900,3759900,3759900,0.0004
1687047000000,3761405,3762000,3761405,3762000,0.0014
1687047300000,3760415,3760415,3758000,3759625,0.7426
1687047600000,3759999,3759999,3747563,3747563,0.9112
1687047900000,3753753,3755827,3753753,3755827,0.082
1687048200000,3755292,3755292,3754550,3754550,0.0774
1687048500000,3752100,3754936,3751625,3754189,0.1526
1687048800000,3753699,3753699,3745091,3749419,0.5112
1687049100000,3748324,3748983,3746001,3746600,0.4044
1687049400000,3746804,3751141,3746804,3751141,0.354
1687049700000,3751300,3752237,3751150,3751150,0.2958
1687050000000,3752267,3752887,3751141,3752784,0.0014
1687050300000,3752400,3752400,3752400,3752400,0.002
1687050600000,3751140,3751140,3750936,3750936,0.0072
1687050900000,3751443,3752754,3751305,3752250,0.0764
