openTime,open,high,low,close,volume
1686085200000,3764860,3772693,3764843,3771788,6.82
1686085500000,3772096,3776174,3768840,3769500,5.7
1686085800000,3767299,3780000,3767298,3777291,13.48
1686086100000,3777342,3778407,3773579,3773580,6.08
1686086400000,3773579,3774191,3770687,3772275,1.84
1686086700000,3771906,3773964,3771500,3771705,3.54
1686087000000,3771705,3772621,3766294,3766294,6.48
1686087300000,3766170,3768500,3765041,3767092,5.85
1686087600000,3768467,3778373,3768150,3775106,7.84
1686087900000,3775080,3777375,3773419,3773419,6.22
1686088200000,3773956,3781990,3773133,3781979,3.91
1686088500000,3782396,3783000,3774960,3779993,12.29
1686088800000,3780564,3787325,3779200,3782030,9.51
1686089100000,3781981,3781981,3778900,3778997,3.89
1686089400000,3778901,3780772,3777069,3780540,3.36
1686089700000,3780500,3780500,3777550,3778380,2.31
1686090000000,3779277,3779648,3777480,3777480,1.07
1686090300000,3778781,3783317,3778585,3778585,6.65
1686090600000,3778882,3789017,3778881,3787740,11.35
1686090900000,3787728,3789189,3786674,3787022,7.37
1686091200000,3787015,3789284,3785968,3786999,9.88
1686091500000,3787190,3787190,3784813,3785732,1.04
1686091800000,3785670,3793979,3785062,3792461,13.9
1686092100000,3793887,3800000,3790817,3790817,9.22
1686092400000,3790718,3795511,3790074,3791788,6.16
1686092700000,3791767,3794953,3787810,3788580,4.68
1686093000000,3788861,3792721,3788861,3791744,3.24
1686093300000,3791730,3797721,3790576,3792999,8.78
1686093600000,3792999,3799385,3792999,3795650,12.16
1686093900000,3796338,3823360,3796194,3812758,56.04
1686094200000,3811695,3813186,3801084,3801084,27.82
1686094500000,3801669,3802893,3791260,3794978,11.8
1686094800000,3795158,3801520,3794978,3798326,11.66
1686095100000,3798326,3801134,3797061,3797761,5.58
1686095400000,3799682,3801519,3796096,3798099,6.9
1686095700000,3798430,3805225,3798430,3802473,5.46
1686096000000,3803013,3804923,3796001,3799039,16.78
1686096300000,3800467,3809408,3799000,3804111,9.3
1686096600000,3803617,3810087,3798517,3803983,18.66
1686096900000,3803993,3805899,3795295,3796996,6.04
1686097200000,3795734,3800679,3795213,3799731,8.42
1686097500000,3800154,3803431,3798207,3799413,3.7
1686097800000,3799402,3800727,3797976,3800383,4.24
1686098100000,3801098,3808400,3800807,3803586,7.72
1686098400000,3804122,3811398,3802849,3811296,3.68
1686098700000,3810890,3822375,3802208,3803841,42.52
1686099000000,3802201,3803334,3797169,3799530,8.54
1686099300000,3799227,3799920,3794528,3794528,28.04
1686099600000,3792877,3798641,3790000,3790060,16.06
1686099900000,3790060,3792900,3783019,3783983,9.24
1686100200000,3784000,3787300,3781300,3782755,4.14
1686100500000,3782968,3786199,3781093,3781753,9
1686100800000,3781198,3784059,3772060,3775599,10.38
1686101100000,3775213,3779000,3773150,3777846,9.68
1686101400000,3776981,3778425,3774922,3777930,5.34
1686101700000,3778875,3780721,3774783,3778448,5.46
1686102000000,3778125,3785181,3778021,3783963,6.5
1686102300000,3784382,3784382,3778748,3779979,4
1686102600000,3780414,3781991,3779130,3779131,1.06
1686102900000,3778873,3781994,3778037,3778600,1.68
1686103200000,3778600,3780301,3774686,3776255,3.06
1686103500000,3777206,3778475,3773279,3776675,4.12
1686103800000,3776131,3776998,3771743,3773900,6.16
1686104100000,3773898,3774758,3767862,3771353,9
1686104400000,3770356,3772338,3764900,3766475,9.8
1686104700000,3766198,3768014,3762000,3763484,7.58
1686105000000,3762656,3764855,3760637,3761114,6.26
1686105300000,3760700,3764699,3757000,3758599,11.24
1686105600000,3757371,3768151,3757356,3767899,13.42
1686105900000,3767106,3767106,3760561,3760561,2
1686106200000,3760119,3764073,3759000,3760737,3.88
1686106500000,3759715,3761371,3758464,3758464,5.02
1686106800000,3757700,3759884,3755440,3755440,2.96
1686107100000,3756873,3760427,3756683,3759425,2.02
1686107400000,3760087,3762460,3750169,3751497,11.78
1686107700000,3751497,3757358,3749270,3749270,4.66
1686108000000,3749079,3752115,3745197,3745344,8.72
1686108300000,3745188,3746198,3741867,3743288,6.54
1686108600000,3743698,3743704,3730546,3732208,14.82
1686108900000,3733397,3735451,3727044,3735223,14.08
1686109200000,3735223,3744667,3732700,3744555,9.86
1686109500000,3744049,3747649,3740002,3746153,14.74
1686109800000,3745995,3752976,3741801,3750967,7.56
1686110100000,3750568,3759926,3750568,3758657,13.82
1686110400000,3757293,3759078,3750704,3755397,14.16
1686110700000,3755397,3758247,3754737,3756244,2.48
1686111000000,3757953,3758284,3753636,3757305,4.48
1686111300000,3758245,3759491,3755964,3759243,0.86
1686111600000,3759551,3759568,3756137,3756629,2.24
1686111900000,3756636,3763913,3756489,3759047,6.22
1686112200000,3759045,3759218,3755450,3755450,2.12
1686112500000,3755595,3756113,3752593,3752593,1.8
1686112800000,3752916,3759025,3752916,3757972,1.28
1686113100000,3757903,3757903,3755000,3756645,1.4
1686113400000,3757972,3761799,3757972,3759246,4.68
1686113700000,3760001,3762892,3759025,3760055,2.56
1686114000000,3758470,3761643,3758407,3761367,2.86
1686114300000,3761886,3765543,3761370,3764788,3.52
1686114600000,3764593,3766154,3763573,3765304,1.76
1686114900000,3765313,3765361,3760092,3760416,1.42
1686115200000,3760503,3766400,3760007,3764413,1.52
1686115500000,3765532,3767379,3762286,3763251,7.84
1686115800000,3763242,3763258,3758320,3758320,5.42
1686116100000,3758969,3759414,3756261,3757798,1.96
1686116400000,3756963,3756963,3753591,3754930,0.9
1686116700000,3754866,3755451,3751511,3751753,4
1686117000000,3751758,3755209,3750639,3752693,4.12
1686117300000,3752090,3758200,3752082,3755095,2.86
1686117600000,3756599,3758766,3754909,3758260,1.92
1686117900000,3760000,3760000,3757397,3757940,2.64
1686118200000,3757396,3759067,3755293,3755297,0.6
1686118500000,3754207,3754500,3754205,3754500,0.1
