openTime,open,high,low,close,volume
1688677200000,4394176,4395188,4385767,4388139,12.25
1688677500000,4388597,4396078,4388597,4396078,4.92
1688677800000,4395804,4396872,4390716,4390870,3.04
1688678100000,4390215,4390849,4388321,4388321,2.54
1688678400000,4388421,4388421,4375006,4379198,10.32
1688678700000,4379661,4386536,4374429,4386012,8.92
1688679000000,4385000,4386979,4384266,4385126,2.52
1688679300000,4384998,4386212,4379095,4383902,4.78
1688679600000,4383685,4383697,4372138,4374901,7.86
1688679900000,4376515,4376923,4375138,4376726,2.68
1688680200000,4376726,4380393,4376726,4379440,3.5
1688680500000,4379554,4382036,4379164,4380301,0.92
1688680800000,4380498,4382098,4372326,4372326,10.92
1688681100000,4374007,4380773,4374007,4379633,3.03
1688681400000,4379978,4379978,4375040,4377243,1.48
1688681700000,4377001,4377312,4373357,4377000,1.8
1688682000000,4377638,4380725,4377341,4378548,0.86
1688682300000,4378716,4380764,4378700,4380764,0.34
1688682600000,4380427,4384118,4380427,4382920,0.54
1688682900000,4383627,4385172,4383065,4383065,0.26
1688683200000,4383311,4383311,4378504,4378504,1.32
1688683500000,4379449,4379987,4372525,4373599,3.74
1688683800000,4373938,4375135,4363531,4366125,21.45
1688684100000,4368845,4371984,4366708,4370744,2.84
1688684400000,4370032,4370032,4355117,4357347,10.01
1688684700000,4357830,4358292,4341502,4351145,18.99
1688685000000,4351728,4360907,4351150,4356897,9.96
1688685300000,4354297,4355602,4334000,4341679,19.62
1688685600000,4342278,4345024,4324505,4343349,31.32
1688685900000,4344414,4354997,4338771,4352553,11.09
1688686200000,4352483,4353505,4344212,4346012,8.34
1688686500000,4346876,4350281,4337768,4339729,8.59
1688686800000,4339599,4347120,4337901,4338011,14
1688687100000,4338011,4345344,4336386,4342179,5.32
1688687400000,4340799,4346929,4339100,4340959,1.68
1688687700000,4340908,4341434,4327206,4332727,11.82
1688688000000,4329269,4335787,4303000,4317820,60.87
1688688300000,4318700,4322642,4310430,4320666,7.9
1688688600000,4321937,4343523,4320000,4341498,18.1
1688688900000,4340974,4343000,4334433,4336917,8.04
1688689200000,4338330,4339864,4331869,4336915,2.2
1688689500000,4335645,4341289,4333014,4338900,5.92
1688689800000,4337900,4337900,4328534,4332106,5.32
1688690100000,4332980,4336800,4330061,4334990,3.84
1688690400000,4335236,4361312,4335236,4358326,16.5
1688690700000,4358557,4359300,4352468,4353482,4.5
1688691000000,4352970,4358348,4348451,4354613,8.3
1688691300000,4353686,4354206,4348517,4352454,3.58
1688691600000,4354399,4355206,4350476,4354914,4.02
1688691900000,4354114,4356441,4351046,4353478,3.06
1688692200000,4353478,4357582,4350065,4356378,9.2
1688692500000,4355812,4356092,4352468,4352800,9.3
1688692800000,4352928,4353243,4343780,4347878,10.34
1688693100000,4348131,4349067,4343613,4349067,4.2
1688693400000,4350475,4355806,4347853,4354703,2.66
1688693700000,4354272,4363101,4354272,4360494,7.58
1688694000000,4359098,4361643,4357875,4360795,1.94
1688694300000,4361435,4363207,4356918,4363207,3.5
1688694600000,4362899,4364490,4360278,4364490,2.78
1688694900000,4363655,4364284,4358815,4359536,3.9
1688695200000,4359923,4360100,4354033,4356188,5.95
1688695500000,4357723,4359787,4356183,4358964,2.42
1688695800000,4357878,4361000,4355663,4359898,1.74
1688696100000,4360876,4360900,4358900,4359948,0.5
1688696400000,4360000,4360400,4359311,4359593,0.42
1688696700000,4359827,4362405,4359650,4361106,1.08
1688697000000,4361106,4364359,4361106,4364359,2.68
1688697300000,4364994,4365453,4362491,4364783,0.32
1688697600000,4365248,4367516,4360959,4367513,2.02
1688697900000,4367091,4368417,4365390,4366237,2.86
1688698200000,4366581,4367277,4362035,4362308,3.06
1688698500000,4362356,4365652,4360925,4363503,3.92
1688698800000,4362719,4364822,4359452,4359452,1.1
1688699100000,4359103,4359739,4355827,4357835,5.66
1688699400000,4357876,4357876,4354536,4357712,1.4
1688699700000,4358429,4363985,4358429,4362514,2.64
