openTime,open,high,low,close,volume
1685913000000,140.683,140.683,140.683,140.683,200
1685926200000,139.702,139.702,138.6,138.6,40000
1685926500000,138.601,138.601,138.358,138.358,31362
1685928300000,140.306,140.306,140.306,140.306,16
1685945100000,140.306,140.306,140.306,140.306,54
1685945400000,140.307,140.307,140.307,140.307,12
1685946600000,139.329,139.329,138.301,139.329,84
1685949000000,140.306,140.306,140.306,140.306,2
1685951100000,140.306,140.307,140.306,140.307,32
1685951400000,140.307,140.307,140.307,140.307,18
1685952300000,139.6,139.6,139.6,139.6,2
1685957700000,139.6,139.6,138.301,138.301,1992
1685959200000,139.329,139.329,139.329,139.329,18
1685960700000,140.306,140.582,140.306,140.582,100
1685961300000,140.547,140.547,140.547,140.547,114
1685981100000,139.5,139.576,139.5,139.576,100
1685982900000,139.576,139.699,139.576,139.699,16
1685983500000,139.699,139.699,139.699,139.699,40
1685988000000,139.699,139.941,139.699,139.941,2024
