openTime,open,high,low,close,volume
1689125400000,140.307,140.307,140.307,140.307,18
1689125700000,140.307,140.307,140.307,140.307,14
1689127500000,140.369,140.369,140.369,140.369,4
1689140100000,140,140,140,140,500
1689143400000,139.959,139.959,139.959,139.959,4
1689145800000,139.959,139.959,139.959,139.959,4
1689149400000,139.959,139.959,139.959,139.959,4
1689156000000,139.959,139.959,139.959,139.959,200
1689156300000,139.959,139.959,139.959,139.959,1000
1689157200000,139.959,139.959,139.959,139.959,4
1689157800000,139.959,139.959,139.959,139.959,714
1689159600000,139.959,139.959,139.959,139.959,30
1689164400000,139.959,139.959,139.959,139.959,4
1689165000000,139.7,139.7,139.7,139.7,200
1689165300000,139.5,139.5,139.401,139.401,198
1689166800000,139.4,139.4,139.4,139.4,1000
1689168000000,139.387,139.387,139.387,139.387,4
1689171300000,139.335,139.335,139.329,139.329,22
1689172500000,139,139,138.526,138.526,360
1689175800000,138.4,138.4,138.4,138.4,2
1689177000000,138.4,138.4,138.4,138.4,1000
1689179700000,138.4,138.4,138.4,138.4,16
1689188700000,138.357,138.357,138,138,7772
