openTime,open,high,low,close,volume
1685826300000,737,737,737,737,95.4
1685827500000,741,741,741,741,200
1685829000000,741,741,741,741,12
1685832300000,743,743,743,743,13.5
1685833200000,743,743,743,743,20
1685834100000,741,741,741,741,2
1685835900000,743,743,743,743,58
1685836200000,744,747,744,747,70
1685836500000,745,745,745,745,21.1
1685836800000,746,750,745,745,237.4
1685837700000,750,750,750,750,22.2
1685838300000,751,751,750,750,197.3
1685838600000,750,750,748,748,61.7
1685840400000,745,745,745,745,0.4
1685840700000,745,745,744,744,112
1685843400000,747,747,747,747,0.2
1685845200000,746,746,746,746,1.4
1685848500000,745,745,745,745,0.2
1685848800000,746,746,746,746,1191.2
1685853000000,745,745,745,745,23.8
1685855400000,749,749,749,749,15.8
1685862600000,750,750,750,750,13.2
1685866800000,748,748,748,748,340
1685869200000,751,751,751,751,0.2
1685869500000,751,751,751,751,28
1685870700000,751,751,751,751,0.2
1685877300000,749,749,749,749,181.9
1685877600000,749,751,746,751,143.2
1685877900000,749,749,749,749,0.2
1685878800000,750,750,750,750,20
1685879400000,751,751,751,751,2.6
1685879700000,751,751,751,751,52.5
1685883900000,749,749,749,749,14
1685886600000,752,752,752,752,10
1685887200000,752,752,752,752,1.4
1685891100000,749,749,749,749,13.2
1685892600000,747,747,744,744,96.6
1685896200000,748,748,748,748,1
1685904600000,750,750,750,750,0.2
1685911500000,751,751,751,751,0.7
