openTime,open,high,low,close,volume
1686863100000,622,622,622,622,20
1686863400000,622,626,622,626,31.7
1686864000000,626,628,626,628,160
1686864900000,627,627,627,627,32
1686866700000,617,617,617,617,201.8
1686867000000,617,617,617,617,320
1686867600000,618,618,618,618,20
1686868800000,618,618,618,618,2
1686869700000,617,617,617,617,8
1686870000000,617,617,617,617,60
1686871200000,617,617,617,617,0.1
1686871500000,616,616,614,614,13.2
1686871800000,614,614,614,614,10
1686873300000,615,615,615,615,1
1686873900000,613,613,612,612,60
1686874500000,613,613,613,613,0.1
1686874800000,612,612,612,612,72.8
1686875400000,613,613,613,613,0.2
1686875700000,612,612,612,612,180.8
1686878400000,613,613,613,613,109.6
1686878700000,613,613,613,613,10.1
1686879600000,613,613,613,613,0.1
1686879900000,613,613,613,613,10
1686880200000,613,613,613,613,0.1
1686880500000,613,613,611,611,19
1686880800000,612,612,612,612,0.1
1686882900000,613,613,613,613,10
1686883200000,613,613,613,613,15
1686884100000,613,613,613,613,51.7
1686885000000,616,616,616,616,1.1
1686885300000,617,617,617,617,4.6
1686885600000,616,616,616,616,2
1686885900000,613,613,613,613,20
1686887700000,617,618,617,617,784
1686888000000,614,614,614,614,311.1
1686888600000,617,617,617,617,0.1
1686891000000,616,616,616,616,0.6
1686891300000,616,616,616,616,0.4
1686891900000,616,616,616,616,16.4
1686892200000,617,617,617,617,2
1686894000000,618,618,618,618,1
1686894600000,618,618,617,617,0.5
1686897900000,618,618,618,618,193.8
1686898500000,618,619,618,619,30
1686898800000,619,619,619,619,136
1686899100000,618,619,618,619,44
1686899400000,619,619,619,619,20
1686900000000,619,619,619,619,0.2
1686900900000,617,617,616,616,5.1
1686901200000,618,618,618,618,10
1686902400000,619,619,619,619,60
1686903600000,620,621,620,621,11.1
1686904200000,621,621,621,621,16.1
1686904500000,618,620,618,620,48.2
1686904800000,620,620,620,620,0.6
1686905100000,620,620,620,620,8
1686908100000,620,620,620,620,1
1686909000000,619,619,618,618,218.4
1686909600000,618,618,618,618,20
1686909900000,619,619,618,618,49.6
1686911100000,617,617,617,617,1.2
1686912300000,616,616,616,616,2.2
1686912600000,617,617,616,616,16.4
1686912900000,616,616,616,616,0.3
1686913500000,617,617,617,617,0.1
1686914400000,615,615,613,613,460
1686914700000,612,612,610,610,984.8
1686915300000,610,610,610,610,226.8
1686916500000,613,613,613,613,161
1686916800000,614,614,614,614,1
1686917400000,617,617,617,617,170
1686918000000,616,616,616,616,202.8
1686919500000,619,619,619,619,0.1
1686920400000,617,617,615,617,227
1686921000000,617,618,617,618,62.6
1686921600000,618,618,618,618,0.1
1686921900000,618,618,618,618,0.3
1686922200000,617,618,617,618,10
1686922500000,618,618,618,618,2
1686923400000,618,618,618,618,0.1
1686924300000,618,618,618,618,0.1
1686924900000,618,618,618,618,18
1686925500000,617,617,612,612,4
1686926700000,611,611,607,609,255.8
1686927000000,609,609,609,609,3.2
1686927300000,610,617,610,617,80.2
1686927600000,617,617,617,617,0.3
1686929100000,618,620,618,620,9.4
1686929700000,620,620,615,615,42.6
1686930600000,614,614,614,614,1
1686930900000,616,619,616,619,12
1686931200000,620,621,620,621,1.7
1686932400000,619,619,619,619,0.2
1686935100000,621,621,621,621,8.6
1686936000000,623,626,623,626,21.9
1686936600000,627,627,627,627,0.3
1686937800000,627,627,627,627,0.2
1686938700000,630,634,630,630,28.1
1686939600000,630,630,630,630,32
1686941700000,626,626,626,626,6.9
1686943500000,625,625,624,624,305
1686945300000,625,627,625,627,10
1686945600000,628,629,626,627,126
1686947400000,627,628,627,628,96.7
1686948300000,628,628,628,628,16
