openTime,open,high,low,close,volume
1685826300000,46.184,46.184,46.184,46.184,86
1685828700000,46.144,46.144,46,46,1000
1685837100000,46,46,46,46,102
1685837700000,46,46,46,46,16
1685838000000,46,46,46,46,18
1685838600000,46.05,46.05,46.05,46.05,192
1685838900000,46.284,46.284,46.284,46.284,2000
1685840700000,46.284,46.284,46.284,46.284,200
1685843400000,46.425,46.425,46.425,46.425,1
1685845500000,46.5,46.563,46.5,46.563,3424
1685847300000,46.383,46.383,46.383,46.383,5
1685851200000,46.563,46.563,46.245,46.245,1731
1685853000000,46.45,46.644,46.45,46.644,5516
1685853900000,46.653,46.653,46.653,46.653,1
1685854200000,46.677,46.683,46.677,46.683,99
1685854800000,46.653,46.653,46.275,46.275,12
1685855100000,46.563,46.563,46.563,46.563,2145
1685858400000,46.563,46.563,46.563,46.563,10
1685860200000,46.3,46.3,46.3,46.3,120
1685860500000,46.671,46.704,46.671,46.704,300
1685861400000,46.75,46.809,46.75,46.809,200
1685863200000,47,47.246,47,47.246,198
1685865600000,46.767,46.767,46.767,46.767,10
1685865900000,46.986,46.986,46.986,46.986,200
1685867700000,47.124,47.124,47.124,47.124,100
1685869500000,47.124,47.124,47.124,47.124,100
1685869800000,47.124,47.124,47.124,47.124,100
1685870700000,47.265,47.265,47.265,47.265,2
1685879400000,47,47,47,47,40
1685880000000,47.02,47.02,46.803,46.803,1060
1685887800000,47.1,47.1,47.1,47.1,200
1685888400000,47.1,47.1,46.662,46.662,3551
1685892000000,46.845,46.845,46.845,46.845,2
1685900100000,46.986,46.986,46.986,46.986,4000
1685900400000,47.024,47.049,47.024,47.049,2511
1685904000000,47.265,47.265,47.265,47.265,2
1685908200000,47.49,47.49,47.49,47.49,200
