openTime,open,high,low,close,volume
1687904100000,42.281,42.281,42.281,42.281,36
1687909200000,42.281,42.281,42.281,42.281,34
1687909500000,42.636,42.656,42.636,42.656,36
1687909800000,42.766,42.796,42.766,42.796,2000
1687910400000,42.531,42.886,42.531,42.531,3026
1687911300000,42.45,42.45,42,42,16344
1687914000000,42.186,42.234,42.186,42.234,1500
1687917000000,41.939,41.939,41.939,41.939,6
1687917300000,41.939,41.939,41.939,41.939,502
1687920600000,41.55,41.55,41.55,41.55,400
1687921200000,41.55,41.55,41.55,41.55,296
1687921500000,41.55,41.55,41.55,41.55,200
1687925100000,41.614,41.682,41.614,41.682,5
1687926900000,41.87,41.874,41.87,41.874,8000
1687927500000,42,42,42,42,800
1687927800000,42.276,42.42,42,42.42,296
1687928100000,42,42,42,42,19800
1687928700000,42,42,41.97,41.97,244
1687929000000,41.973,41.973,41.973,41.973,4000
1687930800000,41.893,41.893,41.893,41.893,800
1687932000000,41.55,41.55,41.54,41.54,2296
1687932300000,41.54,41.54,41.24,41.24,9778
1687932600000,41.244,41.272,41.244,41.272,200
1687932900000,41.278,41.278,41.278,41.278,100
1687933200000,41.24,41.24,41.24,41.24,400
1687933500000,41.244,41.244,41.244,41.244,720
1687934700000,41.248,41.248,41.248,41.248,50
1687935000000,41.248,41.248,41.248,41.248,5
1687937400000,41.24,41.24,41,41,6663
1687937700000,40.796,40.796,40.044,40.582,22480
1687938000000,40.594,40.594,40.594,40.594,110
1687938300000,40.586,40.588,40.546,40.588,1106
1687939500000,40.3,40.418,40.258,40.258,2829
1687939800000,40.228,40.228,40.228,40.228,2610
1687941000000,40.596,40.596,40.596,40.596,1
1687941600000,40.272,40.272,40.272,40.272,1000
1687942800000,40.702,40.73,40.702,40.73,7
1687944300000,40.824,40.824,40.824,40.824,1
1687944600000,40.934,40.966,40.934,40.966,300
1687945200000,40.992,40.992,40.992,40.992,10
1687948500000,40.991,40.991,40.991,40.991,60
1687949100000,40.991,40.991,40.991,40.991,200
1687949400000,40.991,40.991,40.991,40.991,18
1687949700000,40.991,40.991,40.991,40.991,2
1687952100000,40.991,40.991,40.991,40.991,100
1687952700000,40.991,41.016,40.991,41.016,19710
1687953600000,41,41,41,41,2
1687954200000,40.8,40.8,40.471,40.471,10000
1687954500000,40.627,40.627,40.627,40.627,636
1687954800000,40.627,40.627,40.627,40.627,150
1687955100000,40.627,40.627,40.627,40.627,3004
1687955400000,40.906,40.906,40.906,40.906,2
1687955700000,40.896,40.896,40.896,40.896,2
1687956000000,40.806,40.806,40.806,40.806,2
1687957800000,40.362,40.362,40.362,40.362,1200
1687958100000,40.634,40.634,40.634,40.634,1
1687959300000,40.734,40.734,40.734,40.734,1
1687961400000,40.776,40.776,40.776,40.776,24
1687962300000,40.804,40.804,40.804,40.804,1000
1687962900000,40.788,41.15,40.788,41,12458
1687968300000,41,41,41,41,6
1687972200000,40.63,40.63,40.63,40.63,200
1687973100000,40.65,40.766,40.65,40.766,735
1687973400000,40.63,40.63,40.63,40.63,200
1687973700000,40.63,40.63,40.18,40.18,200
1687975200000,40.228,40.228,40.228,40.228,100
1687975500000,40.18,40.18,40.004,40.004,2000
1687979400000,40.48,40.53,40.48,40.53,100
1687979700000,40.636,40.636,40.636,40.636,5
1687980600000,40.003,40.003,39.69,39.69,8441
1687981200000,39.69,39.69,39.548,39.548,349
1687981800000,39.554,39.554,39.554,39.554,150
1687982700000,39.4,39.4,38.918,39,9576
1687983000000,39,39,39,39,2306
1687983300000,39,39,39,39,200
