openTime,open,high,low,close,volume
1685826000000,264900,264900,264900,264900,0.02
1685826300000,265150,265150,265120,265120,1.2
1685826600000,264902,264902,264276,264276,2.6516
1685826900000,264600,264756,264600,264756,0.4
1685827500000,264721,264857,264290,264857,1.82
1685828400000,264524,264524,264524,264524,1
1685829000000,264821,264821,264821,264821,0.0302
1685829300000,264800,264800,264800,264800,0.1
1685830200000,264900,264900,264900,264900,0.02
1685830800000,265014,265079,265014,265079,0.758
1685831100000,265070,265070,265070,265070,0.02
1685831400000,265079,265147,265079,265134,1.48
1685831700000,265156,265173,265098,265173,3.6
1685832000000,265200,265392,265200,265392,0.022
1685832600000,265404,265404,265390,265390,0.246
1685832900000,265247,265392,265211,265392,7.41
1685833200000,265392,265392,265392,265392,0.1
1685833800000,265380,265380,265380,265380,1
1685834100000,264900,264900,264821,264821,1.48
1685834700000,265200,265367,264947,265367,1.065
1685836500000,265120,265120,265120,265120,0.0756
1685836800000,265367,265367,265041,265342,0.2652
1685837700000,265343,265450,265343,265450,0.32
1685838000000,265440,265440,265000,265000,2.2
1685838300000,265115,265115,265020,265115,3.5286
1685838600000,265123,265123,265123,265123,0.1
1685839200000,265128,265169,265029,265166,0.94
1685839500000,265163,265170,265004,265134,5.48
1685839800000,265200,265260,265173,265260,9.1114
1685840100000,265197,265197,265000,265000,0.9544
1685840400000,264900,264900,264290,264290,4.101
1685840700000,264290,264474,263748,264474,15.6941
1685841000000,264600,265296,264348,265259,59.1308
1685841600000,265199,265199,265199,265199,0.1
1685841900000,265199,265199,265133,265133,0.28
1685842200000,264981,264981,264970,264970,0.5
1685842500000,265200,265200,265120,265200,2.36
1685842800000,265137,265220,265137,265220,2
1685843100000,265120,265120,265011,265011,2.4
1685843400000,265162,265210,265162,265210,2.4956
1685843700000,265210,265210,265100,265100,3.026
1685844000000,265175,265175,265175,265175,0.02
1685844300000,265210,265283,265210,265283,1.02
1685844600000,265319,265380,265284,265380,10.6516
1685844900000,265300,265300,265300,265300,0.3476
1685845200000,265420,265420,265300,265301,6.276
1685845500000,265301,265379,265233,265233,10.2324
1685845800000,265272,265442,265100,265442,2.0512
1685846100000,265436,265436,265182,265182,0.136
1685846700000,265429,265429,265429,265429,0.068
1685847000000,265500,265500,265500,265500,0.416
1685847900000,265493,265500,265493,265493,2.226
1685848200000,265499,265500,265483,265500,2.758
1685848500000,265475,265477,265475,265477,0.6212
1685848800000,265320,265320,265320,265320,0.0754
1685849100000,265389,265389,265261,265301,0.4524
1685849400000,265484,265484,264969,264969,2.2
1685849700000,265380,265500,265380,265383,1.9678
1685850000000,265383,265500,265023,265453,2.3572
1685850300000,265412,265480,265342,265342,0.774
1685850600000,265475,265477,265342,265367,0.6986
1685850900000,265498,265498,265498,265498,0.08
1685851500000,265500,265500,265500,265500,1.4
1685852400000,265500,265500,265500,265500,0.1332
1685852700000,265500,265500,265500,265500,0.264
1685853000000,265500,265500,265500,265500,0.2
1685853300000,265500,265500,265500,265500,0.152
1685853600000,265500,265500,265344,265344,1.23
1685853900000,265300,265466,265300,265466,2.113
1685854200000,265454,265497,265140,265140,0.9
1685854800000,265400,265400,265400,265400,0.082
1685855100000,265500,265500,265480,265480,0.498
1685855400000,265355,265355,264972,264972,5.2091
1685856000000,265120,265500,265120,265480,6.554
1685856300000,265480,265480,265480,265480,0.0938
1685856600000,265480,265480,265480,265480,0.2
1685856900000,265480,265480,265480,265480,0.212
1685857200000,264936,265500,264936,265500,0.2702
1685857500000,265095,265100,265080,265092,2.194
1685857800000,265250,265250,265250,265250,0.2
1685858400000,265190,265190,264950,264950,1.72
1685859000000,265329,265500,265329,265500,1.46
1685859300000,265498,265500,265498,265500,0.8
1685859600000,265500,265500,265480,265480,0.262
1685859900000,265157,265157,265157,265157,0.02
1685860200000,265390,265460,265390,265460,0.04
1685860800000,265500,265500,265500,265500,8.9472
1685861100000,265600,266107,265600,266107,1.82
1685861400000,265881,265938,265881,265938,2.2
1685863200000,266400,266400,266400,266400,0.02
1685863500000,266580,266590,266220,266470,1.1638
1685863800000,266440,266440,266175,266175,2.02
1685864100000,266400,266544,266400,266544,5.07
1685864400000,266560,266600,266560,266600,2.16
1685864700000,266180,266210,266150,266150,2.78
1685865000000,266413,266640,266413,266640,2.9002
1685865300000,266637,266640,266507,266522,5.8748
1685865600000,266647,266647,266520,266520,0.8604
1685865900000,266526,266526,266500,266500,1.7
1685866200000,266630,266772,266630,266772,4.0452
1685866500000,266794,266794,266794,266794,0.04
1685867100000,266720,266737,266720,266737,0.14
1685867400000,266520,266520,266501,266501,0.06
1685867700000,266506,266506,266506,266506,0.0752
1685868600000,266506,266506,266392,266392,0.77
1685868900000,266496,266496,266496,266496,0.13
1685869200000,266400,266700,266400,266561,2.46
1685869500000,266699,266699,266699,266699,2
1685869800000,266700,266700,266684,266684,0.4358
1685870100000,266700,266800,266700,266800,0.255
1685870400000,266800,267000,266800,266999,2.5
1685870700000,267000,267030,266996,266996,2.1062
1685871300000,267000,267143,267000,267143,0.5494
1685871600000,267300,267420,267300,267420,0.3152
1685871900000,267344,267344,267323,267323,2
1685872200000,267329,267329,266809,267303,2.7154
1685872500000,267236,267419,267212,267419,2.3902
1685872800000,267251,267251,267250,267250,2.0098
1685873100000,267200,267200,266949,266949,4.072
1685873400000,267000,267000,267000,267000,0.028
1685874000000,266920,266932,266920,266932,1.04
1685874300000,266846,266846,266846,266846,0.21
1685874900000,266899,267000,266853,267000,6.4
1685875200000,267000,267000,267000,267000,0.08
1685876100000,267140,267500,267140,267500,22.6824
1685876400000,267500,267500,267220,267220,13.2846
1685876700000,267240,267288,267233,267288,1.956
1685877000000,267420,267420,267310,267310,0.62
1685877600000,267215,267215,267203,267203,0.51
1685877900000,267203,267203,267203,267203,0.1
1685878200000,267200,267245,266700,267245,0.6973
1685878500000,267131,267240,266922,267240,2.879
1685878800000,266842,267068,266842,267068,0.46
1685879100000,266726,266972,266726,266972,0.16
1685879400000,266937,267144,266841,267035,1.56
1685879700000,267048,267084,267048,267084,0.793
1685880000000,267084,267120,266740,267120,1.25
1685880900000,267156,267156,266600,267132,2.912
