openTime,open,high,low,close,volume
1688850000000,263796,263796,263796,263796,0.357
1688850300000,263769,263769,263690,263690,0.118
1688850600000,263569,263569,263563,263563,0.4
1688850900000,263587,263588,263587,263588,0.53
1688851200000,263670,263672,263670,263672,0.378
1688851500000,263887,264212,263887,264212,5.314
1688851800000,264300,264320,264300,264320,0.72
1688852400000,264220,264303,264173,264303,2.3
1688852700000,264327,264415,264327,264414,1.152
1688853300000,264414,264550,264414,264550,0.3016
1688853600000,264550,264632,264550,264632,0.92
1688853900000,264849,264900,264848,264848,0.4321
1688854500000,265067,265067,264872,264872,0.176
1688854800000,264873,264873,264873,264873,0.2
1688855100000,265020,265020,264960,264960,0.08
1688855400000,264966,264966,264966,264966,0.0113
1688855700000,265070,265070,265070,265070,0.2
1688856000000,265120,265120,265120,265120,0.04
1688856600000,265120,265473,265120,265369,1.0154
1688856900000,265369,265454,265369,265454,2.8808
1688857200000,265500,265500,265500,265500,0.0734
1688857500000,265500,265716,265500,265716,0.094
1688857800000,265666,265666,265666,265666,0.04
1688858100000,265678,265678,265678,265678,0.16
1688858400000,265694,265694,265694,265694,0.2
1688859000000,265800,266100,265800,266087,0.1548
1688859600000,265810,265810,265595,265595,3.512
1688859900000,265862,265862,265862,265862,0.2
1688860200000,265864,265947,265864,265947,1.22
1688860500000,266093,266240,266093,266240,3.8787
1688860800000,266115,266162,266080,266114,7.4606
1688861100000,265956,265960,265956,265960,3.02
1688861400000,265960,265960,265816,265816,1.4682
1688861700000,265810,265928,265783,265840,4.997
1688862000000,265840,265840,265830,265830,0.42
1688862300000,265837,265873,265726,265726,4.3
1688862600000,265700,266619,265700,266619,7.8652
1688862900000,266445,266445,266397,266397,0.24
1688863200000,266385,266385,266382,266382,0.62
1688863500000,266351,266351,265914,266111,0.34
1688863800000,266099,266100,266099,266100,0.36
1688864100000,266232,266232,266081,266081,0.16
1688864400000,266394,267000,266394,267000,5.342
1688864700000,266979,267000,266979,267000,1.4
1688865000000,267000,267000,267000,267000,5.92
1688865300000,267000,267000,266843,266843,5.7482
1688865600000,266843,266843,266843,266843,0.376
1688865900000,266868,266868,266868,266868,0.022
1688866200000,266844,266844,266777,266777,3.02
1688866500000,266700,266700,266500,266500,4.37
1688867400000,266499,266499,266499,266499,0.2
1688868000000,266565,266670,266565,266670,1.3
1688868900000,266996,266996,266981,266981,1.24
1688869500000,266699,266699,266452,266452,3.482
1688869800000,266500,266570,266500,266560,1.8198
1688870100000,266559,266559,266350,266350,4.026
1688870400000,266299,266299,266138,266226,0.18
1688870700000,266319,266389,266160,266389,0.535
1688871000000,266371,266551,266371,266551,1.075
1688871300000,266570,266570,266570,266570,0.0224
1688871600000,266600,266604,266578,266578,4.956
1688871900000,266387,266387,266387,266387,0.02
1688872200000,266552,266565,266552,266565,0.424
1688872500000,266620,266620,266500,266500,0.6144
1688872800000,266541,266541,266541,266541,0.28
1688873400000,266578,266838,266578,266838,5.1806
1688873700000,266890,266959,266589,266801,4.5
1688874300000,266621,266621,266551,266551,1.261
1688875200000,266551,266590,266500,266590,1.182
1688875500000,266500,266500,266500,266500,1
1688875800000,266513,266513,266450,266450,0.719
1688876100000,266470,266470,266470,266470,1.1762
1688876400000,266563,266570,266563,266570,0.0576
1688876700000,266536,266536,266361,266536,1.118
1688877000000,266570,266578,266570,266578,0.8441
1688877600000,266540,266550,266540,266550,2
1688878200000,266638,266643,266638,266643,1.21
1688878800000,266700,266770,266700,266770,0.902
1688879100000,266770,266880,266720,266720,3.079
1688879400000,266750,267386,266750,266900,200.4658
1688879700000,266900,266900,266900,266900,1.56
1688880000000,266910,266916,266900,266900,0.81
1688880300000,266859,266859,266828,266828,0.2
1688880600000,266798,266820,266798,266820,0.3
1688880900000,266820,266820,266720,266734,5.85
1688881200000,266740,266890,266740,266890,14.475
1688881800000,266810,266810,266505,266505,3.32
1688882700000,266511,266552,266511,266552,0.64
1688883000000,266682,266682,266682,266682,0.1
1688883300000,266560,266560,266560,266560,0.1574
1688884500000,266507,266539,266507,266539,0.198
1688884800000,266546,266560,266546,266560,0.04
1688885400000,266520,266520,266501,266501,0.9
1688885700000,266440,266440,266440,266440,2
1688886000000,266440,266440,266440,266440,0.8
1688886300000,266440,266489,266440,266489,4.2
1688886600000,266530,266550,266530,266550,0.08
1688887200000,266550,266550,266550,266550,2
1688887800000,266550,266550,266550,266550,10.6172
1688888100000,266550,266550,266550,266550,9.3228
1688888400000,266433,266433,266433,266433,0.6
1688889000000,266400,266400,266394,266394,2
1688889300000,266408,266517,266408,266516,4.0598
1688889600000,266520,266520,266520,266520,0.1
1688889900000,266530,266550,266530,266550,1.982
1688890200000,266550,266640,266550,266640,9.9876
1688890500000,266640,266680,266640,266680,0.108
1688891100000,266680,266680,266500,266500,1.608
1688891400000,266539,266570,266539,266570,0.4881
1688892300000,266500,266500,266500,266500,0.02
1688892600000,266578,266660,266578,266660,4.1627
1688892900000,266669,266708,266669,266700,1.15
1688893200000,266670,266670,266586,266586,1.0886
1688893800000,266651,266651,266580,266580,1.454
1688894400000,266500,266500,266500,266500,1.22
1688894700000,266513,266513,266500,266500,5.62
1688895000000,266500,266500,266221,266221,1.6
1688895300000,266408,266408,266300,266300,0.087
1688895600000,266343,266343,266343,266343,0.08
1688896200000,266406,266406,266405,266405,1.08
1688896500000,266459,266500,266459,266500,7.9788
1688896800000,266500,266526,266500,266526,2.4345
1688897100000,266565,266565,266565,266565,0.05
1688897400000,266464,266464,266464,266464,0.02
1688897700000,266591,266604,266591,266604,0.1435
1688898000000,266520,266552,266511,266552,0.31
1688898300000,266604,266643,266584,266643,1.3164
1688898600000,266643,266765,266643,266750,2.47
1688898900000,266765,266783,266752,266752,1.922
1688899200000,266730,266747,266730,266747,1.5239
1688899500000,266650,266650,266544,266544,1.8
1688899800000,266566,266566,266566,266566,0.06
1688900100000,266604,266604,266604,266604,0.16
1688900400000,266604,266604,266604,266604,1.0998
1688900700000,266616,266640,266616,266640,0.058
1688901000000,266604,266630,266401,266500,3.1278
1688901300000,266513,266565,266513,266565,0.96
1688901600000,266771,266778,266771,266778,0.382
1688901900000,266825,266825,266800,266800,0.2542
1688902200000,266823,266823,266823,266823,0.034
1688902800000,266800,266800,266800,266800,0.046
1688903700000,266801,266825,266801,266825,2.38
1688904000000,266800,266850,266592,266850,4.2
1688904300000,266850,266850,266849,266849,0.08
1688904600000,266847,266850,266847,266850,1.132
1688904900000,266850,266850,266850,266850,0.14
1688905200000,266850,266955,266850,266955,14.9653
1688905500000,266994,267124,266994,267124,1.2932
1688905800000,267124,268000,267124,268000,9.3562
1688906100000,267991,268000,267980,268000,9.0798
1688906400000,268085,268092,267883,267883,6.1744
1688906700000,267911,267911,267911,267911,0.02
1688907000000,267940,267956,267743,267865,7.0276
1688907300000,267679,267679,267600,267600,1.2
1688907600000,267644,268008,267644,267774,4.093
1688907900000,268006,268200,268006,268159,4.96
1688908200000,268067,268067,268040,268050,2.6
1688908500000,268060,268070,267802,267802,1.5468
1688908800000,267810,267810,267800,267800,1.304
1688909100000,267790,267800,267607,267607,4.1954
1688909400000,267640,267707,267640,267707,5.28
1688909700000,267600,267600,267420,267420,2.7598
1688910000000,267300,267300,267300,267300,0.02
1688910300000,267306,267306,267123,267123,1.1148
1688910600000,267000,267000,266700,266700,0.7238
1688910900000,266660,266660,266400,266473,5.9584
1688911200000,266441,266441,266001,266040,12.4166
1688911500000,266040,266040,265473,265473,8.3348
1688911800000,265280,265538,265210,265500,4.246
1688912100000,265500,265603,265450,265603,2.136
1688912400000,265603,265620,265600,265620,2.182
1688912700000,265629,265629,265629,265629,0.042
1688913000000,265668,266084,265668,266084,2.9
1688913300000,266100,267410,266100,266786,25.056
1688913600000,266721,266721,266700,266700,1.08
1688913900000,266613,266820,266613,266720,1.24
1688914200000,266650,266650,266400,266400,0.06
1688914500000,266400,266400,266399,266399,2
1688914800000,266503,266503,266276,266276,0.5132
1688915100000,266448,266448,266440,266440,0.4238
1688915400000,266440,266440,266163,266163,2.74
1688915700000,266150,266150,265908,265950,0.8312
1688916000000,266006,266253,266006,266253,2.19
1688916300000,266400,266409,266400,266405,2.11
1688916600000,266429,266487,266429,266481,5.4799
1688917500000,266490,266490,266490,266490,0.15
1688918100000,266400,266420,266400,266420,0.22
1688918700000,266104,266104,266104,266104,2
1688919000000,266100,266100,266100,266100,0.02
1688919300000,266000,266000,266000,266000,0.4
1688919600000,266000,266010,266000,266010,0.598
1688919900000,265980,265980,265973,265973,2
1688921400000,265973,265973,265828,265828,0.439
1688921700000,265889,265889,265888,265888,0.16
1688924100000,266036,266071,266036,266071,0.5
1688924700000,266173,266173,266173,266173,0.08
1688925300000,266397,266397,266397,266397,0.02
1688926200000,266200,266200,266200,266200,0.0618
1688926500000,266140,266140,266139,266139,0.6544
1688927400000,266162,266162,266162,266162,0.037
1688927700000,266319,266319,266319,266319,0.4
1688928300000,266357,266420,266357,266420,0.6
1688929800000,266300,266300,266300,266300,3.4
1688931600000,266112,266112,266112,266112,0.16
1688932200000,266340,266420,266340,266420,2.2572
1688932800000,266437,266552,266437,266552,1.5025
1688933100000,266565,266565,266565,266565,1
1688933400000,266593,266706,266593,266706,0.9248
1688933700000,266720,266820,266720,266820,0.36
1688934000000,266760,266760,266747,266747,0.8444
1688934600000,266400,266400,265301,265823,13.4604
1688934900000,265767,266100,265767,266100,1.4303
1688935200000,266144,266344,266144,266344,1.873
1688935500000,266380,266420,266380,266420,0.174
1688935800000,266448,266487,266448,266487,5.98
1688936100000,266526,266526,266526,266526,0.03
