openTime,open,high,low,close,volume
1685826000000,264656,265007,264656,265007,2
1685826300000,264778,264778,264778,264778,0.4
1685826600000,264672,264760,264000,264567,9.4
1685826900000,264614,264801,264528,264801,3
1685827200000,264841,264848,264688,264688,1.4
1685827500000,264760,264893,264760,264831,2.4
1685827800000,264831,264831,264831,264831,0.8
1685828100000,264621,264621,264455,264455,0.6
1685828400000,264596,264639,264596,264639,0.4
1685829600000,264783,264826,264782,264826,1.4
1685830500000,264794,264830,264794,264830,1.2
1685830800000,264831,264871,264831,264871,2
1685831100000,264722,265215,264715,265015,8.2
1685831400000,265206,265529,265147,265500,34.8
1685831700000,265500,265536,265450,265503,29.6
1685832000000,265503,265503,265460,265460,2
1685832300000,265700,265700,265700,265700,1.8
1685832600000,265508,265600,265500,265600,5.8
1685832900000,265700,265727,265600,265601,26.8
1685833200000,265601,265601,265600,265600,1.2
1685833500000,265500,265500,265302,265302,2
1685833800000,265342,265342,265342,265342,0.8
1685834100000,265300,265306,265270,265270,1.4
1685834400000,265270,265270,265270,265270,0.4
1685835300000,265271,265339,265270,265339,1
1685835600000,265459,265459,265459,265459,0.2
1685835900000,265400,265550,265400,265550,1.6
1685836200000,265549,265549,265371,265371,1.8
1685836500000,265497,265571,265497,265571,4
1685836800000,265371,265371,265341,265341,0.4
1685838000000,265424,265424,265299,265299,0.6
1685838300000,265411,265536,265411,265536,0.8
1685838600000,265626,265630,265575,265596,0.9
1685839200000,265507,265595,265500,265500,5.8
1685839500000,265500,265558,265500,265500,7
1685839800000,265534,265536,265500,265500,7.7
1685840100000,265500,265500,265201,265201,5
1685840400000,265233,265344,265200,265200,5.5
1685840700000,265000,265000,264800,264863,20.8
1685841000000,265127,265531,265012,265531,2.8
1685841300000,265555,265694,265555,265693,1.4
1685841600000,265699,265699,265699,265699,0.2
1685842200000,265566,265566,265565,265565,0.6
1685843700000,265206,265206,265200,265200,1.2
1685844000000,265325,265333,265212,265230,2.6
1685844300000,265264,265264,265264,265264,0.2
1685846400000,265340,265340,265300,265300,1
1685846700000,265393,265500,265357,265357,2.4
1685847000000,265382,266064,265382,265659,29.3
1685847300000,265828,265942,265789,265866,1.4
1685847600000,265866,265897,265855,265897,0.6
1685847900000,266034,266111,266002,266002,3.2
1685848200000,266002,266157,266001,266042,1.4
1685848500000,265869,265869,265869,265869,0.2
1685849100000,265972,265972,265972,265972,0.4
1685849400000,265884,265884,265884,265884,1.2
1685849700000,266000,266026,265984,266026,1.6
1685850300000,266111,266171,266111,266171,5.6
1685850600000,266171,266220,266171,266220,3.5
1685850900000,266173,266231,266084,266084,3.6
1685851200000,266093,266207,266084,266207,3.8
1685852100000,266210,266210,266144,266144,0.6
1685852400000,266183,266184,266140,266140,1.2
1685854200000,266140,266172,266140,266140,1.9
1685854800000,266140,266164,266140,266164,0.4
1685855100000,266140,266160,266120,266120,3.3
1685855400000,266120,266159,266120,266159,0.9
1685855700000,266182,266182,266084,266135,4
1685856000000,266085,266136,266084,266136,2.4
1685856300000,266136,266136,266084,266111,1.9
1685856600000,266085,266123,266084,266100,2.1
1685856900000,266084,266137,266084,266135,25.2
1685857200000,266150,266156,266084,266084,1.6
1685857500000,266084,266100,266084,266084,7
1685857800000,266100,266100,266084,266085,1.1
1685858100000,266084,266084,266084,266084,0.4
1685858400000,266084,266135,266084,266112,15.3
1685858700000,266123,266148,266084,266148,8.1
1685859000000,266184,266208,266086,266147,10.5
1685859300000,266085,266111,266083,266083,3
1685859600000,266083,266083,265876,265931,3.8
1685860200000,265945,266021,265945,266021,0.4
1685860500000,266156,266156,266156,266156,0.2
1685860800000,266119,266210,266112,266161,4.4
1685861100000,266210,266600,266210,266211,12.6
1685861400000,266188,266189,266105,266161,1.4
1685861700000,266216,266284,266123,266123,4.6
1685862000000,266369,266523,266352,266523,1.8
1685862300000,266467,266518,266466,266518,1.2
1685862600000,266390,266433,266390,266426,2.6
1685862900000,266565,266565,266565,266565,0.4
1685863500000,266345,266543,266294,266540,1.8
1685863800000,266378,266378,266294,266294,1
1685864100000,266493,266494,266493,266494,0.8
1685864400000,266425,266426,266425,266426,2.4
