openTime,open,high,low,close,volume
1687640400000,270128,270135,269669,269669,28.4
1687640700000,269763,269991,269500,269500,119.2
1687641000000,269407,269474,268146,268500,166.2
1687641300000,268317,269026,268134,269026,53.8
1687641600000,269042,269524,268932,269311,244.4
1687641900000,269176,269355,269176,269355,0.6
1687642200000,269575,269650,269575,269650,0.8
1687642500000,269723,270038,269723,269757,7.8
1687642800000,269897,269900,269897,269900,12.2
1687643100000,269737,269737,269641,269641,4.4
1687643700000,269575,269812,269574,269811,2.4
1687644000000,270100,270100,270003,270003,4.4
1687644300000,269766,269843,269463,269843,3.2
1687644600000,269866,269960,269866,269959,2.8
1687644900000,269537,269537,269291,269291,3.2
1687645200000,269492,269715,269492,269714,3.6
1687645500000,269608,269905,269505,269904,4.6
1687645800000,269452,269526,269451,269526,3
1687646400000,269601,269601,269600,269600,6.4
1687646700000,269374,269374,269374,269374,0.4
1687647000000,269665,269665,269665,269665,0.2
1687647300000,269597,269848,269426,269848,7.4
1687647900000,270099,270100,270099,270100,16.8
1687648200000,270197,270307,269583,269962,24
1687648500000,269884,269885,269884,269885,0.8
1687649100000,269875,270087,269875,270087,2.8
1687649400000,269887,270056,269804,270056,10.8
1687649700000,269805,269989,269720,269720,2.6
1687650000000,269669,269815,269652,269696,1.4
1687650300000,269717,269769,269566,269608,3.4
1687650600000,270026,270026,270026,270026,0.4
1687650900000,269964,269964,269964,269964,0.4
1687651200000,269838,269838,269799,269800,3
1687651800000,270022,270381,270022,270317,5.2
1687652100000,270157,270157,270054,270054,3.8
1687652400000,269976,269976,269200,269437,66.6
1687652700000,269411,269411,269002,269124,15.8
1687653000000,269566,269782,269566,269782,8.6
1687653300000,269600,269765,269539,269539,3.8
1687653600000,269381,269381,268922,269025,14.6
1687653900000,269390,269393,269379,269379,2.2
1687654200000,269554,269614,269318,269449,3.5
1687654500000,269532,269550,269438,269453,34.8
1687654800000,269356,269362,269310,269310,1.2
1687655100000,269257,269257,269006,269006,0.8
1687655400000,269153,269688,269146,269655,77.8
1687655700000,269651,269923,269605,269605,3.4
1687656000000,269632,269927,269604,269865,13.4
1687656300000,270072,270376,270072,270376,6.2
1687656600000,270184,270347,270116,270347,1
1687656900000,270018,270255,269985,270255,32
1687657200000,270156,270243,270156,270217,5.8
1687657500000,270102,270224,270020,270085,3
1687657800000,270134,270134,270134,270134,1
1687658100000,270161,270161,270029,270029,1.4
1687658400000,270060,270289,270013,270215,7.8
1687658700000,270013,270013,270000,270000,8.4
1687659600000,270354,270383,270266,270383,2.2
1687659900000,270281,270392,270281,270392,0.8
1687660200000,270572,271017,270473,270884,6.8
1687660500000,270973,270973,270973,270973,0.4
1687660800000,270969,270969,270740,270807,3.4
1687661100000,271209,271209,271209,271209,0.4
1687661700000,271210,271211,270705,270936,30.2
1687662000000,271104,271132,271076,271132,1.2
1687662300000,270938,271037,270938,271037,4.4
1687662600000,271158,271349,271089,271140,5.4
1687662900000,271050,271243,270974,271124,3.4
1687663200000,271091,271403,271091,271314,11.6
1687663500000,271459,271497,271292,271497,7.4
1687663800000,271598,272000,271598,272000,5.6
1687664100000,271700,271794,271700,271794,4.4
1687664400000,271570,271798,271500,271776,46.6
1687664700000,271735,272083,271735,272066,45.4
1687665000000,271974,272518,271973,272518,4.4
1687665300000,272500,272500,272500,272500,4
1687665600000,272688,273283,272635,273261,39.6
1687665900000,273189,273271,272971,273039,15.6
1687666200000,273000,273998,273000,273899,34.6
1687666500000,273764,274499,273761,274098,39.8
1687666800000,274053,274249,274003,274191,1.4
1687667100000,273980,275123,273802,274795,50.6
1687667400000,274864,275373,274537,274926,251.4
1687667700000,274593,275146,274541,275061,18.2
1687668000000,275174,275181,274045,274145,27
1687668300000,274196,274465,274033,274040,115.4
1687668600000,274000,274039,273950,274000,65
1687668900000,273959,273959,273959,273959,0.2
1687669200000,274099,274502,274034,274363,6.6
1687669500000,274146,274146,273608,273755,11.8
1687669800000,273836,274600,273836,274600,9.8
1687670100000,274264,274445,274069,274256,3.6
1687670400000,274270,275110,274270,275006,15.4
1687670700000,274999,275000,274387,274868,25.4
1687671000000,274893,275210,274580,274587,13
1687671300000,274735,275204,274728,275102,2.6
1687671600000,275380,275629,275380,275519,18.2
1687671900000,275519,275611,275162,275162,5
1687672200000,275045,275045,274794,274857,6.4
1687672800000,275000,275000,274369,274369,151.8
1687673100000,274549,274999,274268,274268,8.4
1687673400000,274990,275072,274904,274962,1.8
1687673700000,274962,275837,274962,275704,19.6
1687674000000,275805,276940,275805,276660,109.4
1687674300000,276968,277336,276722,276951,81.4
1687674600000,276815,277330,276467,277051,296.2
1687674900000,277095,277330,276732,276732,60.8
1687675200000,276727,276759,276078,276306,7.4
1687675500000,276306,276595,275723,276294,63.6
1687675800000,276376,276567,276151,276151,108.6
1687676100000,276278,276900,276200,276256,39.3
1687676400000,276234,276234,275735,275819,55.8
1687676700000,276000,276000,275836,275836,6.4
1687677000000,275942,276101,275840,276101,4.2
1687677300000,275862,275907,275603,275603,12.2
1687677600000,275234,275300,274562,274900,100.2
1687677900000,274807,275665,274807,275600,93.5
1687678200000,275539,275636,274751,274960,28.6
1687678800000,275090,275247,275081,275081,2.8
1687679100000,274726,274816,274557,274816,10.4
1687679400000,274989,275051,274989,275051,0.6
1687679700000,275101,275199,274974,274974,1.6
1687680000000,274973,275362,274973,275362,1.4
1687680300000,275338,275561,275213,275561,5.6
1687680600000,275551,275860,275551,275860,12.6
1687680900000,275778,275833,275369,275772,6.8
1687681200000,275810,276302,275810,276302,0.9
1687681500000,276074,276283,275859,276028,18
1687681800000,275998,276195,275709,275868,8.4
1687682100000,275886,276255,275850,275872,14.7
1687682400000,275869,275869,274881,275180,48.4
1687682700000,275315,275821,275315,275777,17.1
1687683000000,275627,276374,275583,276318,117.8
1687683300000,276372,276424,275616,275651,13.8
1687683600000,275628,275693,275628,275693,2.8
1687683900000,275369,275679,275000,275434,11.2
1687684200000,275320,275320,275294,275294,1.2
1687684500000,275334,275335,275334,275335,0.8
1687684800000,274909,274909,274500,274500,48.4
1687685100000,274935,274936,274855,274855,2.4
1687685400000,274793,275387,274771,275285,3.8
1687685700000,275455,275717,275455,275717,2.2
1687686000000,275661,275720,275661,275720,0.6
1687686300000,275602,276221,275602,276087,3.6
1687686600000,276199,276613,276016,276356,69.2
1687686900000,276508,276532,275872,275872,59
1687687200000,276003,276124,275973,276124,3
1687687500000,276200,276200,275634,275907,8.6
1687687800000,275922,275952,275886,275886,1.6
1687688100000,275621,275621,275621,275621,0.4
1687688400000,275474,275501,275286,275295,3.4
1687688700000,275360,275487,275274,275413,3
1687689000000,275554,275800,275549,275800,1.2
1687689300000,275896,276300,275889,276300,22.6
1687689600000,276244,276812,276203,276601,4
1687689900000,276998,277022,276100,276100,29.4
1687690200000,276162,276162,276162,276162,0.4
1687690500000,275800,275800,275728,275728,6.4
1687690800000,275717,275718,275000,275001,9.8
1687691100000,275274,275488,275261,275488,7.2
1687691400000,275564,275564,275554,275554,1
1687691700000,275684,275684,275660,275664,1
1687692300000,275281,275284,275204,275204,2.8
1687692600000,275000,275448,274797,275257,7.2
1687692900000,275309,275787,275309,275781,3.8
1687693200000,275683,275683,275532,275532,1.4
1687693800000,275602,275690,275530,275530,8.2
1687694100000,275659,276081,275659,276081,5.4
1687694400000,276099,276239,276006,276006,32.2
1687694700000,275991,275991,275651,275817,110
1687695000000,275642,275642,275430,275515,5.6
1687695300000,275712,275712,274904,275143,10.8
1687695600000,275300,275300,275272,275272,0.8
1687695900000,275189,275189,275088,275088,6.2
1687696200000,274788,274880,274788,274880,0.8
1687696500000,274929,274929,274929,274929,0.4
1687696800000,275122,275122,274803,275001,4
1687697100000,275300,275482,275136,275136,5
1687697400000,275599,275599,275473,275594,1.2
1687697700000,275600,275600,275007,275007,3.6
1687698000000,275327,275327,275285,275313,1.2
1687698300000,275109,275109,274400,274490,8.4
1687698600000,274326,274326,273802,274018,13.2
1687698900000,274111,274393,273974,274393,0.8
1687699200000,274564,274769,274445,274496,9.6
1687699500000,274387,274388,273448,274323,143.6
1687699800000,274407,274580,273475,273475,34.2
1687700100000,273974,274299,273208,274252,33.8
1687700400000,274246,274684,274240,274508,15.1
1687700700000,274560,274820,274500,274792,15.5
1687701000000,274791,274820,274550,274612,12.3
1687701300000,274651,274677,274180,274521,18.2
1687701600000,274478,274807,274421,274802,7.6
1687701900000,275040,275054,274112,274143,21.7
1687702200000,274000,274155,274000,274155,8.1
1687702500000,274157,274183,273673,274104,20.6
1687702800000,274326,274477,274326,274389,3.2
1687703100000,274586,274586,274288,274300,3.4
1687703400000,274300,274377,274169,274377,1.5
1687703700000,274370,274370,274128,274314,4.1
1687704000000,274313,274313,273557,273702,45.3
1687704300000,273619,273619,272650,272651,127.9
1687704600000,272701,272714,272006,272643,62.3
1687704900000,272714,272727,272235,272235,15.5
1687705200000,272151,272154,270786,271557,49.1
1687705500000,271800,271845,271429,271795,23
1687705800000,271734,272024,271595,271595,4.4
1687706100000,271967,271967,271799,271800,18.2
1687706400000,271596,271596,271337,271337,4
1687706700000,271419,271577,271373,271577,3.6
1687707000000,271374,271374,271366,271366,1.2
1687707300000,271361,271613,271329,271531,3.8
1687707600000,271636,271636,271580,271580,0.4
1687707900000,271353,272003,270992,271997,13
1687708200000,271622,271643,271615,271615,0.8
1687708500000,271238,271238,271231,271237,0.6
1687708800000,271412,271412,271403,271403,0.8
1687709100000,271642,272437,271642,272242,28.8
1687709400000,272015,272131,271182,271442,37.2
1687709700000,271400,271902,271257,271902,4.2
1687710000000,271539,271822,271493,271662,5.8
1687710300000,271722,271832,271672,271672,2.8
1687710600000,271631,271858,271556,271723,2.4
1687711200000,272073,272258,272073,272258,0.8
1687712100000,272410,272410,272190,272190,11.8
1687712400000,272169,272250,272069,272097,2.4
1687713000000,272383,272453,272363,272363,2.6
1687713600000,272181,272181,271679,271831,7.6
1687714500000,271946,271946,271946,271946,0.4
1687714800000,271678,271678,271474,271498,1
1687715400000,271845,272163,271736,272073,6.6
1687715700000,272222,272335,272222,272326,5.2
1687716000000,272028,272028,272028,272028,3
1687716300000,271754,272144,271603,271848,1.4
1687716600000,271327,271504,270800,271190,7.6
1687716900000,271192,271966,271165,271598,6
1687717200000,271410,271508,271027,271105,5.8
1687718400000,271988,272175,271781,272160,2.6
1687719000000,272330,272500,272330,272500,3.2
1687719300000,272641,272641,272499,272499,0.8
1687719600000,272380,272405,272294,272405,1.2
1687719900000,272345,272345,272345,272345,0.2
1687720500000,272143,272143,272143,272143,0.2
1687720800000,272102,272109,271651,271651,2
1687721100000,272045,272046,272026,272026,0.8
1687721400000,271794,271983,271440,271504,2
1687721700000,271275,271803,271155,271803,5.6
1687722000000,271512,272129,271512,271891,3
1687722300000,271992,272121,271776,272121,5
1687722900000,272307,272706,272307,272706,0.6
1687723200000,272625,272901,272625,272901,7.8
1687723500000,272924,273554,272924,273259,13.2
1687723800000,273259,273259,272903,273018,5
1687724100000,273265,273711,273058,273365,17.2
1687724400000,273499,273500,273210,273210,2
1687724700000,273466,273473,273334,273335,1
1687725000000,273057,273418,273002,273380,6.6
1687725300000,273189,273397,273053,273293,7.6
1687725600000,273499,273499,273231,273231,2.2
1687725900000,273105,273413,272554,272824,16.2
1687726200000,272815,272815,271686,271796,230.8
1687726500000,271811,272616,271730,272474,20.8
