openTime,open,high,low,close,volume
1686008400000,0.301,0.303,0.301,0.303,600000
1686008700000,0.303,0.304,0.303,0.304,1400000
1686011700000,0.304,0.304,0.304,0.304,1400
1686012000000,0.303,0.303,0.3,0.3,1400
1686012900000,0.304,0.304,0.304,0.304,30000
1686018600000,0.304,0.304,0.304,0.304,200
1686018900000,0.304,0.304,0.304,0.304,20
1686021900000,0.304,0.304,0.304,0.304,58
1686029100000,0.304,0.304,0.304,0.304,20
1686032700000,0.304,0.304,0.304,0.304,2000
1686033600000,0.303,0.303,0.303,0.303,1362
1686034200000,0.303,0.303,0.303,0.303,120
1686035700000,0.303,0.303,0.303,0.303,20
1686039300000,0.303,0.303,0.303,0.303,20
1686039900000,0.3,0.3,0.3,0.3,3280
1686042600000,0.3,0.3,0.3,0.3,118140
1686042900000,0.3,0.3,0.3,0.3,100
1686044400000,0.304,0.304,0.304,0.304,20
1686044700000,0.304,0.304,0.304,0.304,60
1686045300000,0.304,0.304,0.304,0.304,4000
1686045600000,0.304,0.304,0.304,0.304,44000
1686048300000,0.304,0.304,0.304,0.304,15400
1686048600000,0.304,0.304,0.304,0.304,200
1686049500000,0.304,0.304,0.304,0.304,7860
1686050400000,0.304,0.304,0.304,0.304,22
1686051300000,0.304,0.304,0.304,0.304,40
1686053700000,0.304,0.304,0.304,0.304,54
1686054900000,0.303,0.303,0.299,0.299,120000
1686055200000,0.299,0.299,0.299,0.299,285940
1686055500000,0.304,0.304,0.304,0.304,3472
1686055800000,0.304,0.304,0.304,0.304,30000
1686061200000,0.303,0.303,0.303,0.303,40
1686063000000,0.303,0.303,0.303,0.303,542
1686064500000,0.301,0.301,0.301,0.301,380
1686065400000,0.303,0.303,0.303,0.303,39458
1686065700000,0.304,0.304,0.304,0.304,289320
1686070800000,0.304,0.304,0.304,0.304,56
1686072000000,0.303,0.303,0.303,0.303,20
1686072900000,0.303,0.303,0.3,0.3,10000
1686081600000,0.304,0.305,0.304,0.305,417678
