openTime,open,high,low,close,volume
1688072400000,0.298,0.298,0.298,0.298,3600
1688072700000,0.298,0.298,0.298,0.298,1428
1688073300000,0.298,0.298,0.298,0.298,16000
1688076900000,0.297,0.297,0.297,0.297,60
1688078100000,0.298,0.298,0.298,0.298,1000
1688078400000,0.298,0.298,0.298,0.298,70000
1688079000000,0.298,0.298,0.298,0.298,334000
1688079300000,0.298,0.299,0.298,0.299,1000
1688080200000,0.299,0.299,0.299,0.299,10000
1688080500000,0.298,0.298,0.298,0.298,21980
1688080800000,0.298,0.298,0.298,0.298,1000
1688081100000,0.298,0.298,0.298,0.298,42000
1688081400000,0.298,0.298,0.298,0.298,206
1688081700000,0.298,0.298,0.298,0.298,20188
1688082000000,0.298,0.298,0.298,0.298,2000
1688082300000,0.298,0.298,0.298,0.298,18000
1688082600000,0.298,0.298,0.298,0.298,2812
1688082900000,0.298,0.298,0.298,0.298,50
1688084700000,0.298,0.298,0.298,0.298,800
1688085000000,0.298,0.298,0.298,0.298,200
1688086800000,0.297,0.297,0.296,0.296,61000
1688087400000,0.296,0.296,0.292,0.292,2053400
1688087700000,0.292,0.296,0.292,0.296,3500
1688088000000,0.296,0.296,0.296,0.296,968
1688089200000,0.298,0.298,0.298,0.298,2000
1688089500000,0.298,0.298,0.298,0.298,30000
1688089800000,0.297,0.297,0.297,0.297,1400
1688090400000,0.297,0.297,0.296,0.296,4600
1688090700000,0.297,0.297,0.297,0.297,50000
1688092200000,0.297,0.297,0.297,0.297,400
1688093100000,0.297,0.297,0.297,0.297,2000
1688093700000,0.297,0.298,0.297,0.298,1050040
1688094000000,0.298,0.298,0.294,0.294,222280
1688094300000,0.294,0.294,0.291,0.291,1022280
1688094900000,0.291,0.294,0.29,0.294,49000
1688095200000,0.294,0.297,0.294,0.297,2840
1688095500000,0.297,0.297,0.297,0.297,405680
1688095800000,0.297,0.297,0.297,0.297,2000
1688096100000,0.297,0.297,0.297,0.297,32
1688096400000,0.297,0.297,0.293,0.293,74020
1688097300000,0.297,0.297,0.297,0.297,63780
1688097600000,0.297,0.297,0.297,0.297,10000
1688097900000,0.297,0.297,0.297,0.297,4000
1688098200000,0.297,0.297,0.297,0.297,600
1688099400000,0.297,0.297,0.297,0.297,20000
1688100300000,0.297,0.297,0.297,0.297,10000
1688102100000,0.297,0.297,0.297,0.297,22000
1688103600000,0.298,0.299,0.298,0.299,667020
1688103900000,0.299,0.299,0.299,0.299,1001580
1688104800000,0.299,0.299,0.299,0.299,20000
1688105400000,0.298,0.298,0.295,0.295,20000
1688106000000,0.299,0.299,0.299,0.299,400
1688106900000,0.298,0.299,0.295,0.299,70200
1688108100000,0.299,0.299,0.299,0.299,200
1688109300000,0.298,0.298,0.295,0.295,20000
1688109600000,0.299,0.299,0.299,0.299,20000
1688111100000,0.299,0.299,0.299,0.299,6000
1688111400000,0.299,0.299,0.299,0.299,6000
1688112600000,0.298,0.298,0.295,0.295,20000
1688114100000,0.298,0.298,0.298,0.298,1000
1688115000000,0.298,0.298,0.298,0.298,4000
1688115900000,0.297,0.297,0.296,0.296,2000
1688116500000,0.298,0.298,0.298,0.298,80000
1688116800000,0.298,0.299,0.298,0.299,100000
1688117100000,0.299,0.299,0.299,0.299,6804
1688117400000,0.299,0.299,0.299,0.299,4000
1688118000000,0.298,0.298,0.295,0.295,115840
1688118900000,0.3,0.3,0.3,0.3,67960
1688121000000,0.3,0.3,0.3,0.3,400
1688121300000,0.299,0.299,0.299,0.299,7280
1688121600000,0.299,0.299,0.296,0.299,22060
1688122200000,0.299,0.299,0.299,0.299,2000
1688122500000,0.298,0.298,0.298,0.298,2000
1688122800000,0.298,0.298,0.297,0.297,10000
1688123400000,0.299,0.299,0.299,0.299,20000
1688124000000,0.299,0.299,0.299,0.299,2800
1688125200000,0.299,0.299,0.298,0.298,4000
1688126400000,0.298,0.298,0.297,0.297,8000
1688126700000,0.298,0.298,0.296,0.298,16280
1688127000000,0.297,0.297,0.296,0.296,20000
1688128200000,0.298,0.299,0.298,0.299,20000
1688128800000,0.299,0.3,0.299,0.3,12000
1688130300000,0.297,0.297,0.297,0.297,24
1688130900000,0.299,0.3,0.299,0.3,60000
1688132400000,0.3,0.3,0.3,0.3,20000
1688132700000,0.299,0.299,0.299,0.299,666
1688133000000,0.299,0.299,0.296,0.296,20000
1688133600000,0.3,0.3,0.3,0.3,400
1688133900000,0.299,0.299,0.299,0.299,3980
1688134200000,0.299,0.299,0.299,0.299,400
1688134500000,0.299,0.299,0.299,0.299,200
1688134800000,0.298,0.299,0.296,0.299,21000
1688136000000,0.299,0.299,0.299,0.299,2000
1688136300000,0.3,0.3,0.3,0.3,4000
1688136600000,0.3,0.3,0.3,0.3,3000
1688136900000,0.3,0.3,0.299,0.299,3140
1688138700000,0.299,0.299,0.297,0.297,51152
1688139300000,0.298,0.298,0.297,0.297,2000
1688139600000,0.299,0.299,0.299,0.299,2000
1688141400000,0.299,0.299,0.299,0.299,4000
1688142300000,0.299,0.3,0.299,0.3,200286
1688145900000,0.3,0.3,0.3,0.3,1000
1688146200000,0.3,0.3,0.3,0.3,12000
1688151600000,0.298,0.3,0.296,0.3,80000
1688155800000,0.299,0.299,0.296,0.296,70000
1688157000000,0.299,0.299,0.296,0.296,30000
1688157300000,0.3,0.3,0.299,0.3,1722
