openTime,open,high,low,close,volume
1685659200000,891,891,891,891,0.4
1685660400000,891,891,891,891,1.2
1685661300000,891,891,891,891,24
1685662800000,891,891,890,890,30
1685666100000,890,890,890,890,296.6
1685671200000,888,888,888,888,20
1685673000000,893,894,893,894,200
1685673900000,894,894,894,894,1
1685675700000,894,894,894,894,0.5
1685678400000,897,897,897,897,82.5
1685681100000,900,900,900,900,100
1685684400000,898,901,898,901,0.8
1685686500000,893,893,893,893,0.1
1685688600000,895,895,895,895,5
1685689200000,895,895,895,895,5
1685691600000,895,896,895,896,215
1685692800000,891,891,891,891,121.6
1685693400000,895,895,895,895,100
1685700000000,890,890,888,888,51
1685700900000,890,890,890,890,5
1685701200000,891,891,891,891,0.2
1685701500000,892,892,892,892,0.5
1685703900000,894,894,894,894,0.5
1685707500000,894,894,894,894,0.5
1685709600000,894,894,894,894,0.2
1685712600000,890,891,890,891,3.5
1685713200000,891,891,891,891,112.4
1685714700000,890,890,890,890,20
1685718900000,890,890,890,890,10.4
1685719200000,894,894,894,894,10
1685736000000,906,906,906,906,56.2
1685737200000,901,901,901,901,1
1685738700000,900,900,900,900,2
