openTime,open,high,low,close,volume
1689457800000,961,962,961,962,5.6
1689461400000,962,962,962,962,2.6
1689465600000,962,962,962,962,20.6
1689467700000,961,961,960,961,1700
1689468300000,961,961,961,961,0.1
1689469500000,962,962,962,962,0.2
1689471600000,953,953,953,953,114.6
1689473100000,959,959,959,959,2
1689474300000,958,958,958,958,0.1
1689474900000,958,958,958,958,0.2
1689475500000,958,958,958,958,0.1
1689480900000,958,958,958,958,0.1
1689488700000,958,958,958,958,104
1689497400000,946,946,946,946,0.1
1689498600000,946,946,946,946,104
1689499200000,951,951,951,951,0.1
1689500100000,951,951,951,951,0.6
1689500700000,951,951,951,951,0.3
1689502500000,951,951,948,948,100
1689505200000,949,949,949,949,15
1689506100000,952,952,952,952,10
1689506700000,952,952,952,952,0.1
1689508800000,954,954,954,954,10
1689511200000,953,953,953,953,0.2
1689511500000,952,952,952,952,0.2
1689512700000,945,945,945,945,100
1689515100000,943,943,943,943,100
1689515400000,948,948,948,948,5
1689516900000,952,952,952,952,5
1689517800000,955,955,955,955,0.3
1689518700000,956,956,956,956,0.2
1689519300000,955,956,955,956,88.8
1689521100000,956,956,956,956,6
1689524400000,946,946,945,945,24.2
1689524700000,946,946,946,946,0.2
1689530700000,946,947,946,947,1600
1689531300000,946,946,946,946,11
1689531600000,946,946,946,946,2.2
1689531900000,946,946,946,946,8.8
1689533400000,946,946,946,946,89
1689533700000,945,945,945,945,21.4
1689534600000,944,944,944,944,0.1
1689535800000,940,940,940,940,43.9
1689536400000,935,935,935,935,18.4
1689537000000,935,935,935,935,1
