openTime,open,high,low,close,volume
1685653800000,13134,13134,13130,13130,2.52
1685654100000,13128,13128,13128,13128,14.48
1685655900000,13100,13100,13100,13100,2.4
1685656200000,13100,13100,13095,13095,12
1685657100000,13095,13095,13075,13075,100.11
1685657700000,13127,13127,13127,13127,4.36
1685658600000,13090,13090,13085,13085,11.22
1685659200000,13085,13108,13085,13108,15.7
1685659500000,13073,13073,13073,13073,0.2
1685660100000,13074,13074,13074,13074,0.2
1685660700000,13074,13074,13074,13074,32.2
1685662200000,13050,13050,12950,13007,113.64
1685662500000,13071,13078,13071,13078,23.96
1685663700000,13046,13046,13046,13046,2.2
1685664000000,13081,13083,13081,13083,6.91
1685666100000,13083,13083,12923,12923,66.9
1685667300000,13132,13132,13132,13132,1.44
1685668500000,13131,13131,13131,13131,2
1685669700000,13132,13140,13132,13140,3.52
1685670300000,13120,13120,13098,13098,62.86
1685671200000,13080,13080,13080,13080,4.8
1685671500000,13071,13071,13071,13071,14.6
1685672100000,13097,13097,13097,13097,0.4
1685672400000,13132,13200,13132,13200,23.16
1685672700000,13183,13183,13181,13181,4
1685673600000,13200,13200,13200,13200,2.5
1685673900000,13200,13210,13200,13210,1
1685674200000,13201,13210,13201,13210,17.08
1685674500000,13209,13209,13209,13209,0.42
1685674800000,13176,13176,13167,13167,4.6
1685675400000,13198,13199,13197,13199,60
1685675700000,13171,13171,13153,13153,19.02
1685677200000,13158,13158,13158,13158,4
1685677500000,13190,13190,13190,13190,4
1685679000000,13147,13169,13147,13169,3.36
1685679600000,13180,13180,13180,13180,3.5
1685679900000,13180,13190,13180,13190,8
1685680200000,13190,13235,13190,13235,3.74
1685681400000,13232,13232,13232,13232,10
1685682000000,13204,13204,13204,13204,1
1685682300000,13250,13257,13250,13257,4.34
1685682600000,13257,13257,13257,13257,32.26
1685683200000,13252,13252,13243,13243,46
1685683800000,13241,13241,13241,13241,2.1
1685685000000,13252,13252,13251,13251,5.5
1685685600000,13240,13240,13221,13221,3.02
1685685900000,13221,13221,13221,13221,0.18
1685686200000,13215,13215,13186,13186,10
1685686500000,13221,13221,13221,13221,1.5
1685686800000,13221,13221,13221,13221,0.2
1685687400000,13182,13182,13181,13181,9.32
1685688600000,13178,13178,13178,13178,0.4
1685689500000,13174,13174,13174,13174,1.88
1685692200000,13173,13173,13173,13173,0.46
1685692500000,13172,13172,13171,13171,4.6
1685692800000,13146,13146,13146,13146,1
1685693400000,13146,13146,13146,13146,1
1685693700000,13146,13146,13146,13146,4.6
1685694900000,13164,13164,13164,13164,0.2
1685695800000,13178,13178,13178,13178,2.94
1685696100000,13178,13211,13178,13211,3.5
1685697300000,13202,13210,13202,13210,30
1685697600000,13171,13171,13171,13171,4
1685698200000,13167,13167,13167,13167,1
1685698500000,13170,13187,13170,13187,9.68
1685700300000,13187,13187,13187,13187,5
1685701200000,13211,13219,13211,13219,8
1685701500000,13221,13223,13220,13221,8.06
1685702400000,13200,13200,13200,13200,16
1685703000000,13180,13180,13171,13171,10
1685703300000,13204,13204,13204,13204,4
1685703900000,13205,13205,13205,13205,2
1685704500000,13205,13205,13205,13205,3.82
1685704800000,13194,13194,13194,13194,2
1685705100000,13200,13214,13200,13214,5.11
1685705400000,13213,13213,13213,13213,4
1685706000000,13216,13230,13216,13230,20
1685706300000,13237,13248,13237,13248,82.11
1685707200000,13214,13214,13206,13206,5.24
1685709000000,13200,13208,13200,13200,11.62
1685709600000,13216,13222,13216,13222,8.62
1685710800000,13165,13165,13164,13164,60
1685711100000,13162,13162,13162,13162,1
1685711400000,13163,13163,13134,13134,12.9
1685712300000,13134,13135,13133,13135,17.72
1685713500000,13140,13140,13140,13140,5.1
1685714100000,13100,13100,13025,13065,43.39
1685714400000,13065,13067,13065,13067,1.3
1685715300000,13067,13067,13030,13030,12
1685716500000,13047,13047,13047,13047,0.85
1685716800000,13032,13032,13032,13032,1
1685717100000,13057,13063,13057,13063,20
1685717400000,13099,13099,13099,13099,0.7
1685718300000,13110,13110,13110,13110,2
1685718900000,13170,13170,13170,13170,3.8
1685719200000,13188,13188,13188,13188,2
1685720400000,13200,13200,13200,13200,1
1685721000000,13200,13200,13200,13200,3.5
1685721600000,13200,13200,13200,13200,0.3
1685721900000,13229,13229,13229,13229,0.44
1685724900000,13188,13188,13188,13188,1
1685725800000,13190,13190,13190,13190,2
1685726700000,13188,13188,13188,13188,0.4
1685731500000,13192,13192,13192,13192,1.5
1685732400000,13192,13192,13192,13192,0.38
1685733000000,13192,13250,13192,13250,32.9
1685733600000,13260,13260,13260,13260,1.16
1685733900000,13259,13260,13259,13260,1.84
1685734200000,13300,13335,13300,13335,41.58
1685734500000,13335,13335,13335,13335,3.48
1685736000000,13303,13303,13303,13303,2.6
1685736600000,13308,13308,13308,13308,2
