openTime,open,high,low,close,volume
1689800700000,12900,12900,12900,12900,1
1689801300000,12900,12900,12900,12900,1.35
1689801900000,12899,12899,12899,12899,0.4
1689802200000,12898,12898,12898,12898,2
1689802500000,12904,12904,12904,12904,4
1689803700000,12890,12900,12890,12900,4.64
1689804000000,12900,12900,12900,12900,0.2
1689804300000,12890,12890,12890,12890,38
1689804600000,12899,12899,12886,12886,48
1689805200000,12885,12889,12860,12860,79.9
1689806400000,12882,12882,12882,12882,0.1
1689806700000,12882,12882,12882,12882,0.2
1689807300000,12882,12882,12882,12882,8
1689807900000,12860,12860,12860,12860,1.6
1689808200000,12860,12860,12860,12860,8.4
1689808500000,12860,12860,12860,12860,1
1689808800000,12855,12855,12855,12855,1.06
1689809400000,12855,12855,12855,12855,1.28
1689810000000,12856,12856,12856,12856,4
1689810300000,12891,12891,12891,12891,0.2
1689810900000,12890,12891,12890,12891,22.13
1689811200000,12891,12891,12891,12891,0.1
1689811800000,12890,12890,12890,12890,1
1689813000000,12889,12889,12855,12855,26.66
1689813600000,12880,12880,12880,12880,0.4
1689813900000,12900,12900,12900,12900,7.4
1689814200000,12900,12939,12900,12939,79.18
1689815100000,12939,12939,12939,12939,0.5
1689816000000,12928,12928,12928,12928,0.5
1689816900000,12839,12839,12839,12839,39
1689817200000,12873,12873,12873,12873,1.6
1689817500000,12841,12841,12841,12841,7.2
1689818400000,12839,12839,12839,12839,4
1689819600000,12876,12876,12876,12876,12
1689820500000,12888,12888,12887,12887,2.64
1689821100000,12886,12886,12886,12886,0.2
1689821400000,12865,12865,12865,12865,4
1689822000000,12840,12840,12832,12832,66.1
1689823500000,12831,12831,12831,12831,13
1689824100000,12831,12834,12831,12834,20
1689824400000,12833,12835,12801,12801,42.33
1689824700000,12806,12839,12806,12839,8.68
1689826500000,12839,12863,12839,12863,1.33
1689827400000,12810,12819,12784,12819,8.2
1689828300000,12826,12826,12826,12826,9.04
1689830400000,12907,12907,12907,12907,2
1689831000000,12919,12926,12919,12926,8.2
1689831600000,12926,12926,12926,12926,1
1689831900000,12920,12920,12920,12920,2
1689832200000,12925,12972,12925,12972,0.4
1689832800000,12922,12922,12922,12922,2
1689834300000,12964,12964,12964,12964,2
1689834600000,12974,12974,12974,12974,12
1689834900000,12973,12974,12960,12960,14.94
1689835500000,12925,12925,12925,12925,0.36
1689836100000,12933,12933,12933,12933,0.28
1689837000000,12946,12946,12945,12945,0.8
1689837300000,12977,13009,12977,13009,1.88
1689837600000,13026,13049,13026,13049,3.87
1689838200000,13035,13050,13035,13050,2.4
1689839100000,13025,13025,13025,13025,2
1689839400000,13050,13050,13050,13050,0.24
1689839700000,13050,13051,13050,13051,2
1689840600000,13032,13070,13032,13070,4.56
1689840900000,13070,13073,13070,13073,4.4
1689841200000,13099,13125,13099,13125,27.59
1689841500000,13115,13115,13115,13115,10
1689841800000,13140,13140,13140,13140,2
1689842100000,13140,13140,13140,13140,2
1689842400000,13140,13189,13140,13189,10.2
1689842700000,13189,13200,13185,13200,45.46
1689843000000,13200,13200,13200,13200,11.38
1689843300000,13200,13200,13200,13200,0.46
1689843600000,13200,13220,13191,13220,33.4
1689843900000,13220,13220,13220,13220,0.8
