openTime,open,high,low,close,volume
1686085200000,12619,12619,12619,12619,2
1686085500000,12622,12622,12620,12620,3
1686085800000,12621,12638,12620,12637,233
1686086100000,12641,12641,12641,12641,24
1686086700000,12648,12648,12648,12648,2
1686087000000,12646,12646,12625,12626,20
1686087300000,12626,12626,12612,12615,16
1686087600000,12652,12659,12649,12659,56
1686087900000,12662,12680,12654,12680,38
1686088200000,12680,12680,12655,12678,22
1686088500000,12680,12700,12665,12700,30
1686088800000,12688,12688,12670,12686,26
1686089100000,12639,12639,12624,12624,16
1686089400000,12625,12625,12624,12624,50
1686089700000,12617,12617,12609,12609,22
1686090300000,12620,12630,12614,12630,15
1686091500000,12638,12645,12638,12645,8
1686091800000,12646,12646,12646,12646,2
1686092400000,12677,12679,12676,12677,25
1686092700000,12676,12677,12676,12677,32
1686093000000,12668,12677,12668,12677,100
1686093300000,12665,12665,12665,12665,2
1686093600000,12677,12677,12676,12677,200
1686093900000,12677,12693,12676,12691,565
1686094200000,12700,12700,12694,12694,25
1686094500000,12665,12675,12636,12647,147
1686095100000,12650,12670,12650,12670,10
1686095700000,12684,12684,12684,12684,4
1686096000000,12672,12672,12620,12646,82
1686096600000,12635,12672,12634,12672,28
1686096900000,12631,12631,12624,12624,8
1686097200000,12626,12626,12626,12626,2
1686097500000,12636,12636,12626,12626,28
1686097800000,12647,12647,12647,12647,2
1686098700000,12665,12666,12662,12664,21
1686099000000,12658,12658,12658,12658,2
1686099300000,12664,12665,12634,12634,33
1686099600000,12606,12606,12575,12575,13
1686099900000,12610,12610,12550,12550,5
1686100800000,12519,12519,12518,12518,3
1686101100000,12533,12536,12518,12536,10
1686101400000,12539,12540,12536,12540,10
1686101700000,12541,12541,12541,12541,12
1686102000000,12541,12541,12541,12541,1
1686102300000,12540,12540,12540,12540,2
1686102600000,12548,12570,12513,12519,106
1686102900000,12514,12514,12514,12514,3
1686104700000,12510,12510,12510,12510,2
1686105300000,12538,12539,12538,12539,24
1686105600000,12529,12564,12529,12564,16
1686105900000,12565,12565,12554,12554,17
1686106200000,12546,12546,12546,12546,1
1686107100000,12553,12553,12553,12553,2
1686107400000,12521,12521,12521,12521,3
1686108300000,12526,12526,12526,12526,2
1686108600000,12500,12500,12477,12477,28
1686108900000,12471,12471,12454,12454,240
1686109200000,12458,12463,12444,12463,92
1686109800000,12509,12552,12509,12530,14
1686110100000,12561,12588,12539,12539,35
1686110400000,12554,12598,12554,12598,10
1686110700000,12562,12562,12562,12562,9
1686111000000,12566,12566,12565,12565,14
1686113100000,12577,12578,12577,12578,14
1686114900000,12586,12586,12583,12583,18
1686115200000,12599,12615,12599,12615,18
1686115500000,12615,12615,12612,12612,14
1686115800000,12612,12612,12612,12612,10
1686116100000,12612,12612,12610,12612,61
1686116400000,12613,12617,12612,12617,20
1686116700000,12625,12625,12624,12625,40
1686117300000,12648,12699,12648,12699,60
1686117900000,12671,12671,12657,12657,3
1686118200000,12651,12651,12651,12651,1
