openTime,open,high,low,close,volume
1686258000000,12326,12326,12326,12326,12
1686258600000,12337,12337,12337,12337,8
1686259200000,12323,12324,12323,12324,16
1686259800000,12323,12323,12323,12323,8
1686260100000,12307,12307,12307,12307,44
1686261000000,12314,12320,12290,12290,44
1686261300000,12323,12323,12321,12321,134
1686261600000,12318,12323,12281,12323,17
1686261900000,12347,12348,12347,12348,10
1686262200000,12334,12334,12334,12334,6
1686262500000,12333,12333,12332,12333,6
1686262800000,12341,12348,12335,12335,24
1686263100000,12348,12350,12348,12350,4
1686263400000,12344,12350,12344,12350,10
1686263700000,12356,12360,12356,12360,14
1686264300000,12334,12334,12326,12326,34
1686264600000,12343,12348,12343,12347,17
1686264900000,12348,12348,12348,12348,6
1686265200000,12347,12348,12335,12343,14
1686265500000,12345,12351,12318,12351,8
1686266400000,12320,12320,12320,12320,2
1686267000000,12317,12317,12317,12317,4
1686267300000,12322,12322,12322,12322,1
1686267600000,12325,12325,12282,12312,104
1686267900000,12302,12322,12299,12300,40
1686268200000,12300,12300,12283,12283,44
1686268500000,12300,12300,12300,12300,30
1686268800000,12284,12284,12283,12283,18
1686269100000,12283,12283,12283,12283,24
1686269400000,12283,12283,12283,12283,26
1686269700000,12283,12283,12283,12283,8
1686270000000,12283,12283,12283,12283,14
1686270300000,12283,12296,12283,12296,5
1686270600000,12283,12283,12254,12254,12
1686272400000,12254,12265,12254,12265,14
1686272700000,12275,12275,12275,12275,3
1686276000000,12278,12282,12278,12282,51
1686276300000,12275,12275,12250,12250,250
1686276600000,12250,12254,12206,12253,70
1686276900000,12254,12254,12254,12254,8
1686277200000,12207,12207,12188,12188,264
1686277500000,12188,12197,12188,12197,41
1686277800000,12199,12231,12193,12231,12
1686278400000,12217,12217,12217,12217,2
1686278700000,12220,12228,12220,12228,3
1686279000000,12192,12216,12192,12216,3
1686279900000,12222,12222,12222,12222,1
1686280200000,12222,12222,12222,12222,1
1686281700000,12233,12235,12233,12235,11
1686282300000,12241,12241,12241,12241,1
1686282900000,12225,12225,12201,12201,20
1686283500000,12219,12231,12219,12231,6
1686283800000,12225,12225,12225,12225,2
1686285300000,12243,12254,12243,12254,9
1686285900000,12259,12270,12259,12270,48
1686287400000,12283,12283,12283,12283,1
1686288900000,12252,12252,12252,12252,2
1686289200000,12261,12262,12250,12250,34
1686289500000,12250,12250,12250,12250,4
1686289800000,12250,12260,12250,12260,15
1686290100000,12264,12274,12229,12265,103
1686290400000,12256,12256,12243,12252,26
1686290700000,12252,12268,12242,12242,12
1686291300000,12261,12261,12261,12261,2
1686292800000,12253,12261,12244,12261,6
1686293100000,12270,12272,12270,12272,6
1686295800000,12204,12218,12201,12218,37
1686296400000,12202,12210,12200,12209,23
1686297000000,12223,12244,12213,12213,86
1686297300000,12231,12231,12231,12231,2
1686297600000,12250,12250,12250,12250,4
1686298200000,12260,12263,12260,12263,48
1686298500000,12263,12300,12263,12300,202
1686298800000,12300,12301,12293,12295,289
1686299400000,12294,12294,12279,12279,21
1686299700000,12289,12290,12289,12290,11
1686300300000,12291,12291,12291,12291,9
1686300600000,12275,12294,12274,12294,28
1686300900000,12294,12294,12293,12294,46
1686301200000,12294,12294,12291,12294,40
1686301500000,12283,12294,12261,12277,72
1686301800000,12292,12294,12292,12294,10
1686302100000,12294,12295,12294,12295,4
1686303000000,12294,12294,12294,12294,2
1686303300000,12295,12295,12295,12295,12
1686303600000,12298,12298,12298,12298,2
1686304200000,12298,12298,12291,12291,16
1686305100000,12306,12306,12306,12306,4
1686306300000,12332,12334,12332,12334,28
1686307500000,12322,12341,12306,12341,32
1686307800000,12324,12341,12318,12330,53
1686308100000,12332,12341,12315,12327,12
1686308400000,12336,12336,12326,12328,8
1686309300000,12309,12324,12284,12324,238
1686309600000,12294,12344,12293,12307,248
1686309900000,12333,12335,12286,12311,80
1686311100000,12325,12325,12320,12320,9
1686311400000,12340,12355,12324,12324,72
1686312600000,12342,12342,12342,12342,2
1686312900000,12342,12342,12342,12342,4
1686313200000,12342,12355,12339,12355,15
1686313500000,12355,12410,12348,12405,305
1686313800000,12429,12432,12428,12428,12
1686314100000,12428,12438,12416,12416,47
1686314400000,12414,12414,12414,12414,63
1686314700000,12414,12414,12410,12410,61
1686315000000,12432,12480,12427,12480,242
1686315300000,12480,12494,12477,12484,71
1686315600000,12500,12509,12500,12500,36
1686315900000,12500,12515,12500,12515,22
1686316200000,12518,12518,12500,12500,4
1686316500000,12518,12523,12518,12523,23
1686316800000,12523,12523,12502,12510,54
1686317100000,12500,12500,12451,12476,175
1686317400000,12453,12506,12453,12506,116
1686317700000,12465,12465,12465,12465,2
1686318300000,12471,12471,12471,12471,6
1686318600000,12469,12489,12465,12489,42
1686318900000,12494,12494,12474,12474,6
1686319200000,12468,12494,12466,12494,22
1686319500000,12466,12466,12444,12444,69
1686319800000,12483,12483,12483,12483,2
1686320100000,12486,12486,12486,12486,6
1686320400000,12491,12494,12491,12494,22
1686321000000,12494,12502,12494,12500,108
1686321300000,12500,12500,12470,12490,32
1686321600000,12482,12486,12480,12480,12
1686321900000,12464,12464,12404,12404,68
1686322200000,12400,12431,12399,12431,43
1686322500000,12433,12469,12428,12469,22
1686322800000,12458,12458,12458,12458,4
1686323400000,12489,12490,12489,12490,8
1686323700000,12490,12490,12487,12490,451
1686324000000,12490,12494,12486,12486,296
1686324600000,12475,12475,12475,12475,2
1686325500000,12445,12445,12443,12443,3
1686327600000,12493,12493,12493,12493,2
1686328200000,12500,12515,12500,12515,6
1686328500000,12467,12467,12467,12467,4
1686330900000,12466,12466,12463,12466,70
1686331200000,12468,12468,12466,12466,18
1686331800000,12483,12483,12483,12483,12
1686332400000,12490,12490,12481,12481,115
1686336600000,12450,12450,12430,12430,356
1686336900000,12430,12430,12424,12430,95
1686337500000,12431,12431,12430,12430,19
1686337800000,12421,12425,12375,12395,52
1686338100000,12386,12386,12383,12385,12
1686338400000,12391,12391,12389,12389,8
1686338700000,12379,12379,12355,12355,6
1686339000000,12344,12354,12344,12354,4
1686339300000,12359,12375,12359,12364,46
1686339600000,12375,12376,12375,12376,4
1686339900000,12348,12348,12346,12346,4
1686340200000,12348,12348,12348,12348,2
1686341400000,12383,12383,12383,12383,2
1686341700000,12392,12392,12392,12392,2
1686342600000,12434,12434,12434,12434,2
1686343200000,12425,12425,12421,12421,14
1686343500000,12423,12423,12423,12423,8
1686344100000,12419,12434,12419,12434,19
