openTime,open,high,low,close,volume
1686089100000,90625,90625,90625,90625,0.003
1686095400000,91015,91015,91015,91015,0.01
1686096000000,90625,90625,90270,90270,0.758
1686099600000,90270,90270,90270,90270,0.006
1686103800000,89365,89365,89365,89365,0.029
1686105300000,89144,89144,89144,89144,0.2
1686106200000,89144,89144,88777,88777,0.8
1686106500000,89180,89180,89180,89180,1
1686108000000,89535,89535,89535,89535,0.001
1686108900000,89565,89675,89565,89675,0.02
1686111600000,89690,89690,89690,89690,0.08
1686114000000,89785,89785,89785,89785,0.001
