openTime,open,high,low,close,volume
1689628800000,130659,130659,130659,130659,0.008
1689630300000,129645,129645,129645,129645,0.008
1689632100000,130615,130615,130615,130615,0.01
1689633600000,130614,130630,130614,130630,1.587
1689634500000,130805,131000,130805,131000,0.12
1689639600000,130191,130191,130155,130155,0.02
1689640200000,130155,130155,130150,130150,0.2
1689640800000,130150,130150,130150,130150,0.018
1689641100000,130150,130150,128956,128956,0.6
1689641400000,128956,128956,128956,128956,0.004
1689643800000,128956,128956,128956,128956,0.04
1689650100000,128956,128956,128905,128905,0.16
1689653700000,128905,128905,128000,128000,0.4
1689654000000,128115,128115,128115,128115,0.001
1689655500000,128395,128525,128395,128525,0.6
1689655800000,128540,128540,128540,128540,0.1
1689657000000,128575,128575,128575,128575,0.1
1689658200000,128610,128610,128610,128610,0.001
1689662400000,128000,128000,128000,128000,0.022
1689663000000,127800,127800,127800,127800,0.2
1689663600000,126700,126700,125990,126515,3.057
1689666000000,126514,126514,126514,126514,0.2
1689668700000,126514,126514,126514,126514,0.02
1689669600000,126514,126514,124665,124665,0.124
1689672900000,125910,125910,125910,125910,0.1
1689677700000,127239,127239,127239,127239,0.2
1689681300000,127245,127605,126690,126690,4.72
1689681900000,126695,126710,125966,126000,0.57
1689684300000,126779,126779,126779,126779,0.154
1689685800000,126790,126790,126790,126790,0.02
1689686700000,126126,126126,126126,126126,0.022
1689687300000,126180,126190,126180,126190,0.12
1689688800000,126414,126414,126126,126126,7.577
1689690600000,127180,127185,127180,127185,1.658
1689694800000,126000,126000,126000,126000,0.2
1689698400000,126000,126000,125910,125910,0.874
1689698700000,125910,125910,124950,124950,0.4
1689702900000,125160,125160,125160,125160,0.001
1689703200000,125595,125595,125595,125595,0.008
1689711600000,125580,125580,125570,125570,2.2
