openTime,open,high,low,close,volume
1685661000000,54.6,54.6,54.6,54.6,160
1685662200000,54.6,54.6,54.6,54.6,1220
1685666100000,54.6,54.6,54.6,54.6,406
1685666400000,54.6,54.6,54.6,54.6,670
1685667300000,54.6,54.6,54.6,54.6,380
1685668200000,54.6,54.6,54.6,54.6,838
1685671500000,55.969,55.969,55.969,55.969,8
1685674500000,56.079,56.08,56.079,56.08,36
1685677500000,55.85,55.85,55.85,55.85,54
1685683200000,56.08,56.5,54.5,56.5,2564
1685683800000,55.374,55.374,55.374,55.374,48
1685684400000,56.08,56.08,56.08,56.08,2
1685686800000,56.28,56.28,56.28,56.28,2
1685690400000,56.25,56.28,56.25,56.28,1394
1685698800000,56.28,56.28,56.28,56.28,4
1685701500000,56.28,56.28,55.051,55.051,12
1685707200000,55.05,55.05,55.05,55.05,196
1685707500000,56.199,56.2,56.199,56.2,20
1685708100000,56.194,56.194,56.194,56.194,20
1685709600000,55,55,55,55,64
1685710200000,56.089,56.089,56.089,56.089,40
1685713200000,54.601,54.601,54.13,54.13,3636
1685714700000,54.13,55.373,54.13,55.373,20
1685718000000,54.041,54.041,54.04,54.04,20
1685718600000,55.129,55.129,55.129,55.129,4
1685719200000,55.128,55.135,55.128,55.135,758
1685723400000,54.601,54.601,54.6,54.6,38
1685723700000,54.6,54.6,54.6,54.6,20
1685724000000,54.6,54.6,54.03,54.03,1020
1685724600000,54.04,54.04,54.012,54.012,922
1685725200000,55.134,55.134,55.134,55.134,4
