openTime,open,high,low,close,volume
1687468200000,54.99,54.99,54.99,54.99,420
1687473600000,53.602,53.602,52.841,52.841,60
1687478400000,52.861,52.862,52.1,52.102,2642
1687479000000,53.601,53.602,53.601,53.602,82
1687482000000,53.093,53.093,53.093,53.093,200
1687485300000,54.139,54.14,54.139,54.14,30
1687499100000,54.13,54.13,54.13,54.13,2
1687499400000,54.13,54.14,54.13,54.14,400
1687504500000,52.834,52.834,52.834,52.834,2
1687520400000,54.129,54.13,54.129,54.13,60
1687522500000,52.818,52.818,52.8,52.8,3444
1687526700000,52.801,52.801,52.8,52.8,82
1687529700000,53.909,53.909,53.909,53.909,4
1687535700000,53.011,53.011,53.01,53.01,62
1687536900000,53.011,53.011,53.011,53.011,20
1687539000000,54.139,54.9,54.139,54.9,400
1687544400000,54.899,55,53.602,55,4716
1687549500000,55,55,55,55,40
1687550400000,54.31,55.5,53.703,55.5,1944
1687551900000,54.491,54.491,54.07,54.07,400
