openTime,open,high,low,close,volume
1685998800000,96.216,97,96.216,97,53.7
1685999100000,97,97.896,96,96,711.3
1685999400000,97.56,97.56,96,96,1320.5
1685999700000,96,96,95.9,95.9,480
1686000300000,96.72,96.804,96.72,96.804,5
1686000600000,96.816,96.936,96.768,96.804,624
1686000900000,96.768,96.768,96.768,96.768,30
1686001800000,97.02,97.224,97.02,97.224,100.5
1686002100000,97.236,97.236,97.236,97.236,50
1686002400000,97.392,97.8,97.392,97.8,500
1686002700000,97,97,97,97,20
1686003000000,97.176,97.176,97.176,97.176,10
1686003300000,97.872,97.956,97.584,97.584,2605
1686004500000,97,97,97,97,400
1686004800000,97.056,97.812,97.056,97.812,45
1686005100000,97.836,97.836,97.836,97.836,10
1686005400000,97.752,97.752,97.752,97.752,10
1686006300000,97,97.68,95.8,97.68,441
1686006600000,97.944,97.944,97.944,97.944,200
1686006900000,98.064,98.076,98.064,98.076,82.7
1686007500000,98.31,98.832,98.31,98.832,1044.1
1686007800000,98.94,99.048,96,96,378.9
1686008100000,96.06,97.872,96.06,97.872,862.1
1686009000000,98.832,98.832,98.832,98.832,10.7
1686009300000,98.856,98.904,98.856,98.904,40
1686009600000,98.904,98.976,98.904,98.976,22.2
1686009900000,98,98,96.3,97.02,1983.9
1686010200000,97.092,97.992,96.984,97.992,697.8
1686010500000,97.992,98.268,97.992,98.268,140
1686010800000,98.268,98.484,95.16,96.648,1372.2
1686011100000,96.756,96.924,96.756,96.924,100
1686011700000,97.092,97.44,97.092,97.44,100
1686012600000,98.11,98.11,98.11,98.11,203.8
1686012900000,98.11,98.388,98.11,98.388,125
1686013200000,98.496,98.508,98.496,98.508,1200
1686013500000,98.256,98.256,98.256,98.256,600
1686014100000,97.968,97.98,97.944,97.98,1300
1686015300000,95.56,95.56,95.144,95.472,604.8
1686015600000,95.472,95.484,95.144,95.46,685
1686015900000,95.484,95.796,95.144,95.448,660
1686016200000,95.508,96.612,95.508,96.612,527
1686016800000,96.612,96.612,96.612,96.612,38
1686017700000,96.612,96.612,96.612,96.612,1047
1686018000000,96.612,96.612,96.612,96.612,400
1686019800000,96.612,96.852,96.612,96.852,5674
1686023700000,96.912,96.912,96.912,96.912,20
1686025500000,97.02,97.044,97.02,97.044,70
1686025800000,97.056,97.056,97.056,97.056,10
1686026100000,97.092,97.368,97.092,97.368,0.6
1686026400000,97.38,97.5,96.9,96.9,40.5
1686028200000,97.008,97.056,97.008,97.056,500
1686029700000,96.9,96.9,96.9,96.9,60.8
1686030000000,96.5,96.5,95.144,96.276,360
1686030600000,96.324,96.384,96.324,96.384,500
1686031800000,96.54,96.54,96.54,96.54,1860.8
1686032700000,96.792,96.792,96.54,96.54,90
1686033000000,96.852,97.368,96.852,97.368,800
1686035400000,97.536,98,97.536,98,4800
1686035700000,98,98,98,98,0.2
1686036300000,97,97,97,97,837.4
1686036600000,97.008,97.008,96.54,96.54,670
1686037200000,96.7,96.7,96.7,96.7,40
1686037500000,96.984,96.984,96.984,96.984,30
1686038400000,97.032,99.144,97.032,99.144,10329.9
1686039000000,99.564,99.564,99.564,99.564,0.1
1686039900000,96.545,96.545,96.545,96.545,0.2
1686040200000,96.6,96.96,96.6,96.96,960.8
1686043800000,96.96,96.96,96.96,96.96,200
1686045300000,97.056,97.056,97.056,97.056,213
1686045600000,97,97,97,97,40
1686046200000,97.188,97.188,97.188,97.188,17.9
1686046800000,96.853,96.853,96.54,96.54,148.2
1686048000000,96.864,97.104,96.864,97.104,300
1686048300000,97,97,97,97,81
1686048600000,97,97,97,97,1554
1686049500000,97.176,97.224,97.176,97.224,1000
1686051000000,97,97,97,97,400
1686052200000,97.044,97.044,97.044,97.044,200
1686053400000,97,97,96.144,96.144,4504.4
1686053700000,96.144,96.408,96.144,96.408,510
1686054900000,96.204,96.204,96.144,96.144,3320
1686055200000,96.144,96.24,96.144,96.24,1560.1
1686055500000,96.252,96.252,96.144,96.144,566
1686055800000,96.144,96.144,96.144,96.144,2720
1686056100000,96.144,96.144,96.144,96.144,3200
1686056400000,96.144,96.144,96.144,96.144,40
1686057300000,96.144,96.144,96.144,96.144,1000
1686057600000,96.144,96.144,96.144,96.144,1320
1686057900000,96.144,96.144,96.144,96.144,4742.2
1686058200000,96.144,96.144,96.144,96.144,1360
1686058500000,96.144,96.144,96.144,96.144,1360
1686058800000,96.144,96.145,96.144,96.144,1120
1686059700000,96.432,96.792,96.432,96.792,30.3
1686060000000,97.2,97.452,97.2,97.452,85.1
1686060600000,97.512,97.512,97.512,97.512,100
1686066300000,97.536,97.536,97.536,97.536,1000
1686069600000,97.536,97.536,97.536,97.536,200
1686071700000,97.992,97.992,97.992,97.992,5
1686073200000,97.224,97.224,97.224,97.224,0.1
1686074700000,98.736,98.832,98.736,98.832,101.2
1686080400000,98.352,98.352,98.352,98.352,50
1686080700000,99.636,99.9,99.636,99.9,5.9
1686081300000,99.9,99.9,99.9,99.9,100
1686081600000,99.456,101.969,99.456,101.969,1197.7
1686082200000,101.969,101.969,101.969,101.969,9.8
