openTime,open,high,low,close,volume
1687382100000,81.412,81.412,81.384,81.384,110
1687382400000,81.376,81.376,81.328,81.328,314.5
1687383300000,81.32,81.32,81.32,81.32,116.6
1687384500000,81.316,81.316,81.304,81.304,25
1687385700000,81.288,81.288,81.088,81.088,1639.9
1687386600000,81.036,81.036,81.008,81.008,18.4
1687387200000,80.996,80.996,80.996,80.996,3.2
1687387500000,80.9,80.9,80.9,80.9,4
1687388100000,80.9,82.548,80.492,82.176,352.5
1687388400000,82.548,82.548,82.276,82.36,371.5
1687388700000,82.356,82.356,82.26,82.26,3000
1687389000000,82.256,82.256,81.776,81.776,9000
1687389300000,81.664,81.664,81.024,81.024,8200
1687389600000,80.82,80.82,80.82,80.82,35
1687389900000,80.744,80.744,79.248,79.584,11983.8
1687390800000,82.548,82.548,82.548,82.548,1
1687392300000,82,82,82,82,122.2
1687392600000,82,82,82,82,2400
1687393200000,82,82,81.996,81.996,78.9
1687393500000,81.98,81.98,81.98,81.98,200
1687394100000,82.5,82.548,82.5,82.548,1209.4
1687394400000,82.544,83,82.544,83,1981.6
1687395000000,83,83,83,83,48.8
1687395300000,83,83.2,83,83.2,827.4
1687396200000,83.2,83.2,83.156,83.2,488.2
1687397100000,83.192,83.192,83.192,83.192,500
1687397400000,83.192,83.404,83.192,83.404,288.2
1687397700000,83.4,83.4,83.356,83.356,50
1687398000000,83.288,84,83.28,84,1060.4
1687398600000,83.916,83.916,83.852,83.852,100
1687400700000,83.636,83.636,83.636,83.636,8.9
1687401000000,83.536,84.04,83.536,84.04,202.3
1687402500000,83.98,84.28,83.98,84.28,104.2
1687402800000,84.276,84.276,84.276,84.276,5
1687403100000,84.064,84.064,84.064,84.064,1
1687404000000,84.036,84.036,84.02,84.02,1374.5
1687404300000,83.984,83.984,83.984,83.984,50
1687404600000,83.984,83.984,83.984,83.984,30
1687405200000,84,84,84,84,50
1687406100000,84,84.4,84,84.4,310
1687406400000,84.156,84.692,83.98,84.692,23
1687406700000,84.776,84.776,83.5,83.5,325.8
1687407000000,84,84,84,84,3239.4
1687407600000,83.98,83.98,83.732,83.732,99.8
1687407900000,84.772,84.772,84.772,84.772,10
1687408500000,83.904,83.904,83.76,83.76,111
1687408800000,84.788,84.788,84.02,84.02,100.2
1687409700000,84.788,84.788,84.788,84.788,20
1687410000000,84.236,84.236,84.1,84.1,300
1687410300000,84.092,84.092,84.092,84.092,137
1687410600000,84.068,84.068,84.068,84.068,6
1687411800000,84.008,84.008,83.64,83.64,120.5
1687412400000,83.62,83.62,83.62,83.62,100
1687413900000,83.5,83.5,82.805,82.805,233.4
1687414500000,82.692,82.692,82.532,82.532,22
1687415700000,82.532,82.532,82.532,82.532,30
1687416300000,82.404,82.404,82.328,82.328,249.8
1687416600000,83,83,83,83,200
1687416900000,83,83,83,83,962.4
1687417200000,83,83,83,83,240.8
1687418100000,83,83,83,83,240.8
1687419000000,83,83,83,83,196
1687421100000,82.996,82.996,82.984,82.984,986
1687422000000,82.98,82.98,82.98,82.98,74.4
1687423500000,82.976,82.976,82.976,82.976,504.6
1687425000000,82.972,82.972,82.972,82.972,50
1687427100000,82.968,82.968,82.948,82.948,1
1687427400000,82.936,82.936,82.808,82.808,6.3
1687428000000,82.806,82.806,82.7,82.7,950.7
1687429200000,82.64,82.64,82.604,82.604,49
1687430100000,82.6,82.6,82.6,82.6,61
1687430400000,84.04,84.756,84.04,84.756,70
1687430700000,83.564,83.564,83.564,83.564,50
1687431000000,83.544,83.544,83.36,83.36,198.3
1687431900000,83.36,83.36,82.996,83.056,353.3
1687432200000,80.492,81.568,80.18,81.568,1440.1
1687432500000,80.876,80.876,80.876,80.876,99.9
1687433100000,80.812,80.812,80.804,80.804,100
1687433400000,80.7,80.7,80.7,80.7,300
1687434300000,80.372,80.372,80.352,80.352,201.5
1687434600000,79.907,79.907,79.907,79.907,20
1687439400000,80,80,80,80,350
1687440000000,80,80,80,80,1290
1687440300000,79.94,79.94,79.908,79.908,154.8
1687440600000,81.888,82.056,81.888,82.056,8
1687443000000,80.932,80.932,80.932,80.932,10
1687443300000,81.688,81.776,81.688,81.776,30
1687443600000,80.684,80.684,80.684,80.684,25
1687444500000,79.964,79.964,79.964,79.964,20
1687444800000,79.908,79.908,79.376,79.376,212.3
1687445100000,79.372,79.372,79.372,79.372,504
1687446000000,80,80,79.364,79.364,336.8
1687448400000,79.36,79.36,79.36,79.36,3
1687449000000,79.356,79.356,79.336,79.336,383.1
1687449600000,79.312,79.316,78.464,78.464,567.5
1687451400000,80.5,80.5,80.5,80.5,60
1687452600000,79.804,79.804,79.804,79.804,64.4
1687455900000,79.692,79.692,79.616,79.616,65
1687457100000,79.604,79.604,79.6,79.6,990
1687458000000,79.592,79.592,79.592,79.592,0.8
1687459500000,79.56,79.56,79.56,79.56,8.5
1687463400000,79.492,79.492,79.412,79.412,15
1687464000000,79.344,81.695,79.308,81.695,797.5
1687464300000,81.695,81.695,81.695,81.695,245
1687464600000,80.584,80.584,80.584,80.584,12
1687466100000,80.188,80.188,80.188,80.188,200
