openTime,open,high,low,close,volume
1688504400000,410.895,411.51,410.895,411.51,600
1688505300000,411.523,411.523,411.523,411.523,0.2
1688506200000,411.538,411.538,411.538,411.538,40
1688508900000,412,414,412,414,2
1688509200000,414.495,415.275,414.495,415.275,2205
1688513700000,415,415,415,415,0.4
1688514600000,410,410,410,410,146.8
1688515200000,410,410.01,407,407,384.5
1688515500000,407.115,407.31,407,407,1155
1688515800000,407,407,407,407,140
1688517300000,407,407,407,407,306
1688517600000,407.58,408.015,407.58,408.015,50
1688518200000,408.015,408.015,408.015,408.015,40
1688518500000,408.015,408.015,407,407,385
1688518800000,407,407,407,407,80
1688519100000,407.04,407.295,407.04,407.295,60
1688521500000,407,407,407,407,246
1688522100000,407.085,407.865,407.085,407.865,2200
1688522400000,406.485,407.28,400.545,407.28,5884.6
1688522700000,407.34,407.97,407.34,407.97,3561.1
1688527500000,407.983,407.983,407.983,407.983,3
1688528100000,406,406,406,406,98.4
1688528400000,406.02,406.125,406.02,406.125,0.6
1688528700000,406.14,406.14,400,400,1611.7
1688529000000,400.001,404.685,399.09,404.685,3297.8
1688529300000,400,400,400,400,800
1688530800000,403.755,404.37,403.755,404.37,2000
1688531100000,404.4,404.4,404.4,404.4,50
1688535000000,406,406,406,406,0.2
1688535600000,406,406.47,406,406.47,2000.4
1688536800000,401.192,401.192,401.192,401.192,0.4
1688538000000,404.985,404.985,404.985,404.985,0.1
1688538300000,405.15,405.15,405.15,405.15,0.1
1688539800000,405.42,405.495,405.42,405.495,20
1688544300000,405.867,405.93,405.867,405.93,1326.2
1688544600000,400.686,401.475,400.686,401.475,150.4
1688544900000,400.686,400.686,400,400,392.8
1688545200000,400,400,399.001,399.87,95.8
1688545800000,400.845,400.845,400.845,400.845,10
1688546100000,401.895,402.06,401.895,402.06,966.8
1688548800000,402.074,402.074,402.074,402.074,5
1688550000000,399.001,399.001,399.001,399.001,200.8
1688550600000,399.001,399.27,398.951,399.27,110.4
1688550900000,399.405,399.405,398.951,398.951,210
1688552700000,398.95,398.95,398.95,398.95,60
1688553300000,398.95,398.95,395,395,2493.4
1688553600000,395,395,393,393.21,652
1688553900000,393.45,393.45,392.001,392.001,458.5
1688554500000,392,392,391.001,391.001,520
1688554800000,391.035,391.035,391.035,391.035,5
1688555100000,391.05,391.05,391.05,391.05,50
1688555400000,391.095,391.095,390.001,390.001,184.6
1688555700000,391.155,391.155,391.155,391.155,10
1688556000000,391.35,391.395,391.35,391.395,20
1688556600000,391.41,391.695,391.41,391.695,10.4
1688557500000,390,390,389.013,389.745,396.4
1688557800000,389.013,389.013,389.013,389.013,154.2
1688558100000,389.013,389.013,389,389,62
1688558400000,389.055,389.055,389.055,389.055,2
1688558700000,389.1,389.1,389,389,23
1688559000000,389,389,388,388.02,125
1688559300000,388.17,388.17,388.17,388.17,100
1688559900000,388.455,388.455,388.455,388.455,10
1688560200000,388.515,388.515,385.007,385.007,943.6
1688560800000,388.59,388.62,388.59,388.62,20
1688562000000,385.25,385.25,385,385,52
1688562300000,385,385,385,385,134
1688563800000,387.525,387.525,387.525,387.525,1
1688564100000,387.855,387.855,387.855,387.855,10
1688564400000,388.785,388.785,388.785,388.785,0.1
1688565000000,389.04,389.04,389.04,389.04,0.2
1688566500000,389.07,389.07,389.07,389.07,50
1688566800000,390,390.39,390,390.39,21
1688568000000,390.42,390.42,390.42,390.42,10
1688568300000,388.785,388.785,385,385,108.6
1688569200000,387.375,387.375,387.375,387.375,5
1688570700000,385,385,383.55,383.55,104.8
1688571000000,383.55,383.55,378,380.445,475.6
1688572800000,379,379,378.795,378.795,89
1688573100000,382,385.74,382,385.74,322
1688573400000,386,386,386,386,0.6
1688576700000,386,388,386,388,60
1688579400000,388,388.74,388,388.74,5.7
1688580900000,388.755,388.755,388.755,388.755,10
1688583000000,389.565,389.565,389.565,389.565,1.3
1688583600000,389.58,389.58,389.58,389.58,110
1688586600000,389.623,389.623,389.623,389.623,0.4
1688587500000,387.1,387.1,387.1,387.1,310.8
1688588100000,387.555,387.555,387.555,387.555,0.1
1688589300000,388.005,388.095,388.005,388.095,0.5
1688589600000,388.155,388.155,388.155,388.155,80
1688589900000,387.855,387.855,387.855,387.855,51.6
1688590500000,388.785,388.785,388.785,388.785,4
