openTime,open,high,low,close,volume
1685914800000,4.684,4.684,4.684,4.684,200
1685915100000,4.684,4.684,4.684,4.684,212
1685915400000,4.671,4.671,4.642,4.642,874
1685917200000,4.672,4.672,4.67,4.67,100000
1685918700000,4.642,4.643,4.642,4.643,38724
1685919600000,4.688,4.7,4.68,4.68,1304
1685919900000,4.67,4.67,4.662,4.662,1440
1685920800000,4.68,4.68,4.662,4.662,202
1685922900000,4.677,4.677,4.677,4.677,2
1685923500000,4.661,4.662,4.661,4.662,1290
1685924100000,4.643,4.658,4.643,4.658,1292
1685924400000,4.641,4.641,4.641,4.641,4000
1685925000000,4.663,4.663,4.663,4.663,1302
1685927100000,4.602,4.602,4.602,4.602,200
1685927400000,4.631,4.631,4.631,4.631,344
1685929800000,4.633,4.633,4.633,4.633,2
1685931300000,4.64,4.64,4.64,4.64,20
1685933700000,4.6,4.6,4.6,4.6,450
1685934900000,4.575,4.575,4.57,4.57,3628
1685935200000,4.576,4.576,4.576,4.576,2
1685935500000,4.576,4.576,4.576,4.576,2
1685935800000,4.591,4.591,4.591,4.591,20
1685938200000,4.571,4.678,4.571,4.6,112992
1685938800000,4.585,4.585,4.585,4.585,50000
1685942400000,4.574,4.574,4.574,4.574,20
1685943300000,4.582,4.582,4.582,4.582,20
1685943600000,4.58,4.598,4.58,4.59,64956
1685943900000,4.583,4.583,4.54,4.561,121328
1685944500000,4.562,4.562,4.562,4.562,2636
1685945100000,4.578,4.578,4.578,4.578,32
1685945700000,4.578,4.578,4.542,4.542,6220
1685946000000,4.567,4.567,4.567,4.567,2
1685946300000,4.541,4.541,4.541,4.541,2810
1685947500000,4.583,4.583,4.583,4.583,2
1685948700000,4.57,4.572,4.57,4.572,104752
1685949000000,4.596,4.596,4.596,4.596,20
1685950200000,4.593,4.593,4.593,4.593,79980
1685952300000,4.598,4.598,4.598,4.598,138
1685955000000,4.598,4.598,4.598,4.598,270
1685956800000,4.579,4.579,4.579,4.579,16
1685957700000,4.598,4.598,4.598,4.598,2
1685959500000,4.593,4.593,4.593,4.593,14
1685961900000,4.582,4.586,4.582,4.586,88320
1685962200000,4.587,4.587,4.587,4.587,50394
1685964300000,4.58,4.58,4.58,4.58,2000
1685964600000,4.58,4.58,4.58,4.58,3058
1685965200000,4.58,4.58,4.58,4.58,20
1685966400000,4.58,4.629,4.58,4.629,24982
1685967000000,4.601,4.601,4.601,4.601,2000
1685968800000,4.58,4.58,4.58,4.58,17520
1685969100000,4.581,4.581,4.581,4.581,2
1685969400000,4.58,4.58,4.58,4.58,4392
1685969700000,4.58,4.58,4.58,4.58,4390
1685970000000,4.58,4.58,4.562,4.564,62394
1685970300000,4.563,4.564,4.563,4.564,4
1685971800000,4.563,4.564,4.563,4.564,2222
1685972100000,4.564,4.564,4.56,4.56,9638
1685973000000,4.54,4.54,4.516,4.516,8754
1685973300000,4.56,4.56,4.56,4.56,2
1685973600000,4.56,4.688,4.56,4.639,26126
1685974200000,4.56,4.56,4.51,4.51,3000
1685974500000,4.523,4.533,4.523,4.533,4
1685976900000,4.52,4.52,4.503,4.503,116800
1685977200000,4.538,4.543,4.536,4.543,1822
1685977500000,4.503,4.503,4.503,4.503,20
1685977800000,4.503,4.503,4.503,4.503,600
1685978100000,4.502,4.502,4.441,4.441,42450
1685979000000,4.452,4.452,4.452,4.452,600
1685979300000,4.44,4.545,4.371,4.545,182930
1685979600000,4.546,4.546,4.546,4.546,1220
1685980200000,4.408,4.408,4.408,4.408,606
1685980500000,4.372,4.546,4.34,4.34,210092
1685980800000,4.34,4.34,4.212,4.212,609970
1685981100000,4.211,4.214,4.2,4.201,106400
1685981400000,4.201,4.33,4.201,4.33,6022
1685981700000,4.291,4.291,4.286,4.286,35200
1685982300000,4.33,4.33,4.33,4.33,2
1685982600000,4.301,4.31,4.276,4.276,20596
1685982900000,4.266,4.266,4.266,4.266,20000
1685983200000,4.266,4.266,4.257,4.257,7000
1685983500000,4.257,4.258,4.202,4.202,21688
1685983800000,4.258,4.258,4.258,4.258,51000
1685984100000,4.33,4.33,4.33,4.33,422
1685984400000,4.33,4.33,4.33,4.33,420
1685985000000,4.33,4.33,4.33,4.33,200
1685986200000,4.33,4.5,4.274,4.274,36576
1685986500000,4.23,4.23,4.23,4.23,1060
1685987400000,4.244,4.245,4.244,4.245,20000
1685991600000,4.214,4.245,4.21,4.212,87932
1685991900000,4.21,4.213,4.21,4.213,21010
1685992500000,4.405,4.43,4.214,4.214,23462
1685993100000,4.21,4.21,4.21,4.21,586
1685993400000,4.21,4.21,4.21,4.21,1584
1685995800000,4.221,4.221,4.221,4.221,50000
1685997600000,4.221,4.221,4.221,4.221,138
1685997900000,4.225,4.226,4.225,4.226,28390
1685998200000,4.226,4.226,4.226,4.226,5200
1685998500000,4.408,4.408,4.274,4.274,824
