openTime,open,high,low,close,volume
1688158800000,4.118,4.119,4.116,4.116,33960
1688159100000,4.13,4.13,4.033,4.033,712
1688159700000,4.115,4.115,4.115,4.115,2
1688160300000,4.129,4.129,4.129,4.129,600
1688161200000,4.086,4.086,4.086,4.086,2
1688162100000,4.12,4.129,4.12,4.129,2426
1688164200000,4.13,4.145,4.087,4.087,5850
1688165400000,4.145,4.145,4.145,4.145,490
1688165700000,4.145,4.145,4.145,4.145,9636
1688166300000,4.101,4.101,4.101,4.101,2
1688166600000,4.145,4.145,4.145,4.145,2
1688166900000,4.145,4.145,4.101,4.101,1652
1688167200000,4.149,4.149,4.149,4.149,2
1688167500000,4.102,4.157,4.102,4.157,4962
1688167800000,4.114,4.175,4.114,4.175,48004
1688168100000,4.121,4.121,4.121,4.121,2
1688168700000,4.175,4.175,4.121,4.121,206
1688169300000,4.175,4.175,4.127,4.175,134
1688177400000,4.19,4.23,4.125,4.125,192124
1688177700000,4.2,4.2,4.199,4.199,12730
1688178000000,4.199,4.199,4.199,4.199,59992
1688178300000,4.199,4.2,4.125,4.2,70176
1688178600000,4.199,4.199,4.199,4.199,734
1688179200000,4.2,4.229,4.199,4.229,130884
1688179500000,4.161,4.228,4.107,4.161,66502
1688179800000,4.219,4.219,4.219,4.219,200
1688180700000,4.219,4.23,4.219,4.23,9416
1688181000000,4.23,4.246,4.23,4.246,9408
1688181900000,4.201,4.201,4.2,4.2,20000
1688182200000,4.244,4.244,4.244,4.244,2
1688183700000,4.206,4.206,4.206,4.206,9496
1688184000000,4.206,4.244,4.205,4.205,20794
1688184300000,4.23,4.23,4.23,4.23,2
1688184600000,4.215,4.216,4.215,4.216,33164
1688185500000,4.2,4.2,4.2,4.2,500
1688186400000,4.161,4.193,4.161,4.193,6002
1688186700000,4.161,4.188,4.116,4.188,20200
1688187000000,4.121,4.159,4.116,4.159,29604
1688187300000,4.159,4.189,4.159,4.189,50000
1688187900000,4.199,4.199,4.199,4.199,2
1688190600000,4.191,4.191,4.128,4.128,40136
1688190900000,4.189,4.189,4.189,4.189,200
1688191200000,4.129,4.129,4.128,4.128,506
1688191500000,4.128,4.128,4.128,4.128,44660
1688192100000,4.198,4.198,4.187,4.188,47884
1688192400000,4.188,4.188,4.188,4.188,9536
1688193000000,4.187,4.188,4.187,4.188,4768
1688195100000,4.145,4.145,4.145,4.145,8200
1688195400000,4.199,4.199,4.199,4.199,200
1688195700000,4.145,4.145,4.145,4.145,9000
1688196000000,4.199,4.199,4.199,4.199,9512
1688196900000,4.2,4.249,4.2,4.247,24218
1688197200000,4.247,4.247,4.201,4.201,140
1688197800000,4.201,4.201,4.201,4.201,2000
1688199600000,4.201,4.201,4.201,4.201,14000
1688200200000,4.23,4.23,4.23,4.23,3000
1688200800000,4.245,4.25,4.245,4.25,47000
1688202000000,4.249,4.27,4.249,4.27,46962
1688202300000,4.27,4.27,4.27,4.27,9498
1688202600000,4.274,4.274,4.274,4.274,200
1688203200000,4.27,4.27,4.27,4.27,80000
1688203800000,4.27,4.27,4.27,4.27,5102
1688204100000,4.27,4.3,4.27,4.3,45774
1688204400000,4.3,4.3,4.25,4.25,24576
1688204700000,4.298,4.3,4.298,4.3,95752
1688205000000,4.32,4.32,4.296,4.319,10266
1688205300000,4.319,4.319,4.302,4.318,55204
1688205600000,4.318,4.319,4.311,4.317,34192
1688205900000,4.319,4.32,4.319,4.32,24728
1688206200000,4.32,4.355,4.32,4.355,9164
1688206800000,4.318,4.354,4.318,4.354,400
1688207100000,4.331,4.331,4.331,4.331,400
1688207400000,4.355,4.4,4.355,4.4,56294
1688207700000,4.4,4.4,4.388,4.4,16280
1688208000000,4.4,4.498,4.4,4.498,353774
1688208300000,4.48,4.48,4.413,4.413,79534
1688208600000,4.44,4.491,4.44,4.44,240420
1688208900000,4.464,4.464,4.464,4.464,200
1688209200000,4.48,4.497,4.48,4.497,4442
1688209500000,4.497,4.65,4.497,4.618,695064
1688209800000,4.619,4.624,4.4,4.592,422754
1688210100000,4.559,4.559,4.39,4.545,63478
