openTime,open,high,low,close,volume
1689109800000,13.954,13.954,13.954,13.954,1000
1689110400000,13.947,13.954,13.947,13.954,16274
1689110700000,13.9,13.9,13.85,13.85,1556
1689111000000,13.863,13.863,13.863,13.863,1
1689111900000,13.865,13.867,13.865,13.867,234
1689113100000,13.86,13.86,13.819,13.819,7780
1689113400000,13.82,13.82,13.801,13.802,5836
1689114000000,13.839,13.839,13.839,13.839,7316
1689115800000,13.842,13.842,13.842,13.842,1000
1689116700000,13.845,13.845,13.845,13.845,8
1689117600000,13.845,13.845,13.845,13.845,215
1689119100000,13.845,13.846,13.845,13.846,570
1689121200000,13.816,13.816,13.8,13.8,24110
1689121800000,13.789,13.789,13.789,13.789,2000
1689122100000,13.771,13.771,13.7,13.7,3124
1689122400000,13.721,13.721,13.721,13.721,2
1689122700000,13.721,13.721,13.721,13.721,1550
1689123000000,13.721,13.722,13.721,13.722,800
1689123300000,13.7,13.7,13.645,13.645,80264
1689123600000,13.645,13.645,13.645,13.645,854
1689124200000,13.655,13.655,13.655,13.655,10
1689124500000,13.655,13.655,13.655,13.655,800
1689124800000,13.62,13.62,13.62,13.62,160
1689125100000,13.625,13.625,13.625,13.625,1000
1689125700000,13.61,13.61,13.61,13.61,100
1689126300000,13.611,13.611,13.611,13.611,3
1689126600000,13.61,13.61,13.567,13.567,11636
1689127200000,13.608,13.608,13.608,13.608,102
1689127500000,13.608,13.608,13.608,13.608,149
1689127800000,13.6,13.6,13.566,13.579,598
1689128100000,13.579,13.581,13.579,13.581,6001
1689129600000,13.566,13.566,13.47,13.489,80841
1689130500000,13.602,13.602,13.602,13.602,715
1689130800000,13.602,13.602,13.602,13.602,5350
1689131700000,13.51,13.533,13.51,13.533,1487
1689132000000,13.555,13.555,13.555,13.555,1000
1689132300000,13.563,13.563,13.563,13.563,9
1689132600000,13.565,13.565,13.565,13.565,1
1689133200000,13.565,13.565,13.565,13.565,900
1689133800000,13.565,13.566,13.565,13.566,5575
1689134100000,13.577,13.577,13.577,13.577,1
1689135000000,13.577,13.577,13.577,13.577,2005
1689135300000,13.53,13.548,13.49,13.548,7290
1689136500000,13.582,13.582,13.582,13.582,500
1689136800000,13.583,13.583,13.583,13.583,3380
1689137100000,13.583,13.584,13.583,13.584,1368
1689137700000,13.613,13.621,13.613,13.621,1492
1689138900000,13.621,13.621,13.621,13.621,3670
1689139500000,13.634,13.64,13.634,13.64,35000
1689140400000,13.64,13.64,13.64,13.64,69
1689141600000,13.64,13.64,13.64,13.64,12499
1689142500000,13.641,13.641,13.641,13.641,1400
1689142800000,13.582,13.582,13.548,13.548,2320
1689143400000,13.612,13.612,13.612,13.612,2
1689143700000,13.618,13.618,13.618,13.618,2
1689144300000,13.618,13.618,13.618,13.618,4257
1689144600000,13.618,13.618,13.618,13.618,300
1689144900000,13.581,13.632,13.581,13.632,3726
1689145200000,13.632,13.632,13.632,13.632,3
1689145500000,13.6,13.6,13.6,13.6,15074
1689145800000,13.6,13.6,13.6,13.6,4
1689146100000,13.6,13.66,13.6,13.617,67656
1689146700000,13.674,13.677,13.674,13.677,19267
1689147600000,13.678,13.678,13.678,13.678,750
