openTime,open,high,low,close,volume
1686087900000,350.998,350.998,350.998,350.998,10
1686088800000,351,351,351,351,38
1686089700000,351,351.351,351,351.351,79
1686093900000,352,352,352,352,10
1686094200000,349.4,349.4,349.4,349.4,4
1686095400000,352.85,352.85,352.85,352.85,10
1686096300000,352.849,352.849,352.849,352.849,2
1686103500000,345.576,345.576,345.576,345.576,25.1
1686104700000,348.829,348.829,348.829,348.829,4
1686106500000,345.03,345.03,344.652,344.652,20.8
1686107700000,349.523,349.523,349.523,349.523,7.4
1686110100000,344.883,344.883,344.883,344.883,1
1686111600000,349.164,349.166,349.164,349.166,200
1686111900000,349.335,349.396,349.335,349.396,11
1686113700000,350.251,350.251,350.251,350.251,10
1686114000000,350.257,350.257,350.257,350.257,10
1686117300000,344.652,344.652,344.442,344.442,17
1686118200000,348.411,348.486,348.411,348.486,0.3
