openTime,open,high,low,close,volume
1685999100000,345.093,347,345.093,347,206.9
1685999700000,347,347,345,345,174
1686000900000,345.03,345.03,345.03,345.03,15
1686001200000,344.369,344.369,344.369,344.369,20
1686002400000,344.652,345.114,344.652,345.114,25
1686003300000,345.177,345.177,345.177,345.177,4
1686004200000,345.723,345.891,345.723,345.891,60
1686004800000,345.996,346.038,345.996,346.038,20
1686005100000,346.059,346.143,346.059,346.143,30
1686005700000,346.164,346.185,346.164,346.185,20
1686006300000,346.206,346.416,346.206,346.416,30
1686006600000,346.479,346.647,346.479,346.647,40
1686006900000,346.668,346.668,346.668,346.668,10
1686007800000,346.983,346.983,346.983,346.983,10
1686008100000,347.067,347.151,347.067,347.151,11
1686008700000,347.277,347.277,347.277,347.277,10
1686009900000,347.445,347.445,347.445,347.445,0.5
1686011700000,347.5,347.5,347.5,347.5,57.6
1686012000000,347.5,347.5,347,347,172.8
1686012600000,347,347,347,347,20
1686012900000,347,347,347,347,40
1686013200000,347,347,346,346,77.8
1686013800000,346,346,346,346,804
1686014100000,346,346,346,346,40
1686014400000,346,346,344.369,344.369,292.2
1686014700000,344.369,345.2,344.369,344.369,313.5
1686015000000,344.307,344.307,344.307,344.307,20
1686015300000,344.307,344.307,344.307,344.307,20
1686015600000,344.307,344.307,341.146,341.146,40
1686017100000,341.146,341.146,341.146,341.146,20
1686018000000,341.146,341.146,341.146,341.146,20
1686018300000,341.146,341.146,341.146,341.146,20
1686018900000,341.146,341.146,341.146,341.146,160
1686019200000,341.146,341.146,341.146,341.146,20
1686019800000,341.146,341.146,341.146,341.146,50
1686020100000,341.146,341.146,341.146,341.146,20
1686022200000,341.146,341.146,341.146,341.146,12
1686022500000,341.146,341.146,341.146,341.146,20
1686022800000,341.146,341.146,341.146,341.146,61
1686023400000,341.146,341.146,341.146,341.146,126.8
1686023700000,341.146,341.146,341.146,341.146,15.6
1686024000000,341.146,341.146,341.146,341.146,46
1686024300000,341.146,341.146,341.1,341.1,421.4
1686024600000,341.146,341.146,341.146,341.146,525.6
1686024900000,341.146,341.146,341.146,341.146,99.2
1686025200000,341.146,341.146,341.146,341.146,98.4
1686025500000,341.146,341.146,341.146,341.146,160
1686025800000,341.146,341.146,341.146,341.146,4.2
1686029400000,341.146,344.106,341.146,344.106,4.2
1686033000000,344.1,344.1,344.1,344.1,13.4
1686035700000,344.106,344.106,344.106,344.106,0.1
1686039000000,345.681,345.681,345.681,345.681,0.1
1686039900000,341.35,341.35,341.146,341.146,20
1686042900000,342.111,342.111,342.111,342.111,0.1
1686048000000,343.896,343.896,343.896,343.896,50
1686051600000,342,342,340,340,269.2
1686053400000,340.1,340.557,340,340,944
1686053700000,340.5,340.5,340.5,340.5,192
1686054300000,340.5,340.5,340.5,340.5,324
1686054900000,340,340,340,340,219
1686056100000,340,340,340,340,20
1686057000000,340,340,338,338,80
1686058200000,338.1,338.1,338.1,338.1,0.2
1686059700000,338.08,342.657,338.08,342.657,110
1686060000000,345.24,345.996,345.24,345.996,11
1686060600000,346.122,346.773,346.122,346.773,100
1686065700000,338.646,338.646,338.626,338.626,73.3
1686067200000,344.505,344.505,344.505,344.505,3
1686071700000,345.807,345.807,345.807,345.807,5
1686079500000,349.041,349.44,349.041,349.44,23.9
1686080700000,345.578,345.578,345.261,345.261,731.9
1686081000000,350,350,350,350,10
1686081300000,351,351,351,351,13
1686081600000,351,351,347.235,351,124.6
1686082200000,351,351,351,351,5.6
