openTime,open,high,low,close,volume
1685912400000,76.258,76.298,75.15,75.714,144541
1685912700000,75.778,76,75.778,76,6488
1685913000000,75.977,75.998,75.739,75.739,2587
1685913300000,75.777,75.777,75.657,75.709,5292
1685913600000,75.658,75.807,75.658,75.807,298
1685913900000,75.812,75.812,75.754,75.754,1866
1685914200000,75.807,75.815,75.75,75.75,1936
1685914500000,75.612,75.661,75.534,75.661,18001
1685914800000,75.646,75.837,75.566,75.607,35217
1685915100000,75.63,75.63,75.448,75.6,44999
1685915400000,75.619,75.943,75.618,75.741,23250
1685915700000,75.742,75.742,75.741,75.741,436
1685916000000,75.676,75.743,75.676,75.678,5876
1685916300000,75.706,75.948,75.706,75.914,67113
1685916600000,75.905,75.905,75.808,75.862,6402
1685916900000,75.862,75.961,75.862,75.923,16850
1685917200000,75.923,76.05,75.923,76.05,34980
1685917500000,76.093,76.25,75.7,75.771,30868
1685917800000,75.882,75.99,75.853,75.915,2168
1685918100000,75.88,76.05,75.762,76.05,11922
1685918400000,76.05,76.293,76.05,76.293,46406
1685918700000,76.292,76.292,76,76,25107
1685919000000,76,76.052,75.884,75.884,8208
1685919300000,75.8,75.8,75.732,75.75,6994
1685919600000,75.838,75.979,75.817,75.934,38866
1685919900000,75.901,75.901,75.901,75.901,60
1685920200000,75.888,75.933,75.757,75.858,13456
1685920500000,75.742,75.768,75.707,75.768,1512
1685920800000,75.728,75.728,75.556,75.556,78805
1685921100000,75.522,75.549,75.37,75.385,84764
1685921400000,75.353,75.45,75.316,75.45,17436
1685921700000,75.425,75.5,75.304,75.304,34918
1685922000000,75.3,75.3,75.101,75.152,12428
1685922300000,75.11,75.11,75.04,75.062,28934
1685922600000,75.04,75.103,74.963,75.103,66501
1685922900000,75.083,75.249,75.083,75.249,120614
1685923200000,75.24,75.295,74.918,75.25,43588
1685923500000,75.154,75.346,75.151,75.346,926
1685923800000,75.396,75.436,75.39,75.436,18227
1685924100000,75.436,75.436,75.266,75.266,2277
1685924400000,75.306,75.719,75.284,75.699,134117
1685924700000,75.75,76.1,75.68,75.68,165337
1685925000000,75.766,75.766,75.766,75.766,120
1685925300000,75.892,75.939,75.738,75.933,9338
1685925600000,75.943,75.943,75.529,75.529,18482
1685925900000,75.745,75.778,75.41,75.58,18128
1685926200000,75.592,75.611,75.56,75.592,4874
1685926500000,75.601,75.607,75.442,75.445,14060
1685926800000,75.417,75.424,75.267,75.29,90618
1685927100000,75.303,75.312,75.267,75.268,6466
1685927400000,75.267,75.267,74.791,74.819,143870
1685927700000,74.819,74.9,74.819,74.82,42100
1685928000000,74.84,74.916,74.84,74.916,19942
1685928300000,74.994,75.038,74.994,75.038,3936
1685928600000,75.021,75.044,75.021,75.042,2866
1685928900000,75.01,75.01,74.901,74.958,14512
1685929200000,74.901,74.901,74.8,74.858,2280
1685929500000,74.819,74.94,74.819,74.94,5004
1685929800000,74.94,75.083,74.94,75.017,6924
1685930100000,75.017,75.017,74.871,74.871,14951
1685930400000,74.908,75.115,74.871,75.115,8128
1685930700000,75.116,75.116,74.924,75.042,13705
1685931000000,75.042,75.042,75.042,75.042,80
1685931300000,75.022,75.084,74.981,75.084,878
1685931600000,75.084,75.115,75.084,75.115,3402
1685931900000,75.116,75.116,75.048,75.116,8330
1685932200000,75.116,75.116,75.116,75.116,2064
1685932800000,75.044,75.044,74.882,74.882,4324
1685933100000,74.871,74.871,74.569,74.711,34594
1685933400000,74.782,74.809,74.288,74.487,85057
1685933700000,74.493,74.493,74.188,74.268,46346
1685934000000,74.25,74.3,74.14,74.3,21304
1685934300000,74.222,74.222,74.06,74.133,80581
