openTime,open,high,low,close,volume
1686517200000,73.158,73.399,73.119,73.119,86215
1686517500000,73.359,73.36,73.194,73.336,12534
1686517800000,73.174,73.3,73.174,73.3,39636
1686518100000,73.312,73.4,73.312,73.4,1394
1686518400000,73.373,73.374,73.306,73.306,878
1686518700000,73.27,73.305,73.103,73.104,3200
1686519000000,73.1,73.1,72.805,72.873,44366
1686519300000,72.809,72.809,72.502,72.502,23762
1686519600000,72.66,73.004,72.6,72.734,25425
1686519900000,72.664,72.859,72.631,72.827,2147
1686520200000,72.826,72.977,72.8,72.977,11502
1686520500000,72.977,73.02,72.91,73.02,1776
1686520800000,72.902,72.902,72.802,72.857,30686
1686521100000,72.995,73,72.995,73,4944
1686521400000,72.972,73.079,72.901,73.079,5231
1686521700000,72.95,72.95,72.823,72.823,3472
1686522000000,72.938,72.938,72.87,72.87,2600
1686522300000,72.862,72.862,72.861,72.861,600
1686522600000,72.862,72.862,72.861,72.861,476
1686522900000,72.862,72.862,72.5,72.62,60759
1686523200000,72.622,72.622,71.789,72.048,103982
1686523500000,72.096,72.4,72.096,72.4,17738
1686523800000,72.4,72.4,72.3,72.377,15358
1686524100000,72.305,72.305,72.111,72.111,2060
1686524400000,72.25,72.4,72.25,72.4,3346
1686524700000,72.4,72.441,72.4,72.441,444
1686525000000,72.45,72.564,72.41,72.471,5202
1686525300000,72.589,72.691,72.5,72.691,30317
1686525600000,72.553,72.631,72.552,72.631,5057
1686525900000,72.5,72.501,72.367,72.367,200324
1686526200000,72.464,72.464,72.464,72.464,38
1686526500000,72.467,72.556,72.394,72.556,2204
1686526800000,72.484,72.484,72.484,72.484,200
1686527100000,72.6,72.745,72.6,72.745,1590
1686527400000,72.786,72.8,72.735,72.744,1644
1686527700000,72.735,72.735,72.499,72.671,3180
1686528000000,72.676,72.676,72.669,72.669,2740
1686528300000,72.717,72.799,72.596,72.797,2104
1686528600000,72.691,72.962,72.691,72.962,3754
1686528900000,72.954,72.954,72.519,72.59,10324
1686529200000,72.589,72.59,72.589,72.59,400
1686529500000,72.528,72.528,72.4,72.432,1494
1686529800000,72.4,72.4,72.3,72.339,6250
1686530100000,72.543,72.718,72.543,72.718,5118
1686530400000,72.501,72.501,72.33,72.33,1746
1686530700000,72.3,72.3,72.134,72.134,2250
1686531000000,72.4,72.441,72.4,72.441,1772
1686531300000,72.5,72.5,72.5,72.5,380
1686531600000,72.49,72.53,72.49,72.53,1100
1686531900000,72.474,72.474,72.474,72.474,1000
1686532200000,72.3,72.3,72.135,72.135,8890
1686532500000,72.262,72.308,72.136,72.308,10306
1686532800000,72.4,72.529,72.4,72.529,2100
1686533100000,72.529,72.531,72.529,72.531,1532
1686533400000,72.497,72.498,72.488,72.498,3978
1686533700000,72.301,72.596,72.301,72.56,1120
1686534000000,72.6,72.691,72.588,72.649,11538
1686534300000,72.616,72.616,72.419,72.419,3296
1686534600000,72.527,72.527,72.5,72.5,790
1686534900000,72.52,72.552,72.404,72.436,78987
1686535200000,72.539,72.655,72.539,72.655,168
1686535500000,72.705,72.705,72.705,72.705,136
1686535800000,72.676,72.707,72.671,72.707,7214
1686536100000,72.707,72.754,72.576,72.576,11914
1686536400000,72.474,72.474,71.712,71.825,67064
1686536700000,71.8,71.8,71.297,71.66,54668
1686537000000,71.8,71.937,71.795,71.804,21568
1686537300000,71.807,71.895,71.807,71.882,7878
1686537600000,71.879,71.879,71.795,71.795,3206
1686537900000,71.788,71.788,71.297,71.297,37156
1686538200000,71.28,71.6,71.2,71.6,35857
1686538500000,71.639,71.656,71.616,71.616,2712
1686538800000,71.648,71.816,71.62,71.816,9722
1686539100000,71.729,71.776,71.554,71.688,7636
1686539400000,71.629,71.72,71.629,71.71,25139
1686539700000,71.7,71.8,71.672,71.8,7002
1686540000000,71.8,71.9,71.685,71.897,11774
1686540300000,71.722,71.8,71.722,71.8,3824
1686540600000,71.8,71.923,71.653,71.653,8850
1686540900000,71.719,71.89,71.675,71.89,12766
1686541200000,71.852,71.852,71.852,71.852,1948
1686541500000,71.831,71.831,71.65,71.65,71812
1686541800000,71.651,71.651,71.457,71.595,9598
1686542100000,71.8,71.832,71.8,71.832,32428
1686542400000,71.9,71.9,71.899,71.899,526
1686542700000,71.848,71.852,71.848,71.852,390
1686543000000,71.9,71.92,71.9,71.92,885
1686543300000,71.99,72.092,71.99,72.092,7532
1686543600000,71.938,71.938,71.81,71.81,1674
1686543900000,71.876,71.876,71.876,71.876,4280
1686544200000,71.992,72.042,71.95,71.95,10002
1686544500000,71.956,72.086,71.911,72.086,1079
1686544800000,72.086,72.3,72.086,72.3,23197
1686545100000,72.3,72.3,72.245,72.3,11934
1686545400000,72.3,72.308,72.249,72.308,8069
1686545700000,72.31,72.31,72.3,72.3,1152
1686546000000,72.249,72.249,72.1,72.1,7760
1686546300000,72.104,72.104,72,72,2318
1686546600000,72,72.04,71.92,71.921,11474
1686546900000,71.91,72.048,71.91,72.048,2207
1686547200000,72.084,72.228,72.02,72.02,3048
1686547500000,72.011,72.011,72.011,72.011,3444
1686547800000,72.108,72.176,72.108,72.173,270
1686548100000,72.252,72.292,72.252,72.292,1474
1686548400000,72.275,72.275,72.16,72.24,4708
1686548700000,72.27,72.376,72.27,72.305,1846
1686549000000,72.356,72.382,72.321,72.382,4516
1686549300000,72.205,72.205,72.03,72.03,25672
1686549600000,72.04,72.07,71.933,71.933,1720
1686549900000,71.988,72,71.91,71.91,1235
1686550500000,71.9,71.972,71.9,71.972,2304
1686550800000,72.008,72.02,71.853,71.93,7054
1686551100000,71.893,72.128,71.893,72.128,10133
1686551400000,71.981,71.981,71.852,71.956,4398
1686551700000,71.88,71.972,71.85,71.972,13420
1686552000000,71.879,71.92,71.841,71.9,1505
