openTime,open,high,low,close,volume
1685739600000,73.35,73.4,73.308,73.308,61500
1685739900000,73.317,73.35,73.296,73.308,37540
1685740200000,73.338,73.338,73.252,73.252,6540
1685740500000,73.252,73.252,73.13,73.142,140940
1685740800000,73.141,73.152,73,73.029,38560
1685741100000,73.047,73.189,73.03,73.189,6480
1685741400000,73.159,73.209,72.959,73.022,283400
1685741700000,73.091,73.188,72.999,72.999,85660
1685742000000,73,73.011,72.96,73.011,22460
1685742300000,73.011,73.17,73.011,73.17,59480
1685742600000,73.168,73.291,73.168,73.291,95120
1685742900000,73.208,73.231,73.102,73.11,11420
1685743200000,73.111,73.2,73.034,73.156,57590
1685743500000,73.158,73.158,73.156,73.156,1400
1685743800000,73.171,73.233,73.16,73.208,188080
1685744100000,73.204,73.25,73.152,73.152,62210
1685744400000,73.168,73.399,73.168,73.397,131480
1685744700000,73.332,73.398,73.317,73.339,21120
1685745000000,73.339,73.371,73.301,73.371,99370
1685745300000,73.398,73.398,73.312,73.32,55540
1685745600000,73.316,73.4,73.296,73.4,218800
1685745900000,73.36,73.423,73.348,73.348,43710
1685746200000,73.344,73.384,73.22,73.303,53640
1685746500000,73.26,73.319,73.248,73.319,96980
1685746800000,73.3,73.3,73.28,73.28,6570
1685747100000,73.3,73.375,73.296,73.3,69780
1685747400000,73.3,73.348,73.3,73.3,18620
1685747700000,73.3,73.3,73.17,73.17,51300
1685748000000,73.25,73.331,73.173,73.331,38200
1685748300000,73.3,73.3,73.232,73.3,24380
1685748600000,73.331,73.34,73.184,73.184,106400
1685748900000,73.23,73.5,73.23,73.328,152940
1685749200000,73.322,73.359,73.322,73.358,14220
1685749500000,73.359,73.5,73.358,73.498,59400
1685749800000,73.441,73.465,73.354,73.447,55000
1685750100000,73.353,73.442,73.256,73.256,69210
1685758200000,73.25,73.45,73.1,73.153,211550
1685758500000,73.162,73.304,73.103,73.186,22780
1685758800000,73.188,73.246,73.13,73.172,19640
1685759100000,73.147,73.245,73.122,73.203,32700
1685759400000,73.206,73.278,73.17,73.232,42080
1685759700000,73.204,73.286,73.2,73.2,38200
1685760000000,73.181,73.181,73.101,73.18,143860
1685760300000,73.108,73.179,73.08,73.08,17340
1685760600000,73.165,73.17,73.1,73.102,43680
1685760900000,73.1,73.2,73.1,73.173,11680
1685761200000,73.113,73.182,73.109,73.174,3260
1685761500000,73.12,73.229,73.103,73.12,93520
1685761800000,73.176,73.25,73.176,73.246,29380
1685762100000,73.191,73.192,73.191,73.191,7620
1685762700000,73.123,73.331,73.067,73.331,70100
1685763000000,73.194,73.3,73.129,73.162,52700
1685763300000,73.141,73.2,73.141,73.2,460
1685763600000,73.163,73.2,73.162,73.198,19740
1685763900000,73.14,73.2,73.14,73.2,1200
1685764200000,73.198,73.198,73.105,73.155,3220
1685764500000,73.198,73.2,73.162,73.162,4640
1685764800000,73.158,73.168,73.15,73.153,3040
1685765100000,73.198,73.2,73.156,73.198,14500
1685765400000,73.2,73.332,73.175,73.284,257880
1685765700000,73.3,73.332,73.272,73.308,40650
1685766000000,73.332,73.389,73.24,73.242,56470
1685766300000,73.3,73.35,73.3,73.35,20540
1685766600000,73.35,73.398,73.348,73.398,13460
1685766900000,73.398,73.5,73.398,73.464,82820
1685767200000,73.494,73.5,73.4,73.454,34600
1685767500000,73.454,73.649,73.446,73.446,240520
1685767800000,73.51,73.51,73.502,73.502,600
1685768100000,73.48,73.49,73.45,73.45,18000
1685768400000,73.46,73.719,73.4,73.4,142420
1685768700000,73.402,73.513,73.401,73.444,43340
1685769000000,73.497,73.641,73.441,73.635,74980
1685769300000,73.608,73.676,73.509,73.558,33300
1685769600000,73.583,73.65,73.546,73.617,28400
1685769900000,73.635,73.65,73.467,73.554,28540
1685770200000,73.589,73.644,73.532,73.551,27120
1685770500000,73.537,73.561,73.5,73.5,22380
1685770800000,73.552,73.573,73.5,73.524,13800
1685771100000,73.501,73.582,73.501,73.53,9660
1685771400000,73.555,73.634,73.526,73.607,26640
1685771700000,73.622,73.663,73.585,73.663,49300
1685772000000,73.635,73.641,73.54,73.561,26260
1685772300000,73.551,73.586,73.512,73.563,7220
1685772600000,73.512,73.576,73.501,73.501,26940
1685772900000,73.557,73.557,73.501,73.55,20900
1685773200000,73.558,73.617,73.553,73.601,22640
1685773500000,73.639,73.679,73.598,73.679,4080
1685773800000,73.637,73.637,73.584,73.584,33400
1685774100000,73.625,73.812,73.592,73.722,100500
1685774400000,73.743,73.759,73.66,73.725,19000
1685774700000,73.781,73.8,73.627,73.637,38060
1685775000000,73.634,73.729,73.634,73.729,1220
1685775300000,73.65,73.7,73.65,73.651,13640
1685775600000,73.7,74.15,73.689,74.012,362920
1685775900000,73.969,74.619,73.932,74.14,533650
1685776200000,74.218,74.259,73.24,73.5,651340
1685776500000,73.501,73.8,73.429,73.75,232400
1685776800000,73.75,73.75,73.675,73.675,50480
1685777100000,73.728,73.777,73.5,73.653,139460
1685777400000,73.595,73.688,73.537,73.611,107240
1685777700000,73.62,73.627,73.5,73.599,76540
1685778000000,73.543,73.677,73.465,73.468,55680
1685778300000,73.538,73.538,73.452,73.511,11920
1685778600000,73.549,73.549,73.411,73.411,102440
1685778900000,73.521,73.639,73.452,73.597,62140
1685779200000,73.589,73.589,73.51,73.51,620
1685779500000,73.5,73.527,73.417,73.5,29480
1685779800000,73.591,73.6,73.573,73.591,11220
1685780100000,73.6,73.61,73.478,73.527,50520
1685780400000,73.523,73.649,73.427,73.496,110520
1685780700000,73.427,73.483,73.4,73.465,30300
1685781000000,73.409,73.469,73.4,73.434,31840
1685781300000,73.4,73.495,73.387,73.387,90720
1685781600000,73.442,73.468,73.362,73.362,13640
1685781900000,73.353,73.378,73.306,73.349,8900
1685782200000,73.345,73.352,73.222,73.327,54470
1685782500000,73.319,73.425,73.319,73.425,10100
1685782800000,73.425,73.465,73.41,73.424,19260
1685783100000,73.41,73.41,73.35,73.35,47160
1685783400000,73.412,73.441,73.35,73.352,3400
1685783700000,73.428,73.497,73.428,73.456,2800
1685784000000,73.456,73.486,73.382,73.486,4200
1685784300000,73.452,73.456,73.312,73.312,83120
1685784600000,73.32,73.348,73.3,73.342,6740
1685784900000,73.36,73.453,73.259,73.405,18760
1685785200000,73.424,73.424,73.305,73.354,21340
