openTime,open,high,low,close,volume
1687208400000,70.01,70.121,69.908,70.021,81940
1687208700000,70.045,70.096,70.003,70.007,15120
1687209000000,70,70.045,69.831,69.831,104760
1687209300000,69.917,70.009,69.877,69.958,54760
1687209600000,70.054,70.057,69.94,70,29280
1687209900000,70,70.06,69.798,69.907,171940
1687210200000,69.954,70,69.949,70,33340
1687210500000,70.032,70.039,70.016,70.016,9000
1687210800000,70.099,70.1,70.077,70.077,16680
1687211100000,70.074,70.1,69.971,70.016,56060
1687211400000,69.998,70.047,69.951,69.989,75540
1687212000000,70.099,70.1,69.884,69.94,61020
1687212300000,69.969,70,69.969,70,2900
1687212900000,69.889,69.966,69.837,69.966,52360
1687213200000,69.91,70.052,69.91,70.052,16800
1687213500000,70.051,70.11,70.04,70.11,55680
1687213800000,70.146,70.23,70.05,70.075,52220
1687214100000,70.062,70.129,70.062,70.08,16560
1687214400000,70.154,70.178,70.114,70.114,58320
1687214700000,70.15,70.15,70.035,70.035,41720
1687215000000,70.037,70.122,70.021,70.067,5260
1687215300000,70.143,70.15,70.127,70.127,6000
1687215600000,70.167,70.249,70.129,70.2,51640
1687215900000,70.179,70.2,70.146,70.146,50840
1687216200000,70.149,70.169,70.126,70.126,2440
1687216500000,70.144,70.185,69.951,70.016,139380
1687216800000,70.088,70.088,69.963,70.007,15160
1687217100000,70.057,70.129,70.057,70.061,23640
1687217400000,70.1,70.169,70.028,70.028,11500
1687217700000,70.016,70.097,70.011,70.097,3400
1687218000000,70.103,70.103,70.067,70.081,2000
1687218300000,70,70,69.89,69.89,60280
1687218600000,69.936,69.936,69.77,69.918,20880
1687218900000,69.871,69.99,69.861,69.99,8420
1687219200000,69.99,69.99,69.89,69.912,49440
1687219500000,69.99,70.015,69.781,69.823,39520
1687219800000,69.77,69.926,69.766,69.807,35880
1687220100000,69.767,69.945,69.69,69.945,34920
1687220400000,69.952,70.054,69.952,69.991,13240
1687220700000,70.005,70.005,69.922,69.925,8080
1687221000000,69.9,69.9,69.752,69.767,26320
1687221300000,69.772,69.928,69.74,69.86,97080
1687221600000,69.781,69.866,69.736,69.814,7380
1687221900000,69.8,69.9,69.755,69.863,49220
1687222200000,69.866,70.087,69.866,70.031,21440
1687222500000,70.001,70.117,69.923,70.04,62820
1687222800000,70.017,70.067,69.935,70.051,32940
1687223100000,70.052,70.26,70.052,70.1,158040
1687223400000,70.181,70.58,70.129,70.58,200380
1687223700000,70.438,70.486,70.25,70.472,212120
1687224000000,70.408,70.449,70.232,70.293,107620
1687224300000,70.293,70.314,70.1,70.168,89120
1687224600000,70.168,70.168,70.031,70.071,57900
1687224900000,70.023,70.023,69.81,69.907,59220
1687225200000,69.964,69.964,69.8,69.853,261040
1687225500000,69.897,69.906,69.6,69.6,177760
1687225800000,69.697,69.7,69.657,69.668,94780
1687226100000,69.65,69.667,69.573,69.667,72880
1687226400000,69.6,69.757,69.6,69.655,62000
1687226700000,69.608,69.608,69.473,69.527,62390
1687227000000,69.515,69.597,69.5,69.591,20540
1687227300000,69.652,69.724,69.62,69.668,112480
1687227600000,69.668,69.668,69.625,69.645,5800
1687227900000,69.621,69.674,69.502,69.502,38960
1687228200000,69.579,69.706,69.56,69.605,132080
1687228500000,69.698,69.776,69.689,69.689,97160
1687228800000,69.671,69.73,69.652,69.73,3840
1687229100000,69.785,69.84,69.706,69.739,94400
1687229400000,69.735,69.738,69.664,69.664,1140
1687229700000,69.766,69.777,69.745,69.761,11600
1687230300000,69.845,70.021,69.728,69.753,132820
1687230600000,69.756,69.911,69.756,69.911,12540
1687230900000,69.95,69.95,69.869,69.948,7540
1687231200000,69.883,69.931,69.805,69.843,83740
1687231500000,69.85,69.895,69.85,69.871,11600
1687231800000,69.802,69.802,69.66,69.749,46000
1687232100000,69.729,69.792,69.69,69.792,16150
