openTime,open,high,low,close,volume
1689456300000,122.988,122.988,122.988,122.988,5
1689457200000,122.37,122.37,122.37,122.37,60
1689457800000,122.706,122.706,122.706,122.706,20.3
1689460200000,122.706,122.706,122.706,122.706,100
1689460800000,122.706,122.706,122.706,122.706,1
1689461100000,122.712,122.712,122.712,122.712,20.3
1689462600000,122.37,122.37,122.37,122.37,218.4
1689464100000,122.43,122.43,122.43,122.43,0.2
1689465600000,122.37,122.37,121.854,121.854,482
1689466200000,121.854,121.854,121.854,121.854,45.9
1689466500000,122.706,122.706,122.706,122.706,41.2
1689469500000,122.85,122.85,122.85,122.85,0.5
1689473400000,122.856,122.88,122.856,122.88,122
1689473700000,122.88,122.88,122.88,122.88,593.8
1689474000000,122.88,122.88,122,122.01,260.5
1689474600000,122.016,122.028,122.016,122.028,1
1689475200000,122.07,122.07,122.07,122.07,0.1
1689475500000,122.082,122.112,122.082,122.112,0.7
1689476100000,122.124,122.124,122.124,122.124,10
1689477600000,122.148,122.148,122.148,122.148,0.2
1689479400000,122.286,122.286,122.286,122.286,1
1689485100000,122.364,122.364,122.364,122.364,0.2
1689498000000,122.388,122.388,122.388,122.388,0.3
1689499500000,122.406,122.418,122.406,122.418,0.8
1689499800000,122.43,122.43,122.43,122.43,0.2
1689500100000,122.448,122.478,122.448,122.478,2.4
1689500700000,122.5,122.5,122.5,122.5,5.2
1689501000000,122.5,122.5,122.5,122.5,0.4
1689501900000,122.5,122.5,122.5,122.5,0.4
1689502200000,121.284,121.284,121.284,121.284,80
1689505200000,121.5,121.5,120.816,120.816,621.8
1689506700000,121.512,121.596,121.512,121.596,0.8
1689510900000,121.602,121.602,121.602,121.602,2.1
1689511200000,121.608,121.608,121.608,121.608,1.7
1689512700000,120.582,120.582,120.474,120.474,2502
1689513600000,121.218,121.218,121.218,121.218,0.5
1689517500000,121.512,121.596,121.512,121.596,131.2
1689517800000,121.734,121.734,121.734,121.734,0.9
1689518400000,121.962,121.962,121.284,121.284,93.2
1689518700000,121.836,121.836,121.836,121.836,0.2
1689522900000,121.86,121.86,121.86,121.86,300
1689524400000,121.872,121.872,121.872,121.872,0.2
1689528300000,121.896,121.896,121.896,121.896,30
1689533400000,121.914,121.944,121.914,121.944,0.9
1689536400000,121.284,121.284,120.46,120.46,214.2
1689540000000,120.522,120.522,120.522,120.522,100
