openTime,open,high,low,close,volume
1685481000000,4.1,4.1,4.1,4.1,200
1685481900000,4.11,4.119,4.11,4.11,8034
1685483400000,4.119,4.119,4.119,4.119,2000
1685484300000,4.111,4.127,4.111,4.127,62
1685486700000,4.115,4.125,4.115,4.115,6242
1685487000000,4.115,4.115,4.071,4.114,14504
1685488500000,4.094,4.112,4.094,4.108,17040
1685489100000,4.104,4.104,4.104,4.104,200
1685489400000,4.068,4.068,4.068,4.068,2
1685489700000,4.068,4.068,4.068,4.068,2
1685490000000,4.114,4.115,4.114,4.115,26
1685492100000,4.1,4.1,4.1,4.1,45816
1685492400000,4.1,4.1,4.1,4.1,4184
1685492700000,4.092,4.092,4.092,4.092,10
1685495100000,4.105,4.105,4.105,4.105,20
1685496000000,4.084,4.096,4.035,4.096,20002
1685496600000,4.056,4.056,4.056,4.056,40580
1685497200000,4.046,4.046,4.037,4.037,4
1685497800000,4.056,4.056,4.056,4.056,7994
1685498100000,4.056,4.056,4.056,4.056,4
1685498400000,4.056,4.112,4.056,4.112,6994
1685500500000,4.058,4.058,4.057,4.057,4600
1685501400000,4.096,4.096,4.058,4.058,4
1685501700000,4.096,4.099,4.096,4.099,1094
1685503200000,4.058,4.098,4.055,4.098,2100
1685505900000,4.098,4.117,4.098,4.117,48000
1685507400000,4.109,4.109,4.109,4.109,440
1685507700000,4.109,4.109,4.109,4.109,40
1685508300000,4.1,4.1,4.1,4.1,100
1685509500000,4.08,4.08,4.08,4.08,100
1685509800000,4.062,4.062,4.051,4.051,8000
1685510400000,4.052,4.052,4.052,4.052,32
1685510700000,4.052,4.087,4.051,4.087,28778
1685511300000,4.052,4.085,4.051,4.051,4524
1685511600000,4.087,4.087,4.087,4.087,8
1685512500000,4.079,4.079,4.042,4.074,12436
1685513400000,4.051,4.071,4.037,4.071,11618
1685514600000,4.038,4.038,4.037,4.037,720
1685514900000,4.062,4.062,4.062,4.062,20
1685515500000,4.067,4.067,4.067,4.067,20
1685516700000,4.059,4.069,4.037,4.069,1020
1685518200000,4.054,4.054,4.054,4.054,90
1685518800000,4.05,4.05,4.05,4.05,17518
1685519100000,4.051,4.051,4.051,4.051,3502
1685519400000,4.051,4.051,4.05,4.05,17276
1685519700000,4.05,4.069,4.05,4.069,8052
1685520900000,4.068,4.068,4.068,4.068,32
1685521500000,4.05,4.073,4.05,4.073,40
1685521800000,4.05,4.05,4.05,4.05,1092
1685522400000,4.067,4.067,4.067,4.067,20
1685523300000,4.05,4.05,4.05,4.05,4000
1685524200000,4.062,4.062,4.062,4.062,16
1685525400000,4.05,4.065,4.05,4.065,114
1685526000000,4.05,4.05,4.05,4.05,3008
1685526300000,4.067,4.067,4.05,4.05,112
1685526600000,4.05,4.064,4.05,4.05,4202
1685526900000,4.05,4.05,4.047,4.047,10538
1685527200000,4.037,4.037,4.03,4.03,5000
1685527800000,4.047,4.047,4.047,4.047,20
1685530800000,4.046,4.046,4.046,4.046,2074
1685531100000,4.047,4.051,4.047,4.051,4820
1685531400000,4.05,4.05,4.031,4.031,676
1685532000000,4.048,4.05,4.048,4.05,34924
1685532300000,4.049,4.049,4.049,4.049,98
1685532900000,4.032,4.032,4.032,4.032,2024
1685533500000,4.044,4.044,4.044,4.044,20
1685534100000,4.044,4.044,4.044,4.044,352
1685534400000,4.041,4.042,4.013,4.014,51316
1685535000000,4.033,4.047,4.013,4.013,20782
1685535300000,4.039,4.039,4.012,4.012,58500
1685535600000,4.03,4.03,4.03,4.03,2
1685535900000,4.013,4.013,4.012,4.012,3800
1685536200000,4.028,4.031,4.028,4.031,30000
1685536500000,4.031,4.031,4.012,4.012,2008
1685538300000,4.03,4.03,4.03,4.03,4000
1685539500000,4.027,4.028,4.027,4.028,20000
1685539800000,4.027,4.027,4.013,4.013,1020
1685540100000,4.027,4.027,4.027,4.027,60
1685540400000,4.027,4.029,4.013,4.013,30500
1685541300000,4.015,4.016,4.015,4.015,10210
1685541600000,4.015,4.016,4.015,4.015,9136
1685541900000,4.015,4.015,4.015,4.015,2994
1685542200000,4.021,4.021,4.021,4.021,248
1685542500000,4.029,4.029,4.029,4.029,968
1685543700000,4.018,4.029,4.016,4.029,4372
1685544900000,4.021,4.021,4.016,4.016,600
1685545500000,4.028,4.028,4.028,4.028,100
1685545800000,4.029,4.029,4.029,4.029,2
1685547900000,4.029,4.029,4.029,4.029,2000
1685548800000,4.029,4.029,4.029,4.029,500
1685549100000,4.025,4.025,4.025,4.025,14000
1685549400000,4.029,4.029,4.025,4.025,20008
1685551500000,4.025,4.025,4.025,4.025,8750
1685551800000,4.025,4.025,4.025,4.025,9202
1685552100000,4.025,4.025,4.016,4.016,24952
1685552400000,4.028,4.028,4.028,4.028,248
1685553000000,4.016,4.016,4.016,4.016,254
1685556300000,4.016,4.016,4.015,4.015,1994
1685556900000,4.028,4.028,4.028,4.028,2
1685557200000,4.015,4.015,4.015,4.015,17458
1685559000000,4.015,4.015,4.015,4.015,18068
1685559900000,4.027,4.027,4.027,4.027,200
1685562900000,4.015,4.015,4.015,4.015,1224
1685564400000,4.015,4.015,4.014,4.014,18812
1685565900000,4.014,4.014,4.014,4.014,1994
