openTime,open,high,low,close,volume
1689282000000,4.07,4.07,4.068,4.068,10
1689282600000,4.08,4.119,4.08,4.119,2006
1689282900000,4.119,4.119,4.119,4.119,242
1689283500000,4.084,4.12,4.072,4.072,92310
1689284100000,4.071,4.071,4.069,4.069,60000
1689285300000,4.083,4.083,4.083,4.083,2434
1689285600000,4.07,4.07,3.988,4.06,72650
1689285900000,4.06,4.199,4.06,4.193,121200
1689286200000,4.192,4.192,4.121,4.133,15460
1689286500000,4.176,4.181,4.134,4.181,4228
1689286800000,4.135,4.2,4.133,4.135,44856
1689287100000,4.147,4.197,4.135,4.136,17814
1689287400000,4.172,4.208,4.134,4.134,170084
1689287700000,4.156,4.2,4.148,4.148,14730
1689288000000,4.184,4.184,4.134,4.134,15812
1689288600000,4.177,4.177,4.177,4.177,20
1689289200000,4.184,4.197,4.1,4.139,202264
1689289500000,4.139,4.145,4.139,4.145,2000
1689289800000,4.143,4.148,4.143,4.148,70
1689290100000,4.102,4.155,4.102,4.147,330
1689290400000,4.143,4.158,4.1,4.152,14510
1689290700000,4.139,4.15,4.109,4.109,25472
1689291300000,4.101,4.143,4.101,4.101,662
1689291600000,4.151,4.151,4.151,4.151,22
1689292200000,4.156,4.217,4.156,4.2,200002
1689292500000,4.222,4.222,4.192,4.192,610
1689293100000,4.192,4.2,4.19,4.2,33474
1689293400000,4.2,4.2,4.2,4.2,24226
1689293700000,4.2,4.235,4.2,4.235,54496
1689294300000,4.234,4.239,4.234,4.239,55850
1689294900000,4.239,4.239,4.221,4.221,23340
1689295200000,4.23,4.23,4.23,4.23,8
1689295500000,4.21,4.229,4.191,4.229,46238
1689295800000,4.229,4.229,4.203,4.203,1086
